Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	21.4769435380463	NA	21.7827969992846	22.6400299504142	20.9592181790604	20.2627986567237	NA	NA	NA	NA	NA	NA
AIPGENE10000	22.2090687543501	21.9605043277267	23.4483905154789	23.5622690812681	24.0322517459008	NA	NA	NA	NA	NA	NA	NA
AIPGENE10018	23.5505548360134	24.0294430927458	23.9349933726396	23.7164818999479	24.2155779659939	23.6706959482775	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	NA	22.0206597129523	NA	NA	NA	NA	NA	25.200536681168	NA	26.0185874521759	NA
AIPGENE10117	24.1280011943161	23.6247958249286	24.4881782544305	23.8361982956863	24.8375852235752	23.2086994504843	NA	NA	NA	NA	NA	NA
AIPGENE10129	22.3381341313566	22.5420932540473	22.795105452594	24.2251903041328	24.4509229191738	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	27.129047884743	26.5858042657992	26.9479669951113	27.0181224751742	26.397628984715	26.5570981696479	27.540363637428	27.6967981498051	27.4391297926324	27.2397896252498	27.8596224034679	28.1733645029507
AIPGENE10179	NA	NA	NA	22.033727600186	22.4148769447863	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	22.211659032652	21.2689782588801	21.14187393238	22.957669603737	22.9840603378493	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	23.1990656771857	23.2695609453524	23.2545356849585	23.7646457151449	NA	22.670051255368	NA	NA	NA	NA	NA	NA
AIPGENE10361	20.4713978733589	NA	21.5917058050995	22.2273062400996	22.8307226176677	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	NA	NA	NA	21.813604497943	NA	22.5861495687257	27.2283015595904	26.342519072988	27.8686088983742	NA	27.4758056459854	25.2573972486608
AIPGENE10412	25.3367158556556	25.3703254504032	24.4310873477057	25.7630597260235	26.119198524976	25.3028152921411	NA	NA	NA	NA	NA	NA
AIPGENE10422	20.9396961991773	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10493	27.5189875097034	27.5911223301046	27.800150557343	28.0411690150281	28.3895131136571	27.8576982626745	26.2542809162534	26.0941869686585	27.1642467715139	26.9828256751164	27.1235172526467	NA
AIPGENE10494	26.0431588217281	25.8761775371321	25.7669427730044	26.1937488479153	25.3374715189975	25.6565768216383	NA	25.3205629146885	26.7828379928296	NA	NA	NA
