Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	22.9179415808961	NA	22.9492139833844	23.5022949108627	21.9623379742078	21.0356842698144	NA	NA	NA	NA	NA	NA
AIPGENE10000	23.4799418737463	22.8701109476542	24.2665886885961	24.2284086737034	24.7750475049633	NA	NA	NA	NA	NA	NA	NA
AIPGENE10018	24.5086219432618	24.70509188523	24.70509188523	24.3367669199706	24.9464314711485	24.1359210394296	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	NA	23.1433837327815	NA	NA	NA	NA	NA	23.0035066713899	NA	23.6091874653561	NA
AIPGENE10117	25.0313700348831	24.3891252795762	25.2482631798084	24.4793503312768	25.5024331888865	23.6768870902653	NA	NA	NA	NA	NA	NA
AIPGENE10129	23.5921572477288	23.3931953887124	23.7431852335949	24.8652229738825	25.1583978712005	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	27.7088647881677	27.067261780024	27.5986556819685	27.4510587103858	27.0062688546354	26.9522959233356	25.3415828311267	25.7926792160002	25.6759715061253	24.8266051727562	25.582445808146	26.010166576977
AIPGENE10179	NA	NA	NA	22.9085218007561	23.3804909256348	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	23.4838832052377	22.2880540534003	22.4157776076537	23.7065696528403	23.8948613432181	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	24.2057846346731	23.9842983236722	24.0685490626568	24.4040285819893	NA	23.2524829203745	NA	NA	NA	NA	NA	NA
AIPGENE10361	21.858367363726	NA	22.7820094076961	23.1869567823347	23.7464265724786	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	NA	NA	NA	22.6423050045924	NA	23.2004394437961	25.0217532020724	24.2115530498382	26.2660748051436	NA	25.1899175250696	22.5231497007013
AIPGENE10412	26.1489649286041	25.9631822941406	25.183099502455	26.2565286977919	26.736408325997	25.6999704708456	NA	NA	NA	NA	NA	NA
AIPGENE10422	22.4871814150103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10493	28.1388434994878	27.9511642947173	28.3765168836779	28.4422761307638	28.7903961523171	27.9633621226828	24.0725734632525	23.9516396252166	25.3521560397226	24.5390750450777	24.8408034250242	NA
AIPGENE10494	26.7712058546211	26.4035691269713	26.370063711822	26.7047023594594	26.0407601686987	26.0513710052955	NA	22.737002009132	24.8006505030765	NA	NA	NA
AIPGENE10504	27.405909079113	26.7453037526995	27.5203129913175	27.3765546473381	27.8364538453762	27.1635299470174	28.4280692779355	28.0365226359038	28.8547755215183	27.8018198265399	27.7512361655169	27.8498718615795
AIPGENE10518	24.2637076842795	25.2425526434696	25.2672898158419	26.1425619200294	25.641302130941	25.1797589861666	NA	NA	NA	NA	NA	NA
AIPGENE10519	25.2244929602234	24.7306697271096	24.4384263739142	24.48406924413	23.9947644079215	23.6517135779622	23.1671096380122	23.6812356756607	23.5661775503395	NA	23.4672029310591	23.3091032546969
AIPGENE1052	21.2750759145232	20.1730845346788	21.2213187366762	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10527	26.0003050525463	24.2456020493497	24.734195756231	24.8327383530031	26.5386671230298	NA	NA	NA	NA	NA	NA	NA
AIPGENE10529	20.775318172305	22.3418761156481	23.3340471273993	23.5439266362157	23.2388062019723	22.3792931976786	NA	NA	21.9125341966274	NA	NA	NA
AIPGENE10532	24.5320438943509	23.605921073508	24.2194772650661	25.0569563616174	24.8249965391397	23.1765673817402	NA	NA	NA	NA	NA	NA
AIPGENE10535	25.2276504636958	25.998883411749	25.7492425812802	26.1717158511896	25.8034500530373	25.1531385515178	NA	NA	NA	NA	NA	NA
AIPGENE10546	22.4646663139641	NA	NA	22.4688586992708	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10560	24.1188297777293	NA	23.748715419289	23.2646227570806	23.162685379195	23.6653745813787	NA	NA	NA	NA	NA	NA
AIPGENE10564	25.0917641365874	23.7298621570466	24.532490354171	25.245584372652	25.0645756788975	24.4562423688235	25.3583175213413	25.8623643576513	25.8113459378136	25.327643403842	25.2879771443693	25.0883803873338
AIPGENE10586	25.9449916472446	26.0103278855807	25.9910747656187	26.0054187010808	25.5157209662607	25.1369722869224	NA	NA	NA	NA	NA	NA
AIPGENE10587	29.2019800240953	28.7119003277263	28.8409757742255	29.2766036731895	28.8449228230879	28.362535186638	24.2891150799148	24.4213090407417	24.9177674149707	23.3543868149341	23.580595622829	23.0440575417477
AIPGENE10606	27.9323935805239	27.1391347021056	27.541393955987	27.5091238794065	27.1740764489987	27.0061451379699	23.6699637107154	23.7378078782092	NA	22.8361723154331	23.1424400790848	24.2100921925034
AIPGENE10618	30.9125093354131	30.7885675609816	30.2397137537429	31.0268340368864	30.6172380045014	30.3719556970195	NA	22.0750800471017	NA	NA	NA	NA
AIPGENE10619	24.1155434506445	22.675255535846	23.1877827301123	21.725299535016	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10623	26.1091181097878	25.796053965209	25.9547463835267	26.0095311795269	25.6320528314421	25.847530909449	NA	NA	NA	NA	NA	NA
