Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	22.2405056212142	NA	22.5735367652993	23.1916779546793	21.6553768769196	21.3518100559484	NA	NA	NA	NA	NA	NA
AIPGENE10000	22.9449517987842	22.9383277080203	24.1615335144524	24.0869356187725	24.6408084347012	NA	NA	NA	NA	NA	NA	NA
AIPGENE10018	24.2357210844838	24.8939908661557	24.6254664895671	24.2366367138634	24.8189086314386	24.6335631057755	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	NA	22.8003179171088	NA	NA	NA	NA	NA	22.1869049742659	NA	23.7825778204804	NA
AIPGENE10117	24.7913362590461	24.5114982728078	25.1528795620986	24.3528506297739	25.4231845222033	24.188667533541	NA	NA	NA	NA	NA	NA
AIPGENE10129	23.0691376750035	23.4880743006287	23.5386837338517	24.7304621029613	25.0475446794693	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	27.6789240960741	27.3103897705392	27.4980715226975	27.4416829216902	26.9387566026007	27.4131243667579	26.6703419989226	27.1916380727409	27.1334312832492	25.5762198101875	27.0185102512236	27.9356688405142
AIPGENE10179	NA	NA	NA	22.6031138744531	23.0695396323977	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	22.947444147918	22.2846630957082	21.9624730592953	23.5000245911897	23.6224974920681	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	23.8975204749712	24.1757127105582	23.9767100039854	24.2833914255694	NA	23.669957547331	NA	NA	NA	NA	NA	NA
AIPGENE10361	21.2729760455531	NA	22.3913481387182	22.7910290855838	23.4735309224321	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	NA	NA	NA	22.3894307984112	NA	23.5891615043557	25.990206311037	24.3130782600331	28.0824334421635	NA	26.3438869410421	21.5932467009559
AIPGENE10412	25.9543537374662	26.1614591308534	25.0984484098374	26.2233388854154	26.6682632731031	26.2052691098505	NA	NA	NA	NA	NA	NA
AIPGENE10422	21.7235696847816	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10493	28.0541214969686	28.2606660831163	28.3105535078566	28.4347987252675	28.8738587121758	28.6655823949015	23.8673395889375	23.7852411044831	26.5260336776316	25.1164035087655	25.7246800997059	NA
AIPGENE10494	26.6340886189301	26.6396155201134	26.3720689253398	26.64142756146	25.9088207149739	26.5459360604702	NA	22.1408805365445	25.6832505257596	NA	NA	NA
AIPGENE10504	27.3723091691488	26.9722857753542	27.4172101860796	27.3545993678884	27.7496296591462	27.6377172288747	32.7255998453719	31.6848628828971	33.0119779721502	30.7975894861691	30.4206420351645	31.6130173538342
AIPGENE10518	23.949202713337	25.4567620020412	25.1699875516115	26.1496168481781	25.5466950978652	25.6930637737112	NA	NA	NA	NA	NA	NA
AIPGENE10519	24.9696517468706	24.9315835716673	24.3614497973015	24.3581495805664	23.7645727663567	24.1737486433374	22.4402485010725	23.4205895875496	23.1144881620617	NA	23.4966564405282	22.8790801182689
