Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	21.7112092938572	NA	22.1419481140968	22.7687949299883	21.1010703111632	20.5912374228857	NA	NA	NA	NA	NA	NA
AIPGENE10000	22.4433345101611	22.5082551135358	23.8075416302912	23.6910340608421	24.1741038780039	NA	NA	NA	NA	NA	NA	NA
AIPGENE10018	23.7848205918244	24.5771938785548	24.2941444874519	23.845246879522	24.357430098097	23.9991347144396	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	NA	22.3798108277645	NA	NA	NA	NA	NA	23.2889298020694	NA	24.4542708851601	NA
AIPGENE10117	24.3622669501272	24.1725466107376	24.8473293692428	23.9649632752603	24.9794373556783	23.5371382166464	NA	NA	NA	NA	NA	NA
AIPGENE10129	22.5723998871676	23.0898440398563	23.1542565674062	24.3539552837068	24.5927750512769	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	27.3633136405541	27.1335550516083	27.3071181099235	27.1468874547483	26.5394811168181	26.88553693581	25.6597392109838	25.9125835362125	25.5275229135337	25.4354328525388	26.2953058364521	26.4803254472873
AIPGENE10179	NA	NA	NA	22.16249257976	22.5567290768893	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	22.445924788463	21.8167290446891	21.5010250471921	23.086434583311	23.1259124699524	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	23.4333314329967	23.8173117311614	23.6136867997707	23.8934106947189	NA	22.99849002153	NA	NA	NA	NA	NA	NA
AIPGENE10361	20.7056636291696	NA	21.9508569199117	22.3560712196736	22.9725747497707	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	NA	NA	NA	21.9423694775169	NA	22.9145883348878	25.3476771331461	24.5583044593954	25.9570020192755	NA	25.9114890789696	23.5643581929973
AIPGENE10412	25.5709816114667	25.9180762362123	24.7902384625179	25.8918247055976	26.2610506570791	25.6312540583032	NA	NA	NA	NA	NA	NA
AIPGENE10422	21.1739619549881	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10493	27.7532532655145	28.1388731159137	28.1593016721553	28.1699339946022	28.5313652457602	28.1861370288366	24.3736564898092	24.3099723550659	25.2526398924152	25.1784689024054	25.5592006856309	NA
AIPGENE10494	26.2774245775392	26.4239283229411	26.1260938878167	26.3225138274894	25.4793236511006	25.9850155878004	NA	23.5363483010958	24.8712311137309	NA	NA	NA
AIPGENE10504	27.0446512262423	26.7758674511971	27.2223055194359	27.0571793581958	27.374147754784	27.1187627132799	28.4380323943337	28.0265157605722	28.1879098803019	28.3533454469768	28.2308974030838	28.1710088504894
AIPGENE10518	23.4870443654356	25.1725617536532	24.8652733331854	25.8158808178507	25.1065721224692	25.099360539429	NA	NA	NA	NA	NA	NA
AIPGENE10519	24.5475887947913	24.6169640227084	24.0172267349193	23.970421926964	23.2721566823741	23.5216458731501	23.7188738955784	24.1384143705722	23.7087155678377	NA	24.2916002283773	24.1555279475254
AIPGENE1052	20.0666393545458	19.6658523578276	20.0498262341928	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10527	25.4214737418778	24.0736405530107	24.3237538018115	24.3156720257675	26.0311030253278	NA	NA	NA	NA	NA	NA	NA
AIPGENE10529	19.7361748322876	21.8591287900741	22.6271414663234	22.8314534232274	22.4008550664666	22.0071268957849	NA	NA	22.1832818858817	NA	NA	NA
AIPGENE10532	23.8167070444149	23.3405687804282	23.7635301959379	24.5615985060866	24.2295856827924	22.8920837055741	NA	NA	NA	NA	NA	NA
AIPGENE10535	24.5491846866174	25.9669656082842	25.3789601971184	25.8295890838102	25.2677100517438	25.0807282579669	NA	NA	NA	NA	NA	NA
AIPGENE10546	21.1688651358237	NA	NA	21.7801680565317	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10560	23.3280672613694	NA	23.156768090665	22.4463123641339	22.3249256153536	23.5318423601793	NA	NA	NA	NA	NA	NA
AIPGENE10564	24.4314936289053	23.5007822122897	24.1077003704352	24.8167492305692	24.4897345563327	24.3692564254963	25.682856408595	25.9481710571393	25.6165916274334	25.9356119086224	25.9977713655112	25.498212483434
AIPGENE10586	25.3494852954321	25.9753400313167	25.6973312022742	25.7085226806137	25.0022468502535	25.0738449160685	NA	NA	NA	NA	NA	NA
AIPGENE10587	29.1028232065685	28.9564149557765	28.8702457135644	29.1074986832564	28.5850273907987	28.6183830862017	24.6157293511435	24.7070393156035	24.9590269806897	24.2060781435924	24.4096626153608	24.0238008176032
AIPGENE10606	27.5891919817161	27.2250752381753	27.2510346316253	27.2170461694894	26.7135015374618	26.9297800788147	24.0711157262471	24.1576305696343	NA	23.8714701378714	23.9661537583436	24.7987044268944
AIPGENE10618	30.5075950304061	30.9034864921419	30.3378030657675	30.6296426616745	30.2736934567913	30.4822111341576	NA	22.8933176129818	NA	NA	NA	NA
AIPGENE10619	23.3238101258417	22.302840616252	22.4186663067884	21.0843640813854	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10623	25.5233753951089	25.6937188573405	25.6563340799242	25.7086862703955	25.1024328643386	25.7755437912155	NA	NA	NA	NA	NA	NA
AIPGENE10649	21.6100655537589	NA	22.0510711358354	NA	22.719874694404	NA	NA	NA	NA	NA	NA	NA
AIPGENE10659	29.5962464815754	29.7354713074721	29.6694012294702	29.7681840462263	29.7151335244572	29.2258737588833	NA	24.999132265547	24.7978727368255	NA	24.0972695434793	24.1378937351399
AIPGENE10679	22.3823667529572	NA	23.0790424983862	22.7600459995737	22.2018418976744	21.9544464729402	NA	NA	NA	NA	NA	NA
AIPGENE10686	NA	NA	NA	NA	NA	NA	NA	24.021346916123	23.4653658470821	23.6023178386119	21.9505575039921	24.5491937745317
AIPGENE10708	NA	NA	NA	22.1800049211601	22.5660489373588	22.5594481701678	NA	NA	NA	NA	NA	NA
