Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	22.2316791118478	NA	22.5230088734885	23.2576913275507	21.6750564798565	20.953611761645	NA	NA	NA	NA	NA	NA
AIPGENE10000	22.9638043281516	22.7504461191601	24.1886023896828	24.1799304584045	24.7480900466969	NA	NA	NA	NA	NA	NA	NA
AIPGENE10018	24.3052904098149	24.8193848841791	24.6752052468435	24.3341432770843	24.9314162667901	24.3615090531989	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	NA	22.7608715871561	NA	NA	NA	NA	NA	24.0977433039772	NA	23.4730573894882	NA
AIPGENE10117	24.8827367681176	24.4147376163619	25.2283901286344	24.4538596728227	25.5534235243713	23.8995125554057	NA	NA	NA	NA	NA	NA
AIPGENE10129	23.0928697051581	23.3320350454807	23.5353173267979	24.8428516812692	25.1667612199699	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	27.8837834585444	27.3757460572326	27.6881788693151	27.6357838523107	27.1134672855111	27.2479112745693	25.2746681691899	25.6815761671123	26.3363364154415	24.4449876837043	25.3140923407801	25.6902705327591
AIPGENE10179	NA	NA	NA	22.6513889773225	23.1307152455824	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	22.9663946064535	22.0589200503135	21.8820858065838	23.5753309808734	23.6998986386455	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	23.9538012509872	24.0595027367857	23.9947475591623	24.3823070922813	NA	23.3608643602893	NA	NA	NA	NA	NA	NA
AIPGENE10361	21.2261334471604	NA	22.3319176793034	22.844967617236	23.5465609184638	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	NA	NA	NA	22.4312658750794	NA	23.2769626736471	24.9626060913522	24.3272970902952	26.7658155211833	NA	24.9302755832976	22.7743032784691
AIPGENE10412	26.0914514294571	26.1602672418366	25.1712992219095	26.38072110316	26.8350368257721	25.9936283970625	NA	NA	NA	NA	NA	NA
AIPGENE10422	21.6944317729788	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10493	28.2737230835049	28.381064121538	28.5403624315469	28.6588303921646	29.1053514144532	28.5485113675959	23.9885854480153	24.0789649859657	26.061453394323	24.1880237335709	24.5779871899589	NA
AIPGENE10494	26.7978943955296	26.6661193285655	26.5071546472083	26.8114102250517	26.0533098197937	26.3473899265597	NA	23.3053409319956	25.6800446156387	NA	NA	NA
AIPGENE10504	27.5651210442326	27.0180584568214	27.6033662788275	27.5460757557581	27.948133923477	27.4811370520392	28.0529613525398	27.795508391472	28.9967233822097	27.3629002781422	27.2496839074119	27.3809539359612
AIPGENE10518	24.007514183426	25.4147527592775	25.246334092577	26.3047772154131	25.6805582911622	25.4617348781883	NA	NA	NA	NA	NA	NA
AIPGENE10519	25.0680586127817	24.8591550283327	24.3982874943109	24.4593183245264	23.8461428510672	23.8840202119094	23.3338028537845	23.907407001472	24.5175290697455	NA	23.3103867327054	23.3654730329973
AIPGENE1052	20.5871091725368	19.9080433634521	20.4308869935847	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10527	25.9419435598682	24.3158315586351	24.7048145612031	24.8045684233299	26.6050891940208	NA	NA	NA	NA	NA	NA	NA
AIPGENE10529	20.2566446502789	22.1013197956985	23.0082022257151	23.3203498207898	22.9748412351597	22.3695012345442	NA	NA	22.9920953877895	NA	NA	NA
AIPGENE10532	24.3371768624053	23.5827597860525	24.1445909553295	25.050494903649	24.8035718514855	23.2544580443334	NA	NA	NA	NA	NA	NA
AIPGENE10535	25.0696545046078	26.2091566139085	25.76002095651	26.3184854813726	25.8416962204368	25.4431025967262	NA	NA	NA	NA	NA	NA
AIPGENE10546	21.6893349538144	NA	NA	22.2690644540942	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10560	23.8485370793599	NA	23.5378288500567	22.9352087616963	22.8989117840467	23.8942166989386	NA	NA	NA	NA	NA	NA
AIPGENE10564	24.9519634468957	23.742973217914	24.4887611298269	25.3056456281316	25.0637207250258	24.7316307642556	25.2977853668011	25.7171636880391	26.4254051293412	24.9451667397878	25.0165578698393	24.7081575689058
AIPGENE10586	25.8699551134225	26.217531036941	26.0783919616658	26.1974190781761	25.5762330189465	25.4362192548278	NA	NA	NA	NA	NA	NA
AIPGENE10587	29.6232930245588	29.1986059614008	29.251306472956	29.5963950808187	29.1590135594917	28.980757424961	24.2306583093497	24.4760319465033	25.7678404825975	23.2156329747578	23.4284491196889	23.2337459030751
AIPGENE10606	28.1096617997065	27.4672662437996	27.6320953910169	27.7059425670518	27.2874877061548	27.292154417574	23.6860446844532	23.9266232005341	NA	22.8810249690368	22.9849402626717	24.0086495123663
AIPGENE10618	31.0280648483964	31.1456774977662	30.718863825159	31.1185390592369	30.8476796254843	30.8445854729168	NA	22.6623102438816	NA	NA	NA	NA
AIPGENE10619	23.8442799438321	22.5450316218764	22.7997270661801	21.573260478948	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10623	26.0438452130992	25.9359098629648	26.0373948393158	26.1975826679579	25.6764190330316	26.1379181299748	NA	NA	NA	NA	NA	NA
AIPGENE10649	22.1305353717495	NA	22.4321318952271	NA	23.2938608630971	NA	NA	NA	NA	NA	NA	NA
AIPGENE10659	30.1167162995657	29.9776623130964	30.0504619888618	30.2570804437887	30.2891196931503	29.5882480976426	NA	24.7681248964469	25.6066862387333	NA	23.1160560478073	23.3478388206117
AIPGENE10679	22.9028365709477	NA	23.4601032577778	23.2489423971361	22.7758280663675	22.3168208116995	NA	NA	NA	NA	NA	NA
AIPGENE10686	NA	NA	NA	NA	NA	NA	NA	23.7903395470228	24.2741793489899	22.6118726697774	20.9693440083201	23.7591388600035
AIPGENE10708	NA	NA	NA	22.6689013187226	23.140035106052	22.9218225089271	NA	NA	NA	NA	NA	NA
AIPGENE10716	25.5835159175768	24.3734553734572	25.0045114904208	24.5094889357431	23.6118363200963	NA	23.8101127534254	25.2594627313114	25.5668327324175	22.7275022359827	24.3788677950426	24.8147831550321
AIPGENE10764	27.9733490664952	26.6190133114943	26.5574536587803	26.8825960244578	28.2172271767024	26.2933180528919	21.8866768214625	NA	24.414152807296	NA	NA	NA
AIPGENE10773	24.6711949216093	24.5849829951748	24.363845273398	22.9946790313919	24.0500104039522	23.035909255259	NA	NA	NA	NA	NA	NA
AIPGENE1080	26.0055773729791	25.5796981152268	26.4204771278353	26.3432543564732	26.4641096776226	26.3053120785495	22.653505071268	NA	23.8843363700075	NA	23.7119403228382	23.1491383565953
AIPGENE10885	24.823828750951	23.9635457728139	23.9201665554711	23.257297770431	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10893	NA	NA	NA	NA	NA	NA	27.1940150275848	26.4467625715513	27.8072949234338	26.1147966141617	26.2903786007693	26.6050643050031
AIPGENE10895	NA	NA	NA	NA	22.8151404152519	NA	NA	NA	NA	NA	NA	NA
AIPGENE10899	25.26116324347	24.164464819185	23.9031662894217	23.9708744781304	22.9743175158389	22.4188903936929	NA	NA	NA	NA	NA	NA
AIPGENE10905	25.3030617425143	26.3206709388704	26.2175314658837	26.8934291981872	26.7438052247117	26.676822301124	27.2263328913901	27.2588399761023	28.0075241172596	27.1573230130103	26.5193668288144	26.7824178129648
AIPGENE10921	NA	22.3516764715809	22.7574060840414	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE1093	24.2848215591529	24.2624785654982	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10935	22.9572035228445	NA	23.909937614075	NA	22.659589301318	NA	NA	NA	NA	NA	NA	NA
AIPGENE10940	21.3430084826231	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10966	25.4083458484789	25.6898664157669	25.7553193560251	25.8720699439525	25.8551012921151	25.2158882869049	NA	NA	NA	NA	NA	NA
AIPGENE10967	22.0928126178025	NA	22.4579442967412	22.7168366222965	22.9547254317009	NA	NA	NA	NA	NA	NA	NA
AIPGENE10977	NA	NA	NA	22.6525134976512	22.7139770294045	NA	NA	NA	NA	NA	NA	NA
AIPGENE10991	24.7737840788852	24.6605094921304	24.6197767126741	24.601205912486	24.4120994537271	23.5190396580578	NA	NA	NA	NA	NA	NA
AIPGENE11057	25.180742943499	24.6779370214135	25.5394292238592	24.7800492987042	25.2574595727374	25.2437898019266	23.9139479657999	23.8385251426772	26.0223894033043	24.0991548307678	23.8431769421993	NA
