Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	21.9367856914516	NA	22.164685661094	23.0228496835957	21.3769806092231	20.2124728164192	NA	NA	NA	NA	NA	NA
AIPGENE10000	22.6689109077553	22.1148689070252	23.8302791772883	23.9450888144495	24.4500141760636	NA	NA	NA	NA	NA	NA	NA
AIPGENE10018	24.0103969894186	24.1838076720443	24.316882034449	24.0993016331293	24.6333403961567	23.620370107973	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	NA	22.4025483747617	NA	NA	NA	NA	NA	24.221318106088	NA	24.2504379114054	NA
AIPGENE10117	24.5878433477214	23.7791604042271	24.8700669162399	24.2190180288677	25.255347653738	23.1583736101798	NA	NA	NA	NA	NA	NA
AIPGENE10129	22.7979762847619	22.6964578333458	23.1769941144034	24.6080100373142	24.8686853493366	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	27.5888900381482	26.7401688450977	27.3298556569207	27.4009422083557	26.8153914148778	26.5067723293434	26.0255705885889	26.2856964040083	26.4599112175523	25.3644068611543	26.0914728626974	26.4816936920276
AIPGENE10179	NA	NA	NA	22.4165473333675	22.832639374949	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	22.6715011860573	21.4233428381786	21.5237625941893	23.3404893369184	23.4018227680121	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	23.6589078305909	23.4239255246509	23.6364243467678	24.1474654483263	NA	22.6197254150635	NA	NA	NA	NA	NA	NA
AIPGENE10361	20.9312400267642	NA	21.9735944669089	22.610125973281	23.2484850478305	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	NA	NA	NA	22.1964242311244	NA	22.5358237284212	25.7135085107513	24.9314173271911	26.8893903232941	NA	25.7076561052149	23.5657264377376
AIPGENE10412	25.7965580090608	25.5246900297017	24.8129760095151	26.145879459205	26.5369609551388	25.2524894518366	NA	NA	NA	NA	NA	NA
AIPGENE10422	21.3995383525826	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10493	27.9788296631087	27.7454869094031	28.1820392191524	28.4239887482096	28.8072755438199	27.80737242237	24.7394878674144	24.6830852228617	26.1850281964338	25.1074429110209	25.3553677118762	NA
AIPGENE10494	26.5030009751333	26.0305421164306	26.1488314348138	26.5765685810967	25.7552339491603	25.6062509813338	NA	23.9094611688916	25.8036194177495	NA	NA	NA
AIPGENE10504	27.2702276238364	26.3824812446865	27.245043066433	27.3112341118031	27.6500580528437	26.7399981068133	28.8038637719388	28.399628628368	29.1202981843205	28.2823194555922	28.0270644293291	28.1723770952297
AIPGENE10518	23.7126207630298	24.7791755471427	24.8880108801825	26.069935571458	25.3824824205289	24.7205959329624	NA	NA	NA	NA	NA	NA
AIPGENE10519	24.7731651923855	24.2235778161978	24.0399642819164	24.2244766805714	23.5480669804339	23.1428812666835	24.0847052731835	24.511527238368	24.6411038718563	NA	24.0877672546226	24.1568961922657
AIPGENE1052	20.2922157521406	19.2724661513172	20.0725637811902	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10527	25.647050139472	23.6802543465002	24.3464913488086	24.5697267793749	26.3070133233875	NA	NA	NA	NA	NA	NA	NA
AIPGENE10529	19.9617512298826	21.4657425835636	22.6498790133206	23.0855081768348	22.6767653645263	21.6283622893183	NA	NA	23.1156701899003	NA	NA	NA
AIPGENE10532	24.0422834420091	22.9471825739176	23.786267742935	24.8156532596939	24.5054959808521	22.5133190991075	NA	NA	NA	NA	NA	NA
AIPGENE10535	24.7747610842116	25.5735794017736	25.4016977441155	26.0836438374175	25.5436203498035	24.7019636515003	NA	NA	NA	NA	NA	NA
AIPGENE10546	21.3944415334182	NA	NA	22.0342228101392	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10560	23.5536436589636	NA	23.1795056376622	22.7003671177413	22.6008359134134	23.1530777537127	NA	NA	NA	NA	NA	NA
AIPGENE10564	24.6570700264995	23.1073960057791	24.1304379174324	25.0708039841765	24.7656448543924	23.9904918190298	26.0486877862001	26.3212839249351	26.548979931452	25.8645859172378	25.7939383917565	25.4995807281743
AIPGENE10586	25.5750616930263	25.5819538248062	25.7200687492713	25.9625774342211	25.2781571483132	24.6950803096019	NA	NA	NA	NA	NA	NA
AIPGENE10587	29.3283996041626	28.5630287492659	28.8929832605615	29.3615534368637	28.8609376888583	28.2396184797351	24.9815607287487	25.0801521833993	25.8914152847083	24.1350521522078	24.2058296416061	24.0251690623435
AIPGENE10606	27.8147683793103	26.8316890316648	27.2737721786224	27.4711009230968	26.9894118355214	26.5510154723482	24.4369471038523	24.5307434374301	NA	23.8004441464868	23.7623207845889	24.8000726716347
AIPGENE10618	30.7331714280002	30.5101002856313	30.3605406127646	30.8836974152818	30.549603754851	30.103446527691	NA	23.2664304807776	NA	NA	NA	NA
AIPGENE10619	23.5493865234359	21.9094544097415	22.4414038537856	21.3384188349929	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10623	25.748951792703	25.30033265083	25.6790716269213	25.9627410240029	25.3783431623983	25.396779184749	NA	NA	NA	NA	NA	NA
AIPGENE10649	21.8356419513533	NA	22.0738086828326	NA	22.9957849924637	NA	NA	NA	NA	NA	NA	NA
AIPGENE10659	29.8218228791695	29.3420851009616	29.6921387764674	30.0222387998337	29.9910438225169	28.8471091524168	NA	25.3722451333428	25.7302610408441	NA	23.8934365697246	24.1392619798802
AIPGENE10679	22.6079431505515	NA	23.1017800453834	23.0141007531811	22.4777521957342	21.5756818664737	NA	NA	NA	NA	NA	NA
AIPGENE10686	NA	NA	NA	NA	NA	NA	NA	24.3944597839188	24.3977541511007	23.5312918472274	21.7467245302374	24.550562019272
AIPGENE10708	NA	NA	NA	22.4340596747675	22.8419592354186	22.1806835637013	NA	NA	NA	NA	NA	NA
AIPGENE10716	25.2886224971806	23.7378781613223	24.6461882780263	24.2746472917881	23.3137604494629	NA	24.5610151728245	25.8635829682074	25.6904075345282	23.6469214134327	25.1562483169598	25.6062063143006
AIPGENE10764	27.678455646099	25.9834360993594	26.1991304463859	26.6477543805027	27.9191513060691	25.5521791076661	22.6375792408616	NA	24.5377276094068	NA	NA	NA
AIPGENE10773	24.3763015012131	23.9494057830399	24.0055220610035	22.7598373874369	23.7519345333188	22.2947703100331	NA	NA	NA	NA	NA	NA
AIPGENE1080	25.7106839525829	24.9441209030919	26.0621539154408	26.1084127125182	26.1660338069893	25.5641731333237	23.404407490667	NA	24.0079111721183	NA	24.4893208447554	23.9405615158638
AIPGENE10885	24.5289353305548	23.3279685606791	23.5618433430766	23.0224561264759	NA	NA	NA	NA	NA	NA	NA	NA
