Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	22.4480244393022	NA	22.5917101350554	23.3241692544421	21.7502465923436	20.7214977545055	NA	NA	NA	NA	NA	NA
AIPGENE10000	23.180149655606	22.6749677433913	24.2573036512497	24.246408385296	24.823280159184	NA	NA	NA	NA	NA	NA	NA
AIPGENE10018	24.5216357372693	24.7439065084104	24.7439065084104	24.4006212039758	25.0066063792772	24.1293950460593	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	NA	22.829572848723	NA	NA	NA	NA	NA	23.265413448267	NA	23.7524252518166	NA
AIPGENE10117	25.099082095572	24.3392592405932	25.2970913902012	24.5203375997141	25.6286136368584	23.6673985482661	NA	NA	NA	NA	NA	NA
AIPGENE10129	23.3092150326125	23.2565566697119	23.6040185883647	24.9093296081607	25.241951332457	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	28.1001287859989	27.3002676814639	27.756880130882	27.7022617792021	27.1886573979982	27.0157972674297	25.4166538803102	25.6700325049058	25.5040065597313	24.8778203561258	25.5934602031085	26.0236204284977
AIPGENE10179	NA	NA	NA	22.7178669042139	23.2059053580695	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	23.1827399339079	21.9834416745447	21.9507870681507	23.6418089077648	23.7750887511326	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	24.1701465784416	23.984024361017	24.0634488207292	24.4487850191728	NA	23.1287503531498	NA	NA	NA	NA	NA	NA
AIPGENE10361	21.4424787746148	NA	22.4006189408703	22.9114455441275	23.6217510309509	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	NA	NA	NA	22.4977438019708	NA	23.0448486665075	25.1045918024726	24.3157534280886	25.9334856654731	NA	25.2096434456261	23.1076531742077
AIPGENE10412	26.3077967569115	26.0847888660678	25.2400004834764	26.4471990300514	26.9102269382592	25.761514389923	NA	NA	NA	NA	NA	NA
AIPGENE10422	21.9107771004332	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10493	28.4900684109593	28.3055857457692	28.6090636931138	28.725308319056	29.1805415269403	28.3163973604564	24.1305711591357	24.0674213237592	25.2291235386129	24.6208564059924	24.8573550522874	NA
AIPGENE10494	27.014239722984	26.5906409527967	26.5758559087751	26.8778881519432	26.1284999322808	26.1152759194201	NA	23.2937972697891	24.8477147599286	NA	NA	NA
AIPGENE10504	27.781466371687	26.9425800810526	27.6720675403944	27.6125536826496	28.0233240359641	27.2490230448996	28.1949470636601	27.7839647292655	28.1643935264996	27.7957329505638	27.5290517697403	27.7143038316998
AIPGENE10518	24.2238595108804	25.3392743835088	25.3150353541439	26.3712551423045	25.7557484036493	25.2296208710488	NA	NA	NA	NA	NA	NA
AIPGENE10519	25.2844039402361	24.7836766525639	24.4669887558777	24.5257962514178	23.9213329635543	23.6519062047699	23.4757885649048	23.8958633392655	23.6851992140354	NA	23.5897545950338	23.6988229287358
AIPGENE1052	20.8034544999912	19.8325649876834	20.4995882551516	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10527	26.1582888873226	24.2403531828663	24.77351582277	24.8710463502214	26.6802793065079	NA	NA	NA	NA	NA	NA	NA
AIPGENE10529	20.4729899777333	22.0258414199297	23.076903487282	23.3868277476812	23.0500313476468	22.1373872274046	NA	NA	22.1597655320793	NA	NA	NA
AIPGENE10532	24.5535221898597	23.5072814102837	24.2132922168964	25.1169728305404	24.8787619639726	23.0223440371938	NA	NA	NA	NA	NA	NA
AIPGENE10535	25.2859998320622	26.1336782381398	25.8287222180769	26.384963408264	25.9168863329239	25.2109885895866	NA	NA	NA	NA	NA	NA
AIPGENE10546	21.9056802812688	NA	NA	22.3355423809856	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10560	24.0648824068143	NA	23.6065301116235	23.0016866885877	22.9741018965338	23.662102691799	NA	NA	NA	NA	NA	NA
AIPGENE10564	25.1683087743501	23.6674948421452	24.5574623913937	25.372123555023	25.1389108375129	24.4995167571161	25.4397710779214	25.7056200258326	25.5930752736311	25.3779994122094	25.2959257321677	25.0415074646444
AIPGENE10586	26.0863004408769	26.1420526611723	26.1470932232326	26.2638970050675	25.6514231314337	25.2041052476883	NA	NA	NA	NA	NA	NA
AIPGENE10587	29.8396383520132	29.123127585632	29.3200077345228	29.6628730077102	29.2342036719788	28.7486434178215	24.37264402047	24.4644882842968	24.9355106268873	23.6484656471794	23.7078169820173	23.5670957988136
AIPGENE10606	28.3260071271609	27.3917878680309	27.7007966525837	27.7724204939432	27.3626778186419	27.0600404104345	23.8280303955736	23.9150795383276	NA	23.3138576414584	23.2643081250001	24.3419994081048
AIPGENE10618	31.2444101758508	31.0701991219974	30.7875650867259	31.1850169861283	30.9228697379714	30.6124714657773	NA	22.6507665816751	NA	NA	NA	NA
AIPGENE10619	24.0606252712866	22.4695532461076	22.8684283277469	21.6397384058394	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10623	26.2601905405536	25.8604314871961	26.1060961008826	26.2640605948493	25.7516091455187	25.9058041228353	NA	NA	NA	NA	NA	NA
AIPGENE10649	22.3468806992039	NA	22.500833156794	NA	23.3690509755842	NA	NA	NA	NA	NA	NA	NA
AIPGENE10659	30.3330616270201	29.9021839373277	30.1191632504287	30.3235583706801	30.3643098056374	29.3561340905031	NA	24.7565812342403	24.7743563830232	NA	23.3954239101358	23.6811887163503
AIPGENE10679	23.1191818984021	NA	23.5288045193447	23.3154203240275	22.8510181788546	22.08470680456	NA	NA	NA	NA	NA	NA
AIPGENE10686	NA	NA	NA	NA	NA	NA	NA	23.7787958848163	23.4418494932798	23.0447053421989	21.2487118706486	24.0924887557421
AIPGENE10708	NA	NA	NA	22.735379245614	23.2152252185391	22.6897085017876	NA	NA	NA	NA	NA	NA
AIPGENE10716	25.7998612450312	24.2979769976885	25.0732127519877	24.5759668626345	23.6870264325834	NA	23.9520984645458	25.2479190691049	24.7345028767073	23.1603349084042	24.658235657371	25.1481330507707
AIPGENE10764	28.1896943939496	26.5435349357255	26.6261549203472	26.9490739513492	28.2924172891895	26.0612040457524	22.0286625325829	NA	23.5818229515859	NA	NA	NA
AIPGENE10773	24.8875402490637	24.5095046194061	24.4325465349648	23.0611569582833	24.1252005164393	22.8037952481194	NA	NA	NA	NA	NA	NA
AIPGENE1080	26.2219227004336	25.504219739458	26.4891783894022	26.4097322833646	26.5392997901097	26.07319807141	22.7954907823883	NA	23.0520065142974	NA	23.9913081851666	23.4824882523339
AIPGENE10885	25.0401740784055	23.8880673970452	23.988867817038	23.3237756973224	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10893	NA	NA	NA	NA	NA	NA	27.3360007387052	26.4352189093448	26.9749650677237	26.5476292865832	26.5697464630977	26.9384142007417
AIPGENE10895	NA	NA	NA	NA	22.890330527739	NA	NA	NA	NA	NA	NA	NA
AIPGENE10899	25.4775085709244	24.0889864434162	23.9718675509886	24.0373524050218	23.049507628326	22.1867763865534	NA	NA	NA	NA	NA	NA
AIPGENE10905	25.5194070699687	26.2451925631017	26.2862327274505	26.9599071250786	26.8189953371988	26.4447082939844	27.3683186025105	27.2472963138958	27.1751942615495	27.5901556854318	26.7987346911429	27.1157677087034
AIPGENE10921	NA	22.2761980958121	22.8261073456083	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE1093	24.5011668866073	24.1870001897294	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10935	23.1735488502989	NA	23.9786388756419	NA	22.7347794138051	NA	NA	NA	NA	NA	NA	NA
AIPGENE10940	21.5593538100775	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10966	25.6246911759333	25.6143880399982	25.824020617592	25.9385478708439	25.9302914046022	24.9837742797654	NA	NA	NA	NA	NA	NA
AIPGENE10967	22.3091579452569	NA	22.526645558308	22.7833145491879	23.029915544188	NA	NA	NA	NA	NA	NA	NA
AIPGENE10977	NA	NA	NA	22.7189914245426	22.7891671418916	NA	NA	NA	NA	NA	NA	NA
AIPGENE10991	24.9901294063396	24.5850311163616	24.688477974241	24.6676838393774	24.4872895662142	23.2869256509182	NA	NA	NA	NA	NA	NA
AIPGENE11057	25.3970882709534	24.6024586456447	25.6081304854261	24.8465272255956	25.3326496852245	25.0116757947871	24.0559336769202	23.8269814804707	25.1900595475941	24.5319875031894	24.1225448045277	NA
AIPGENE11091	24.6931396673882	23.3681227899557	25.4168473850858	25.1397096151966	25.9949194956618	23.4363136995629	NA	NA	NA	NA	NA	NA
AIPGENE11099	NA	NA	NA	22.4345092654695	22.2570399673162	NA	NA	NA	23.8073730756035	NA	21.2795057858214	NA
AIPGENE11123	27.7752457387299	27.2807737270611	27.8529306484377	27.2077971043835	27.6630136295857	27.0806425710559	28.6162665528418	28.1290653543067	28.070070555998	28.7429945691646	28.3956380556871	28.7554134665563
AIPGENE11124	22.9298958809549	NA	23.3350782020587	23.7267301251079	23.609644040452	23.3253783252342	25.1720030209567	24.4345405874045	24.505049397964	24.5376203202377	25.3485151416267	25.3603629193016
AIPGENE11167	27.6625473194654	27.3745506686194	27.6358661430828	27.8415893674148	27.5282138381663	26.1793096827673	NA	NA	NA	NA	NA	NA
AIPGENE11186	24.7440292720613	24.2742162039969	24.5945108792636	24.7416066056747	24.6323505266949	23.6537300790088	NA	NA	NA	NA	NA	NA
AIPGENE11193	23.9551669300536	23.7439421782311	24.6909703753011	23.5801874539652	24.3764457057564	NA	NA	NA	NA	NA	NA	NA
AIPGENE11223	21.5524979889592	NA	NA	NA	20.9603514285119	NA	NA	NA	NA	NA	NA	NA
AIPGENE11225	25.2809568874027	24.9502968601657	24.1728664084877	25.6466301025173	26.0032628573232	24.1864156587264	NA	NA	23.2400870489031	NA	NA	23.1266413321747
AIPGENE11237	25.0323955281499	23.6055887420131	24.6664587469242	23.7604863146605	23.3010766718963	NA	NA	NA	20.248574309678	NA	NA	NA
AIPGENE1127	NA	NA	NA	22.8829211107146	25.2900290576566	NA	NA	NA	NA	NA	NA	NA
AIPGENE11276	27.2705666148411	27.2948619563614	26.133304208406	24.6795480765499	26.4432882955034	25.9478150374692	NA	NA	NA	NA	NA	NA
AIPGENE11286	28.3534453767474	28.2260379105723	27.2642992281927	25.9614173273888	26.532436566593	27.272968038595	NA	23.9535835816869	NA	NA	22.6026850456693	NA
AIPGENE11306	24.2008498395292	24.2563474465684	24.1311472327239	22.0899982934415	24.0246688789957	22.228601094149	NA	NA	NA	NA	NA	NA
AIPGENE11311	24.9739304081931	24.3938453398945	24.863089337732	24.8687283272396	24.9385175823622	NA	NA	NA	NA	NA	NA	NA
AIPGENE11320	22.9280291033285	21.2923727855497	22.4534773718542	NA	21.946166760601	NA	NA	NA	NA	NA	NA	NA
AIPGENE11341	24.2061900812095	NA	23.4552914798667	24.9756049016789	24.1421579436855	23.9334169940702	NA	NA	NA	NA	NA	NA
AIPGENE11352	22.2849566682039	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11368	NA	NA	NA	NA	NA	NA	NA	23.3702123481462	23.7244115781007	23.1323164854234	21.8518197786131	23.4637666484544
AIPGENE11410	21.5307013183876	NA	NA	23.5175685239727	NA	NA	NA	22.0434437916006	NA	NA	NA	NA
AIPGENE11420	28.1733429409705	27.5729461238349	27.8208807175007	28.0726827789915	27.3229540765477	27.1625950416773	24.0994375389056	24.2881698158135	25.4212871062185	NA	NA	22.8055041248493
AIPGENE11421	28.643839422973	27.8192503272599	28.4717786076021	28.6108822883633	28.2263003763082	25.9831569696618	22.1895871058955	21.8108739028835	24.0517487849747	23.5216150893008	NA	NA
AIPGENE1143	22.623196358333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11436	22.6980521443319	NA	23.1248823407055	23.6441821890129	22.9468476092509	NA	23.8046482199063	NA	NA	24.6908351872832	23.8599782623041	NA
AIPGENE11440	25.2676987304532	24.4238982435271	24.1484199584395	24.8922176902933	23.5796541694942	23.5724141923507	NA	NA	NA	NA	NA	NA
AIPGENE11487	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.084239302024	NA
AIPGENE11497	24.7439065084104	24.6989019747103	25.1118743086622	23.9429819461579	25.2350185371519	25.0472321718119	NA	NA	24.7109381359499	NA	NA	NA
AIPGENE11506	25.6879012284301	25.851208361581	26.2592342206729	26.0039395525613	25.5959313486924	25.352391004529	NA	NA	23.3387168008423	NA	NA	NA
AIPGENE11531	NA	NA	NA	NA	22.1298292049692	NA	NA	NA	NA	NA	NA	NA
AIPGENE11540	25.7151804158886	25.2094934165614	26.8258708110799	25.6223957897266	25.6445697536449	24.842520088069	NA	23.313171709801	23.1696264957599	NA	NA	NA
AIPGENE11551	23.3438426297931	NA	22.3708456533437	22.7607275080989	22.552761882688	NA	24.6919341440672	24.8199339789655	23.7727411485938	24.0703838971282	23.9926910223416	24.3631314106277
