Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	4924955	NA	6027001	10029117.5	3348437.2	2030793	NA	NA	NA	NA	NA	NA
AIPGENE10000	8180765	7056132	19120307.5	19005721.5	28178472	NA	NA	NA	NA	NA	NA	NA
AIPGENE10018	20731058	29605972	26790260	21149838	31996622	21554848	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	NA	7107307	NA	NA	NA	NA	NA	17953270	NA	11643790	NA
AIPGENE10117	30935001.5	22364972	39309921	22979748.5	49243280	15648408	NA	NA	NA	NA	NA	NA
AIPGENE10129	8946362	10559477	12157281.5	30091479	37666045	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	247659626.5	174148892.5	216258091	208545053.5	145200108	159381758	40591327	53817654	84728055	22838866	41715851	54142964
AIPGENE10179	NA	NA	NA	6587908	9184153	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	8195466.3	4369146.5	3865130.8	12499187.5	13626376.5	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	16248478	17483646	16716246	21867835.5	NA	10772609	NA	NA	NA	NA	NA	NA
AIPGENE10361	2453030	NA	5279309	7533911.3	12252399	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	NA	NA	NA	5655667.5	NA	10163984	32695893	21049711	114107274	NA	31971333.5	7173786
AIPGENE10412	71500571.1	74993761	37784710.2	87375235.5	119715675.2	66813134	NA	NA	NA	NA	NA	NA
AIPGENE10422	3393709.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10493	324517960	349584050	390395838	423806476	577542316	392607194	16644999	17721102	70029206	19112640	25044443	NA
AIPGENE10494	116672911	106488273.5	95378096	117771092.5	69635026	85379710	NA	10365892	53760552	NA	NA	NA
AIPGENE10504	198576690.5	135908312.5	203911270.8	195972469.5	258956391	187346924.3	278472833.8	232960221.5	535652966	172605151	159577710	174778675.8
AIPGENE10518	16864827	44730413.5	39801903.5	82894739.5	53779697	46211061	NA	NA	NA	NA	NA	NA
AIPGENE10519	35175281	30433460	22111407	23066860.5	15080102	15481267	10572424	15734271	24016608	NA	10402210	10807077
AIPGENE1052	1575206.1	983825.8	1413545.6	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10527	64461908.2	20883085.6	27345774	29303475	102077467	NA	NA	NA	NA	NA	NA	NA
AIPGENE10529	1252730.5	4499458	8436436	10474295.1	8243589.5	5418647	NA	NA	8342772	NA	NA	NA
AIPGENE10532	21194357	12563715	18545823	34749645	29283240	10006666	NA	NA	NA	NA	NA	NA
