Protein.ID	Control-Symbiosome_PValue	Control-Symbiosome_AdjPVal	Control-Symbiosome_log2FoldChange	featureAvg	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	NA	NA	NA	NA	22.234547241111	NA	22.646891919915	23.2193320300514	21.5952554625009	21.0990511288067	NA	NA	NA	NA	NA	NA
AIPGENE10000	NA	NA	NA	NA	22.7957001949146	22.7668074083515	24.0193697166227	23.9762040438417	24.5301267090591	NA	NA	NA	NA	NA	NA	NA
AIPGENE10018	NA	NA	NA	NA	23.9685715403309	24.7174990954796	24.3409003298272	23.9050775873804	24.5490414631114	24.5063461389373	NA	NA	NA	NA	NA	NA
AIPGENE10063	0.456290379345853	0.5227976486601	-0.543144237697899	23.0274180490198	NA	NA	22.6653218905545	NA	NA	NA	NA	NA	22.6900546188356	NA	23.7268776376692	NA
AIPGENE10117	NA	NA	NA	NA	24.5092063105313	24.2755054086792	24.8550689551105	23.9805229820208	25.1395353027708	24.0318950486745	NA	NA	NA	NA	NA	NA
AIPGENE10129	NA	NA	NA	NA	22.8765219770765	23.3195815710073	23.3284748650433	24.5899163803163	24.9046886237482	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	0.181697574846423	0.233611167659687	-0.336101652262183	26.845493146609	26.9328715330125	26.6000035264127	26.7938270725132	26.687063555637	26.2148568837637	26.8360313515282	26.911003229622	27.1217364671639	26.870242762909	26.3252481305731	27.1631286900495	27.6899045561229
AIPGENE10179	NA	NA	NA	NA	NA	NA	NA	22.5529943038688	23.0104392672169	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	NA	NA	NA	NA	22.9349797917516	22.2111165528685	21.8773106216069	23.4792252427661	23.5806574710597	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	NA	NA	NA	NA	23.7389642834904	24.0476406181785	23.7893789183085	24.1294663928564	NA	23.5274908309947	NA	NA	NA	NA	NA	NA
