Protein.ID	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity
AIPGENE10	0	0	0	0	0	0	4924955	0	6027001	10029118	3348437.2	2030793
AIPGENE10000	0	0	0	0	0	0	8180765	7056132	19120308	19005722	28178472	0
AIPGENE10018	0	0	0	0	0	0	20731058	29605972	26790260	21149838	31996622	21554848
AIPGENE10063	0	0	17953270	0	11643790	0	0	0	7107307	0	0	0
AIPGENE10117	0	0	0	0	0	0	30935002	22364972	39309920	22979748	49243280	15648408
AIPGENE10129	0	0	0	0	0	0	8946362	10559477	12157282	30091480	37666044	0
AIPGENE10134	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE10143	40591330	53817656	84728056	22838866	41715852	54142960	247659620	174148900	216258080	208545060	145200110	159381760
AIPGENE10178	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE10179	0	0	0	0	0	0	0	0	0	6587908	9184153	0
AIPGENE10188	0	0	0	0	0	0	8195466	4369146.5	3865130.8	12499188	13626376	0
AIPGENE10210	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE10274	0	0	0	0	0	0	20370776	17483646	22561192	21867836	25571174	10772609
AIPGENE10288	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE10344	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE10361	0	0	0	0	0	0	2453030	0	5279309	7533911	12252399	0
AIPGENE10389	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE1040	32695892	21049712	114107270	0	31971334	7173786	0	0	0	5655667.5	0	10163984
AIPGENE10412	0	0	0	0	0	0	71500580	74993760	37784708	87375240	119715690	66813136
AIPGENE10422	0	0	0	0	0	0	3393709.8	0	0	0	0	0
AIPGENE10493	35840276	31044570	84421950	57653412	37980744	12825832	409577340	394354700	462486660	501618080	680985500	477612480
AIPGENE10494	0	10365892	53760550	0	0	0	116672920	106488280	95378100	117771096	69635020	85379710
AIPGENE10504	318788480	254047140	611012350	202200220	173896740	174778670	227806060	151584300	223903920	214323940	279731620	210393760
AIPGENE10518	0	0	0	0	0	0	16864828	44730412	39801904	82894740	53779696	46211064
AIPGENE10519	10572424	15734271	24016608	0	10402210	10807077	35175280	30433460	22111408	23066860	15080102	15481267
AIPGENE1052	0	0	0	0	0	0	1575206.1	983825.8	1413545.6	0	0	0
AIPGENE10527	0	0	0	0	0	0	64461910	20883084	27345774	29303474	102077464	0
AIPGENE10529	0	0	8342772	0	0	0	1252730.5	4499458	8436436	10474295	8243589.5	5418647
AIPGENE10532	0	0	0	0	0	0	21194356	12563715	18545824	34749644	29283240	10006666
AIPGENE10535	0	0	0	0	0	0	35214216	77578670	56824940	83686140	60134776	45618090
AIPGENE10541	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE10546	0	0	0	0	0	0	3381741.5	0	0	5054246	0	0
AIPGENE10560	0	0	0	0	0	0	15105149	0	12178464	8020211	7820946.5	15591071
AIPGENE10564	50734400	55161704	90123820	32303042	44574824	27409212	32455586	14039354	23542448	47174532	35069670	27858818
AIPGENE10584	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE10586	0	0	0	0	0	0	61324280	78030290	70856260	76950056	50028020	45400950
AIPGENE10587	19685886	23335644	57133772	9740963	11289272	9864031	837610700	616107200	639029100	811713300	606586940	529757700
AIPGENE10606	13496151	15945248	0	7724579.5	8301498	16878104	289635230	185554300	208012590	218937330	163814480	164345250
AIPGENE10618	11531446	6637968	34156200	14789593	12365310	0	2283235600	2448129300	1821569700	2423720400	1998327800	1999959300
AIPGENE10619	0	0	0	0	0	0	15060642	6119709	7301326	3120315.5	0	0
AIPGENE10623	0	0	0	0	0	0	69179700	64192876	68871070	76958780	53625616	73840970
AIPGENE10649	0	0	0	0	0	0	4591504	0	5659063.5	0	10283734	0
AIPGENE10659	0	28572520	51095264	0	9091306	10675785	1184947300	1072921400	1111963400	1303148000	1332191700	807142600
AIPGENE10679	0	0	0	0	0	0	7842252	0	11539707	9968482	7181372	5224352.5
AIPGENE10686	0	14507942	20288788	6409910	2053059.5	14197552	0	0	0	0	0	0
AIPGENE10708	0	0	0	0	0	0	0	0	0	6668363.5	9243675	7946138.5
AIPGENE10716	14708153	40165756	49703108	6944802.5	21815766	29511688	50281210	21734076	33659530	23883134	12819497	0
AIPGENE10752	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE10764	3877450.2	0	22355908	0	0	0	263522180	103067440	98762070	123727930	312055420	82238920
AIPGENE10773	0	0	0	0	0	0	26715894	25166182	21589780	8357726	17368988	8600024
AIPGENE10795	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE1080	6597578	0	15484660	0	13740587	9302186	67368800	50148324	89816504	85135310	92574376	82925480
AIPGENE10885	0	0	0	0	0	0	29697308	16358598	15874046	10026382	0	0
AIPGENE10893	153537420	91467920	234871280	72666980	82071530	102075704	0	0	0	0	0	0
AIPGENE10895	0	0	0	0	0	0	0	0	0	0	7379749.5	0
AIPGENE10899	0	0	0	0	0	0	40213130	18803068	15688089	16441908	8240597.5	5607360.5
AIPGENE10905	157015630	160593700	269839100	149681740	96188880	115427980	41398116	83813016	78030320	124660504	112379620	107281220
AIPGENE10921	0	0	0	0	0	0	0	5352110.5	7090255	0	0	0
AIPGENE1093	0	0	0	0	0	0	20439004	20124904	0	0	0	0
AIPGENE10935	0	0	0	0	0	0	8143421	0	15761894	0	6625460.5	0
AIPGENE10940	0	0	0	0	0	0	2660025.2	0	0	0	0	0
AIPGENE10959	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE10966	0	0	0	0	0	0	44532212	54127800	56640056	61414244	60696136	38970748
AIPGENE10967	0	0	0	0	0	0	4473004	0	5761225.5	6893650	8129445	0
AIPGENE10977	0	0	0	0	0	0	0	0	0	6593045	6879999.5	0
AIPGENE10991	0	0	0	0	0	0	28684820	26518752	25780496	25450768	22324112	12020884
AIPGENE11057	15805770	15000686	68158460	17970844	15049132	0	38032856	26841036	48767924	28809660	40110028	39731772
AIPGENE11091	0	0	0	0	0	0	23347980	11408464	42712236	35301630	63476948	13332350
AIPGENE11099	0	0	26139042	0	2097352.5	0	0	0	0	5413129	4757756	0
AIPGENE11123	372917400	295915300	501752400	332818850	290964960	359661280	197722290	171811580	231146030	148030500	201726240	166708980
AIPGENE11124	34259892	22856232	42394660	18041146	35201836	34188624	6877966	0	10089679	13257011	12150008	12345589
AIPGENE1116	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE11167	0	0	0	0	0	0	182864780	183350510	198858220	229689780	183731520	89254630
AIPGENE11173	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE11186	0	0	0	0	0	0	24186252	21379052	24154852	26788838	24685498	15500851
AIPGENE11193	0	0	0	0	0	0	13999011	14803352	25825074	11976554	20673160	0
AIPGENE11223	0	0	0	0	0	0	2647414.5	0	0	0	1936689.6	0
AIPGENE11225	0	0	17640852	0	0	7268828.5	35091336	34159304	18033364	50164108	63845110	22423834
AIPGENE11237	0	0	2218117.2	0	0	0	29537620	13449667	25390008	13570856	9810441	0
AIPGENE11263	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE1127	0	0	0	0	0	0	0	0	0	7386416.5	38942416	0
AIPGENE11276	0	0	0	0	0	0	139358060	173497580	70182260	25660930	86614080	76022820
AIPGENE11286	0	16376540	0	0	5247930.5	0	295196450	330830370	153705980	62395536	92135030	190482350
AIPGENE11306	0	0	0	0	0	0	16597982	21115892	17519350	4263244.5	16199868	5772301
