GO.ID	Term	Annotated	Significant	Expected	P_value
GO:0006412	translation	509	103	27.96	2.6e-19
GO:0006099	tricarboxylic acid cycle	46	21	2.53	5.3e-15
GO:0006096	glycolytic process	39	13	2.14	3.3e-09
GO:0006457	protein folding	138	33	7.58	8.3e-09
GO:0045454	cell redox homeostasis	75	19	4.12	1.5e-08
GO:0006886	intracellular protein transport	537	66	29.5	1.6e-08
GO:0002474	antigen processing and presentation of peptide antigen via MHC class I	21	10	1.15	4.8e-08
GO:0006094	gluconeogenesis	35	12	1.92	4.8e-08
GO:0006007	glucose catabolic process	23	10	1.26	1.4e-07
GO:0046039	GTP metabolic process	212	33	11.65	1.8e-07
GO:0006098	pentose-phosphate shunt	16	9	0.88	4.0e-07
GO:1901069	guanosine-containing compound catabolic process	203	30	11.15	7.3e-07
GO:0071346	cellular response to type II interferon	26	8	1.43	1.9e-06
GO:0007339	binding of sperm to zona pellucida	13	7	0.71	1.9e-06
GO:0006414	translational elongation	42	14	2.31	2.6e-06
GO:0051693	actin filament capping	40	13	2.2	5.5e-06
GO:0050794	regulation of cellular process	7753	342	425.93	6.5e-06
GO:0017148	negative regulation of translation	138	14	7.58	1.9e-05
GO:0006105	succinate metabolic process	8	5	0.44	2.4e-05
GO:0006107	oxaloacetate metabolic process	8	5	0.44	2.4e-05
GO:0034641	cellular nitrogen compound metabolic process	7893	385	433.62	3.5e-05
GO:0006166	purine ribonucleoside salvage	6	5	0.33	4.3e-05
GO:0006002	fructose 6-phosphate metabolic process	5	4	0.27	4.3e-05
GO:0006730	one-carbon metabolic process	31	11	1.7	0.00012
GO:0061025	membrane fusion	75	13	4.12	0.00012
GO:0007294	germarium-derived oocyte fate determination	6	4	0.33	0.00012
GO:0051258	protein polymerization	168	35	9.23	0.00014
GO:0009165	nucleotide biosynthetic process	327	34	17.96	0.00016
GO:0022618	protein-RNA complex assembly	103	18	5.66	0.00016
GO:0006103	2-oxoglutarate metabolic process	13	6	0.71	0.00017
GO:0044179	hemolysis in another organism	47	10	2.58	0.00019
GO:0006936	muscle contraction	143	14	7.86	0.00021
GO:0010830	regulation of myotube differentiation	23	5	1.26	0.00028
GO:0030043	actin filament fragmentation	7	4	0.38	0.00028
GO:0061077	chaperone-mediated protein folding	22	7	1.21	0.00028
GO:0006006	glucose metabolic process	110	31	6.04	0.00029
GO:0006413	translational initiation	95	19	5.22	0.00030
GO:0006897	endocytosis	578	50	31.75	0.00036
GO:0065007	biological regulation	8687	403	477.24	0.00050
GO:0006450	regulation of translational fidelity	8	4	0.44	0.00053
GO:0009436	glyoxylate catabolic process	4	3	0.22	0.00063
GO:0070814	hydrogen sulfide biosynthetic process	4	3	0.22	0.00063
GO:0033539	fatty acid beta-oxidation using acyl-CoA dehydrogenase	4	3	0.22	0.00063
GO:0006172	ADP biosynthetic process	4	3	0.22	0.00063
GO:0042398	cellular modified amino acid biosynthetic process	82	13	4.5	0.00064
GO:0006144	purine nucleobase metabolic process	34	9	1.87	0.00065
GO:0008152	metabolic process	13948	822	766.27	0.00069
GO:0018208	peptidyl-proline modification	44	9	2.42	0.00071
GO:0006614	SRP-dependent cotranslational protein targeting to membrane	21	6	1.15	0.00072
GO:0030833	regulation of actin filament polymerization	99	24	5.44	0.00088
GO:0051016	barbed-end actin filament capping	20	5	1.1	0.00091
GO:0035999	tetrahydrofolate interconversion	9	4	0.49	0.00091
GO:0006097	glyoxylate cycle	9	4	0.49	0.00091
GO:0006048	UDP-N-acetylglucosamine biosynthetic process	9	4	0.49	0.00091
GO:0046168	glycerol-3-phosphate catabolic process	9	4	0.49	0.00091
GO:0006751	glutathione catabolic process	9	4	0.49	0.00091
GO:0051231	spindle elongation	15	5	0.82	0.00094
GO:0006890	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	15	5	0.82	0.00094
GO:0019886	antigen processing and presentation of exogenous peptide antigen via MHC class II	30	7	1.65	0.00099
GO:0009168	purine ribonucleoside monophosphate biosynthetic process	52	11	2.86	0.00120
GO:0007017	microtubule-based process	655	47	35.98	0.00120
GO:0006446	regulation of translational initiation	53	10	2.91	0.00121
GO:0018279	protein N-linked glycosylation via asparagine	40	8	2.2	0.00129
GO:0046835	carbohydrate phosphorylation	16	5	0.88	0.00130
GO:0009083	branched-chain amino acid catabolic process	17	7	0.93	0.00151
GO:0034063	stress granule assembly	5	3	0.27	0.00152
GO:0006574	valine catabolic process	5	3	0.27	0.00152
GO:0008652	amino acid biosynthetic process	167	36	9.17	0.00165
GO:0006631	fatty acid metabolic process	268	33	14.72	0.00177
GO:0051289	protein homotetramerization	33	7	1.81	0.00180
