GO.ID	Term	Annotated	Significant	Expected	P_value
GO:0007264	small GTPase mediated signal transduction	532	19	4.02	6.3e-10
GO:0015988	energy coupled proton transmembrane transport, against electrochemical gradient	15	6	0.11	7.9e-10
GO:1901069	guanosine-containing compound catabolic process	203	13	1.53	4.8e-09
GO:0046039	GTP metabolic process	212	12	1.6	7.5e-08
GO:0042632	cholesterol homeostasis	38	6	0.29	3.8e-07
GO:0033344	cholesterol efflux	29	6	0.22	6.0e-07
GO:0043691	reverse cholesterol transport	13	4	0.1	2.1e-06
GO:0009207	purine ribonucleoside triphosphate catabolic process	650	17	4.91	8.6e-06
GO:0009154	purine ribonucleotide catabolic process	673	18	5.08	1.1e-05
GO:0006629	lipid metabolic process	1033	33	7.8	1.5e-05
GO:0016042	lipid catabolic process	203	12	1.53	1.7e-05
GO:0007009	plasma membrane organization	73	6	0.55	1.9e-05
GO:0055092	sterol homeostasis	40	8	0.3	5.2e-05
GO:0045456	ecdysteroid biosynthetic process	2	2	0.02	5.7e-05
GO:0061057	peptidoglycan recognition protein signaling pathway	2	2	0.02	5.7e-05
GO:0006622	protein targeting to lysosome	13	3	0.1	0.00011
GO:0055091	phospholipid homeostasis	14	3	0.11	0.00014
GO:0070837	dehydroascorbic acid transport	3	2	0.02	0.00017
GO:0034375	high-density lipoprotein particle remodeling	3	2	0.02	0.00017
GO:0030947	regulation of vascular endothelial growth factor receptor signaling pathway	17	3	0.13	0.00027
GO:0043652	engulfment of apoptotic cell	5	2	0.04	0.00056
GO:0015918	sterol transport	63	9	0.48	0.00076
GO:0006820	monoatomic anion transport	379	11	2.86	0.00082
GO:0031579	membrane raft organization	6	2	0.05	0.00083
GO:0006689	ganglioside catabolic process	6	2	0.05	0.00083
GO:0006869	lipid transport	187	15	1.41	0.00107
GO:0045851	pH reduction	7	2	0.05	0.00116
GO:0006108	malate metabolic process	7	2	0.05	0.00116
GO:0032367	intracellular cholesterol transport	28	3	0.21	0.00120
GO:0015711	organic anion transport	265	8	2	0.00123
GO:0019369	arachidonic acid metabolic process	29	3	0.22	0.00133
GO:1901568	fatty acid derivative metabolic process	64	5	0.48	0.00142
GO:0009313	oligosaccharide catabolic process	8	2	0.06	0.00154
GO:0042136	neurotransmitter biosynthetic process	8	2	0.06	0.00154
GO:0034605	cellular response to heat	32	3	0.24	0.00178
GO:0006911	phagocytosis, engulfment	39	5	0.29	0.00205
GO:0006810	transport	3998	64	30.18	0.00237
GO:0031408	oxylipin biosynthetic process	10	2	0.08	0.00245
GO:0032489	regulation of Cdc42 protein signal transduction	10	2	0.08	0.00245
GO:0055081	monoatomic anion homeostasis	37	3	0.28	0.00271
