GO.ID	Term	Annotated	Significant	Expected	P_value
GO:0005764	lysosome	470	26	3.98	1.8e-08
GO:0042470	melanosome	82	9	0.69	3.0e-08
GO:0005765	lysosomal membrane	260	13	2.2	3.3e-07
GO:0005901	caveola	49	6	0.41	3.4e-06
GO:0030659	cytoplasmic vesicle membrane	636	26	5.38	6.8e-06
GO:0033179	proton-transporting V-type ATPase, V0 domain	6	3	0.05	1.2e-05
GO:0033180	proton-transporting V-type ATPase, V1 domain	6	3	0.05	1.2e-05
GO:0045179	apical cortex	9	3	0.08	4.8e-05
GO:0070062	extracellular exosome	604	16	5.11	5.4e-05
GO:0005794	Golgi apparatus	1094	20	9.26	0.00077
GO:0031902	late endosome membrane	90	5	0.76	0.00100
GO:0005886	plasma membrane	3462	53	29.3	0.00118
GO:0030670	phagocytic vesicle membrane	28	3	0.24	0.00167
GO:0045335	phagocytic vesicle	60	6	0.51	0.00234
GO:0005615	extracellular space	1149	27	9.72	0.00360
GO:0045121	membrane raft	177	11	1.5	0.00398
GO:0005576	extracellular region	2653	46	22.45	0.00560
GO:0016020	membrane	7607	105	64.38	0.00566
GO:0009898	cytoplasmic side of plasma membrane	70	4	0.59	0.00602
GO:0045120	pronucleus	15	2	0.13	0.00695
GO:0031965	nuclear membrane	206	6	1.74	0.00823
GO:0005935	cellular bud neck	1	1	0.01	0.00846
GO:0005895	interleukin-5 receptor complex	1	1	0.01	0.00846
GO:0005641	nuclear envelope lumen	18	2	0.15	0.00996
GO:0031201	SNARE complex	23	2	0.19	0.01602
GO:0016507	mitochondrial fatty acid beta-oxidation multienzyme complex	2	1	0.02	0.01686
GO:0016471	vacuolar proton-transporting V-type ATPase complex	2	1	0.02	0.01686
GO:0070451	cell hair	2	1	0.02	0.01686
GO:0033181	plasma membrane proton-transporting V-type ATPase complex	2	1	0.02	0.01686
GO:0055038	recycling endosome membrane	24	2	0.2	0.01738
GO:0045178	basal part of cell	158	4	1.34	0.02490
GO:0031901	early endosome membrane	75	3	0.63	0.02576
GO:0030133	transport vesicle	225	8	1.9	0.03167
GO:0020002	host cell plasma membrane	4	1	0.03	0.03343
GO:0097233	alveolar lamellar body membrane	4	1	0.03	0.03343
GO:0030864	cortical actin cytoskeleton	36	2	0.3	0.03715
GO:0005776	autophagosome	37	2	0.31	0.03906
GO:0043160	acrosomal lumen	5	1	0.04	0.04161
GO:0072562	blood microparticle	5	1	0.04	0.04161
GO:0009277	fungal-type cell wall	6	1	0.05	0.04972
GO:0031258	lamellipodium membrane	7	1	0.06	0.05777
GO:0043202	lysosomal lumen	52	3	0.44	0.05938
GO:0097487	multivesicular body, internal vesicle	8	1	0.07	0.06575
GO:0008021	synaptic vesicle	118	4	1	0.06817
GO:0005921	gap junction	9	1	0.08	0.07366
GO:0031093	platelet alpha granule lumen	9	1	0.08	0.07366
GO:0042584	chromaffin granule membrane	11	1	0.09	0.08928
GO:0001891	phagocytic cup	12	1	0.1	0.09699
GO:0005834	heterotrimeric G-protein complex	12	1	0.1	0.09699
GO:0048471	perinuclear region of cytoplasm	373	6	3.16	0.09749
GO:0016323	basolateral plasma membrane	136	3	1.15	0.10861
GO:0030672	synaptic vesicle membrane	67	2	0.57	0.11031
GO:0045177	apical part of cell	312	6	2.64	0.11062
GO:0031012	extracellular matrix	673	7	5.7	0.11374
GO:0016363	nuclear matrix	70	2	0.59	0.11857
GO:0030658	transport vesicle membrane	138	4	1.17	0.11947
GO:0031083	BLOC-1 complex	15	1	0.13	0.11974
GO:0032588	trans-Golgi network membrane	15	1	0.13	0.11974
GO:0005743	mitochondrial inner membrane	313	5	2.65	0.12700
GO:0022625	cytosolic large ribosomal subunit	16	1	0.14	0.12720
GO:0030054	cell junction	1153	12	9.76	0.13914
GO:0031528	microvillus membrane	19	1	0.16	0.14919
GO:0032589	neuron projection membrane	81	2	0.69	0.15007
GO:0033116	endoplasmic reticulum-Golgi intermediate compartment membrane	20	1	0.17	0.15640
GO:0005739	mitochondrion	1348	15	11.41	0.16288
GO:0031410	cytoplasmic vesicle	1331	41	11.26	0.17140
GO:0030315	T-tubule	27	1	0.23	0.20519
GO:0042645	mitochondrial nucleoid	28	1	0.24	0.21192
GO:0005811	lipid droplet	30	1	0.25	0.22523
GO:0010008	endosome membrane	286	12	2.42	0.23373
GO:0097610	cell surface furrow	33	1	0.28	0.24476
GO:0005768	endosome	566	15	4.79	0.24642
GO:0005802	trans-Golgi network	129	3	1.09	0.24912
GO:0032154	cleavage furrow	34	1	0.29	0.25117
GO:0005581	collagen trimer	214	3	1.81	0.27182
GO:0030496	midbody	214	3	1.81	0.27182
GO:0012505	endomembrane system	2957	45	25.03	0.27686
GO:0030666	endocytic vesicle membrane	70	4	0.59	0.29588
GO:0005783	endoplasmic reticulum	1183	11	10.01	0.29704
GO:0019897	extrinsic component of plasma membrane	70	2	0.59	0.31097
GO:0044218	other organism cell membrane	44	1	0.37	0.31231
GO:0030027	lamellipodium	142	3	1.2	0.31430
GO:0030139	endocytic vesicle	151	8	1.28	0.32962
GO:0032587	ruffle membrane	52	1	0.44	0.35763
GO:0042995	cell projection	1481	13	12.53	0.36869
GO:0005770	late endosome	160	6	1.35	0.39141
GO:0005774	vacuolar membrane	326	14	2.76	0.39189
GO:0009986	cell surface	400	5	3.39	0.41938
GO:0042151	nematocyst	74	1	0.63	0.46753
GO:0005912	adherens junction	187	2	1.58	0.47123
GO:0005856	cytoskeleton	1856	9	15.71	0.49042
GO:0009897	external side of plasma membrane	87	1	0.74	0.52347
GO:0005741	mitochondrial outer membrane	102	1	0.86	0.58079
GO:0016324	apical plasma membrane	236	2	2	0.59621
GO:0044815	DNA packaging complex	108	1	0.91	0.60176
GO:0005925	focal adhesion	120	1	1.02	0.64061
GO:0005789	endoplasmic reticulum membrane	649	5	5.49	0.64663
GO:0005635	nuclear envelope	342	7	2.89	0.65104
GO:0031090	organelle membrane	2449	48	20.73	0.73294
GO:0005730	nucleolus	602	4	5.09	0.75408
GO:0098588	bounding membrane of organelle	1702	33	14.4	0.76610
GO:0005911	cell-cell junction	369	4	3.12	0.77641
GO:0005829	cytosol	1499	11	12.69	0.79607
GO:0005622	intracellular anatomical structure	12381	96	104.78	0.79713
GO:0043005	neuron projection	810	6	6.86	0.82548
GO:0005604	basement membrane	220	1	1.86	0.84763
GO:0032993	protein-DNA complex	223	1	1.89	0.85151
GO:0030424	axon	402	2	3.4	0.85763
GO:0005938	cell cortex	376	7	3.18	0.85831
GO:0043025	neuronal cell body	295	1	2.5	0.92020
GO:0005813	centrosome	495	2	4.19	0.92500
GO:0030425	dendrite	339	1	2.87	0.94547
GO:0005874	microtubule	405	1	3.43	0.96925
GO:0045202	synapse	665	5	5.63	0.97335
GO:0005929	cilium	444	1	3.76	0.97810
GO:0005694	chromosome	665	1	5.63	0.99685
GO:0005737	cytoplasm	9367	90	79.27	0.99990
GO:0032991	protein-containing complex	4079	19	34.52	0.99999
GO:0005634	nucleus	5371	23	45.46	1.00000
GO:1990904	ribonucleoprotein complex	350	1	2.96	1.00000
GO:0005759	mitochondrial matrix	205	1	1.73	1.00000
GO:0062023	collagen-containing extracellular matrix	287	1	2.43	1.00000
GO:0030863	cortical cytoskeleton	56	2	0.47	1.00000
GO:0034399	nuclear periphery	84	2	0.71	1.00000
GO:0097708	intracellular vesicle	1331	41	11.26	1.00000
GO:0044853	plasma membrane raft	49	6	0.41	1.00000
GO:0033176	proton-transporting V-type ATPase complex	14	7	0.12	1.00000
GO:0033177	proton-transporting two-sector ATPase complex, proton-transporting domain	12	3	0.1	1.00000
GO:0042583	chromaffin granule	11	1	0.09	1.00000
GO:0036477	somatodendritic compartment	477	2	4.04	1.00000
GO:0033178	proton-transporting two-sector ATPase complex, catalytic domain	10	3	0.08	1.00000
GO:0055037	recycling endosome	65	2	0.55	1.00000
GO:0099568	cytoplasmic region	116	3	0.98	1.00000
GO:0098852	lytic vacuole membrane	262	13	2.22	1.00000
GO:0015934	large ribosomal subunit	39	1	0.33	1.00000
GO:0098857	membrane microdomain	177	11	1.5	1.00000
GO:0005771	multivesicular body	23	1	0.19	1.00000
GO:0098858	actin-based cell projection	130	1	1.1	1.00000
GO:0098562	cytoplasmic side of membrane	74	4	0.63	1.00000
GO:0005773	vacuole	568	28	4.81	1.00000
GO:0005775	vacuolar lumen	53	3	0.45	1.00000
GO:0071944	cell periphery	4253	63	35.99	1.00000
GO:0030141	secretory granule	214	4	1.81	1.00000
GO:0044217	other organism part	67	1	0.57	1.00000
GO:0018995	host cellular component	33	1	0.28	1.00000
GO:1904949	ATPase complex	82	7	0.69	1.00000
GO:0000323	lytic vacuole	472	26	3.99	1.00000
GO:0065010	extracellular membrane-bounded organelle	765	16	6.47	1.00000
GO:0098552	side of membrane	161	5	1.36	1.00000
GO:0005902	microvillus	73	1	0.62	1.00000
GO:0140535	intracellular protein-containing complex	562	1	4.76	1.00000
GO:0036125	fatty acid beta-oxidation multienzyme complex	2	1	0.02	1.00000
GO:0030667	secretory granule membrane	108	2	0.91	1.00000
GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	26	1	0.22	1.00000
GO:0044391	ribosomal subunit	81	1	0.69	1.00000
GO:0099080	supramolecular complex	903	1	7.64	1.00000
GO:0009295	nucleoid	35	1	0.3	1.00000
GO:0099081	supramolecular polymer	677	1	5.73	1.00000
GO:0098827	endoplasmic reticulum subcompartment	652	5	5.52	1.00000
GO:0005740	mitochondrial envelope	458	6	3.88	1.00000
GO:0031082	BLOC complex	22	1	0.19	1.00000
GO:0030055	cell-substrate junction	138	1	1.17	1.00000
GO:0005575	cellular_component	17842	151	151	1.00000
GO:0032153	cell division site	42	1	0.36	1.00000
GO:0016469	proton-transporting two-sector ATPase complex	26	7	0.22	1.00000
GO:0005815	microtubule organizing center	648	2	5.48	1.00000
GO:0099738	cell cortex region	12	3	0.1	1.00000
GO:0099512	supramolecular fiber	674	1	5.7	1.00000
GO:0099513	polymeric cytoskeletal fiber	483	1	4.09	1.00000
GO:0005840	ribosome	216	1	1.83	1.00000
GO:1902494	catalytic complex	1036	9	8.77	1.00000
GO:0042383	sarcolemma	102	1	0.86	1.00000
GO:0009925	basal plasma membrane	155	3	1.31	1.00000
GO:0097447	dendritic tree	339	1	2.87	1.00000
GO:0031966	mitochondrial membrane	428	6	3.62	1.00000
GO:0031967	organelle envelope	800	13	6.77	1.00000
GO:0031968	organelle outer membrane	113	1	0.96	1.00000
GO:0043226	organelle	11049	93	93.51	1.00000
GO:0043227	membrane-bounded organelle	9736	86	82.4	1.00000
GO:0060205	cytoplasmic vesicle lumen	16	2	0.14	1.00000
GO:0043228	non-membrane-bounded organelle	3431	17	29.04	1.00000
GO:0043229	intracellular organelle	10465	87	88.57	1.00000
GO:0001726	ruffle	83	1	0.7	1.00000
GO:0110165	cellular anatomical entity	16626	149	140.71	1.00000
GO:0001669	acrosomal vesicle	36	1	0.3	1.00000
GO:0005618	cell wall	39	1	0.33	1.00000
GO:0120025	plasma membrane bounded cell projection	1427	12	12.08	1.00000
GO:0044297	cell body	324	1	2.74	1.00000
GO:0031981	nuclear lumen	1431	6	12.11	1.00000
GO:0031982	vesicle	2015	49	17.05	1.00000
GO:0031983	vesicle lumen	16	2	0.14	1.00000
GO:0031984	organelle subcompartment	887	8	7.51	1.00000
GO:0019898	extrinsic component of membrane	159	2	1.35	1.00000
GO:0015629	actin cytoskeleton	369	2	3.12	1.00000
GO:1905360	GTPase complex	12	1	0.1	1.00000
GO:0031970	organelle envelope lumen	67	2	0.57	1.00000
GO:0043230	extracellular organelle	765	16	6.47	1.00000
GO:0043231	intracellular membrane-bounded organelle	9006	80	76.22	1.00000
GO:0031974	membrane-enclosed lumen	1923	10	16.27	1.00000
GO:0043232	intracellular non-membrane-bounded organelle	3430	17	29.03	1.00000
GO:0031975	envelope	829	13	7.02	1.00000
GO:0043233	organelle lumen	1923	10	16.27	1.00000
GO:0043657	host cell	33	1	0.28	1.00000
GO:0043235	receptor complex	227	1	1.92	1.00000
GO:0098802	plasma membrane signaling receptor complex	129	1	1.09	1.00000
GO:0098791	Golgi apparatus subcompartment	248	3	2.1	1.00000
GO:0005793	endoplasmic reticulum-Golgi intermediate compartment	45	1	0.38	1.00000
GO:0098793	presynapse	238	4	2.01	1.00000
GO:0097232	lamellar body membrane	4	1	0.03	1.00000
GO:0098796	membrane protein complex	784	11	6.64	1.00000
GO:1903561	extracellular vesicle	606	16	5.13	1.00000
GO:0098797	plasma membrane protein complex	369	3	3.12	1.00000
GO:0098798	mitochondrial protein-containing complex	100	1	0.85	1.00000
GO:0099501	exocytic vesicle membrane	67	2	0.57	1.00000
GO:0033643	host cell part	33	1	0.28	1.00000
GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network	662	5	5.6	1.00000
GO:0042599	lamellar body	6	1	0.05	1.00000
GO:0033644	host cell membrane	10	1	0.08	1.00000
GO:0099503	secretory vesicle	313	8	2.65	1.00000
GO:0048770	pigment granule	82	9	0.69	1.00000
GO:0022626	cytosolic ribosome	38	1	0.32	1.00000
GO:0015630	microtubule cytoskeleton	1119	3	9.47	1.00000
GO:0012506	vesicle membrane	648	26	5.48	1.00000
GO:0019866	organelle inner membrane	344	5	2.91	1.00000
GO:0019867	outer membrane	144	1	1.22	1.00000
GO:0034774	secretory granule lumen	15	2	0.13	1.00000
GO:0070013	intracellular organelle lumen	1923	10	16.27	1.00000
GO:0031252	cell leading edge	304	5	2.57	1.00000
GO:0031253	cell projection membrane	279	5	2.36	1.00000
GO:0031256	leading edge membrane	141	4	1.19	1.00000
GO:0030312	external encapsulating structure	735	8	6.22	1.00000
GO:0098590	plasma membrane region	904	15	7.65	1.00000
GO:0070382	exocytic vesicle	120	4	1.02	1.00000
GO:0030427	site of polarized growth	103	1	0.87	1.00000
GO:0005769	early endosome	189	3	1.6	1.00000
GO:0097208	alveolar lamellar body	4	1	0.03	1.00000
GO:0070161	anchoring junction	382	4	3.23	1.00000
GO:0031091	platelet alpha granule	22	1	0.19	1.00000
GO:0005933	cellular bud	2	1	0.02	1.00000
GO:0000109	nucleotide-excision repair complex	10	0	0.08	1.00000
GO:0000110	nucleotide-excision repair factor 1 complex	5	0	0.04	1.00000
GO:0000118	histone deacetylase complex	25	0	0.21	1.00000
GO:0000120	RNA polymerase I transcription regulator complex	2	0	0.02	1.00000
GO:0000123	histone acetyltransferase complex	52	0	0.44	1.00000
GO:0000124	SAGA complex	7	0	0.06	1.00000
GO:0000138	Golgi trans cisterna	1	0	0.01	1.00000
GO:0000139	Golgi membrane	29	0	0.25	1.00000
GO:0000151	ubiquitin ligase complex	156	0	1.32	1.00000
GO:0000152	nuclear ubiquitin ligase complex	34	0	0.29	1.00000
GO:0000153	cytoplasmic ubiquitin ligase complex	6	0	0.05	1.00000
GO:0000159	protein phosphatase type 2A complex	2	0	0.02	1.00000
GO:0000164	protein phosphatase type 1 complex	21	0	0.18	1.00000
GO:0000172	ribonuclease MRP complex	2	0	0.02	1.00000
GO:0000176	nuclear exosome (RNase complex)	4	0	0.03	1.00000
GO:0000177	cytoplasmic exosome (RNase complex)	4	0	0.03	1.00000
GO:0000178	exosome (RNase complex)	13	0	0.11	1.00000
GO:0000214	tRNA-intron endonuclease complex	2	0	0.02	1.00000
GO:0000228	nuclear chromosome	148	0	1.25	1.00000
GO:0000235	astral microtubule	2	0	0.02	1.00000
GO:0000242	pericentriolar material	14	0	0.12	1.00000
GO:0000262	mitochondrial chromosome	1	0	0.01	1.00000
GO:0000307	cyclin-dependent protein kinase holoenzyme complex	11	0	0.09	1.00000
GO:0000308	cytoplasmic cyclin-dependent protein kinase holoenzyme complex	1	0	0.01	1.00000
GO:0000313	organellar ribosome	30	0	0.25	1.00000
GO:0000314	organellar small ribosomal subunit	13	0	0.11	1.00000
GO:0000315	organellar large ribosomal subunit	11	0	0.09	1.00000
GO:0000322	storage vacuole	2	0	0.02	1.00000
GO:0000324	fungal-type vacuole	2	0	0.02	1.00000
GO:0000325	plant-type vacuole	3	0	0.03	1.00000
GO:0000329	fungal-type vacuole membrane	2	0	0.02	1.00000
GO:0000331	contractile vacuole	1	0	0.01	1.00000
GO:0000346	transcription export complex	10	0	0.08	1.00000
GO:0000347	THO complex	7	0	0.06	1.00000
GO:0000407	phagophore assembly site	17	0	0.14	1.00000
GO:0000421	autophagosome membrane	10	0	0.08	1.00000
GO:0000428	DNA-directed RNA polymerase complex	91	0	0.77	1.00000
GO:0000439	transcription factor TFIIH core complex	2	0	0.02	1.00000
GO:0000444	MIS12/MIND type complex	2	0	0.02	1.00000
GO:0000445	THO complex part of transcription export complex	7	0	0.06	1.00000
