GO.ID	Term	Annotated	Significant	Expected	P_value
GO:0003735	structural constituent of ribosome	155	47	8.41	6.0e-23
GO:0003779	actin binding	381	72	20.67	7.3e-18
GO:0051287	NAD binding	67	21	3.63	1.4e-11
GO:0005525	GTP binding	406	53	22.02	2.7e-09
GO:0051082	unfolded protein binding	56	17	3.04	3.5e-09
GO:0032550	purine ribonucleoside binding	2606	205	141.37	1.1e-08
GO:0003924	GTPase activity	172	30	9.33	1.3e-08
GO:0004298	threonine-type endopeptidase activity	17	9	0.92	6.4e-08
GO:0008237	metallopeptidase activity	378	33	20.51	1.0e-07
GO:0030170	pyridoxal phosphate binding	96	20	5.21	1.7e-07
GO:0005200	structural constituent of cytoskeleton	65	16	3.53	2.6e-07
GO:0004177	aminopeptidase activity	53	13	2.88	3.6e-06
GO:0005198	structural molecule activity	453	86	24.57	4.8e-06
GO:0003743	translation initiation factor activity	65	14	3.53	8.0e-06
GO:0004364	glutathione transferase activity	22	8	1.19	1.2e-05
GO:0008143	poly(A) binding	8	5	0.43	2.3e-05
GO:0002161	aminoacyl-tRNA editing activity	5	4	0.27	4.1e-05
GO:0003756	protein disulfide isomerase activity	22	7	1.19	0.00011
GO:0004645	1,4-alpha-oligoglucan phosphorylase activity	7	5	0.38	0.00012
GO:0003746	translation elongation factor activity	16	6	0.87	0.00013
GO:0003755	peptidyl-prolyl cis-trans isomerase activity	30	8	1.63	0.00015
GO:0001758	retinal dehydrogenase activity	3	3	0.16	0.00016
GO:0004775	succinate-CoA ligase (ADP-forming) activity	3	3	0.16	0.00016
GO:0004353	glutamate dehydrogenase [NAD(P)+] activity	3	3	0.16	0.00016
GO:0017061	S-methyl-5-thioadenosine phosphorylase activity	3	3	0.16	0.00016
GO:0030060	L-malate dehydrogenase activity	3	3	0.16	0.00016
GO:0016405	CoA-ligase activity	30	10	1.63	0.00026
GO:0051015	actin filament binding	88	14	4.77	0.00026
GO:0008137	NADH dehydrogenase (ubiquinone) activity	18	6	0.98	0.00027
GO:0051537	2 iron, 2 sulfur cluster binding	25	7	1.36	0.00027
GO:0016597	amino acid binding	119	19	6.46	0.00029
GO:0005516	calmodulin binding	184	22	9.98	0.00042
GO:0005524	ATP binding	2246	157	121.84	0.00043
GO:0050660	flavin adenine dinucleotide binding	126	17	6.84	0.00046
GO:0004075	biotin carboxylase activity	8	4	0.43	0.00051
GO:0008097	5S rRNA binding	4	3	0.22	0.00061
GO:0004658	propionyl-CoA carboxylase activity	4	3	0.22	0.00061
GO:0004616	phosphogluconate dehydrogenase (decarboxylating) activity	4	3	0.22	0.00061
