Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	22.2286175734805	NA	22.6435255898868	23.2147817090161	21.5924100961505	21.1116080812991	NA	NA	NA	NA	NA	NA
AIPGENE10000	22.7891995382742	22.7648954317934	24.0234748543831	23.9754210940959	24.5294705058637	NA	NA	NA	NA	NA	NA	NA
AIPGENE10018	23.9596562248406	24.7119472102157	24.3393901998908	23.9007462756515	24.5412804217249	24.5003005773986	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	NA	22.6676715714661	NA	NA	NA	NA	NA	22.6993775915419	NA	23.7569126034271	NA
AIPGENE10117	24.5014618416281	24.2686810115895	24.8523137082755	23.9756432081996	25.1306286093511	24.0268073679721	NA	NA	NA	NA	NA	NA
AIPGENE10129	22.8687118553219	23.3168873002859	23.3315733704922	24.5891642748519	24.9028299981092	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	26.926140527373	26.5883120831007	26.7834778901991	26.6765584485853	26.1993875824085	26.8223994747334	26.9574202318242	27.1863274828171	26.9213606287278	26.3973825603884	27.2516907535675	27.7570261409199
AIPGENE10179	NA	NA	NA	22.5498802650167	23.0077287749985	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	22.9288734395873	22.2123585357253	21.8779268181526	23.4760855053097	23.5779465621586	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	24.0097950869985	24.0168178048299	24.1803902459843	24.0662495577415	24.2971825839388	23.5154334808684	NA	NA	NA	NA	NA	NA
AIPGENE10361	21.2076566905882	NA	22.3940381877856	22.7765787337436	23.4464567082147	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	NA	NA	NA	22.0935289710965	NA	23.426112292553	25.0393653268263	24.2828659892788	25.8683883934247	NA	25.3334127563737	23.0074099882113
AIPGENE10412	25.3368194605898	25.5932574677254	24.4679262212769	25.5957298679415	26.1031802643508	25.8229189819981	NA	NA	NA	NA	NA	NA
AIPGENE10422	21.711720495408	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10493	27.5564395103875	27.6522166585559	27.7643570644098	27.8560813078129	28.3471136929922	28.2362900419954	26.8484091270746	26.4853598949441	27.0108454931482	27.8511634940017	27.2721483390557	25.7992695884514
AIPGENE10494	26.0260994600794	26.0836562996098	25.790836771072	26.0081948965127	25.3042288723345	26.1708342002976	NA	24.4638639112271	26.0466855924192	NA	NA	NA
AIPGENE10504	26.6114905276041	26.0954463748799	26.5597236394775	26.49368798423	26.9872890762377	26.8484382824808	30.0148995914548	29.5443188301491	29.8821955121223	29.7942470052006	29.6131053877192	29.5696402333847
AIPGENE10518	23.4613554579582	25.0873191333632	24.7197717013948	25.6873275120153	25.1301489586963	25.4819696707082	NA	NA	NA	NA	NA	NA
AIPGENE10519	24.8175250451859	24.8285851745742	24.1710469671971	24.1709043313019	23.5553539286273	24.0416392329183	23.3507208882489	23.7930197164609	23.5299374922262	NA	23.6895089262015	23.5180807378343
AIPGENE1052	20.6311276063633	20.4412356555517	20.8540302816916	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10527	25.4302714959279	24.0253734277801	24.2064623316382	24.2116470649567	26.0812963340332	NA	NA	NA	NA	NA	NA	NA
AIPGENE10529	20.2458640472954	22.3299200676066	23.0935652433746	23.2604264132209	22.881809423092	22.5388678567806	NA	NA	21.0939983916244	NA	NA	NA
AIPGENE10532	24.0651470344568	23.5388992504096	23.8956829093905	24.7316464275727	24.4907768640166	23.4086829744816	NA	NA	NA	NA	NA	NA
AIPGENE10535	24.405318129131	25.7469994983344	25.1341197785302	25.6094526796913	25.1922347005615	25.3596148616269	NA	NA	NA	NA	NA	NA
AIPGENE10546	21.6945988167352	NA	NA	22.2364786015617	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10560	23.7405631182895	NA	23.4270900934485	22.7785794887946	22.7312897974005	24.0636221091011	NA	NA	NA	NA	NA	NA
AIPGENE10564	24.4167975891722	23.436776244948	23.9784065229132	24.8876819584149	24.520248443932	24.7600472314181	26.2447498339663	26.1534240409202	26.133433146232	26.0972739662634	26.3072792749097	25.5958149202584
AIPGENE10586	25.1720859765518	25.7172374329242	25.4241381567222	25.4603368616518	24.8966211784589	25.3217047467993	NA	NA	NA	NA	NA	NA
AIPGENE10587	28.6429949498166	28.3637191327179	28.2994594878625	28.6025109195514	28.2263937999254	28.4844307759922	25.945451303111	26.0261671787982	26.3972739680211	25.2330510507613	25.4365723243555	25.3674075150351
AIPGENE10606	27.3475037087643	26.9045708829651	26.9248059170254	26.9061278488621	26.5443305386975	27.1371823448578	25.0022346408367	24.9658209523484	NA	24.4573013393114	24.4329875232938	25.5166839038797
AIPGENE10618	29.9519461058887	30.145916784419	29.6167588902495	30.0268390664845	29.8329864803972	30.1243158655788	25.2528247408004	24.3209089331797	25.7604547724397	26.0056648547349	25.8019229370367	NA
AIPGENE10619	23.8142436471962	22.7170177516982	22.8201611952827	21.4860784709225	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10623	25.3162945639252	25.4012352520679	25.3577830360815	25.4355447630647	24.9695795206462	25.9948268072968	NA	NA	NA	NA	NA	NA
AIPGENE10649	22.1056396089327	NA	22.4703205807681	NA	23.1860347394757	NA	NA	NA	NA	NA	NA	NA
AIPGENE10659	29.0060485685891	28.9577661331667	28.9094962257726	29.1389779101085	29.2472857152177	28.8103987287284	NA	26.4402448212339	26.3595549976698	NA	25.3654053443566	25.5855075893705
AIPGENE10679	22.8575981780267	NA	23.4358404296035	23.1400386236581	22.6470292840766	22.4850283156293	NA	NA	NA	NA	NA	NA
AIPGENE10686	NA	NA	NA	NA	NA	NA	NA	23.0520405512661	22.6846764174003	22.5596019452353	21.2106004686526	23.3367972841875
AIPGENE10708	NA	NA	NA	22.5626229569153	23.0130341023118	23.0895672740224	NA	NA	NA	NA	NA	NA
AIPGENE10716	25.2370234075545	24.2631623238441	24.6662576935286	24.0706222640654	23.2182429669777	NA	24.0379221737133	25.3605675675237	24.8577174807822	23.5470941490869	24.8742381994325	25.2470003283727
AIPGENE10764	27.1715009701948	26.0019847273424	25.8138095347695	26.0535278205402	27.4405470814727	26.0865837220706	23.3922221782627	NA	24.8370587148253	NA	NA	NA
AIPGENE10773	24.4510023263677	24.5717436884495	24.1636844970494	22.7449932114682	23.7893185549234	23.1985623870434	NA	NA	NA	NA	NA	NA
AIPGENE1080	25.5083429888186	25.3118721111156	25.9400847423325	25.766881680314	25.9509091169285	26.3616866067144	23.2051307170034	NA	23.5223054075163	NA	24.5370880887838	23.9618097771932
AIPGENE10885	24.5984126207398	23.9475614920835	23.7154966181865	23.0021079661136	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10893	NA	NA	NA	NA	NA	NA	28.8601519284633	27.9186484280301	28.326458754337	28.1324470096855	28.309624082052	28.6641121179901
AIPGENE10895	NA	NA	NA	NA	22.6972773067397	NA	NA	NA	NA	NA	NA	NA
AIPGENE10899	25.0776103660506	24.1726422055817	23.731933988493	23.7588508845767	22.7475497555905	22.5846971919895	NA	NA	NA	NA	NA	NA
AIPGENE10905	24.2902914582595	25.4689373661725	25.2487578871796	25.8869714149717	25.7820772655528	26.1556340753143	28.952369607773	28.8223493248443	28.6526797011152	29.1911473670153	28.5488684654683	28.9313076910466
AIPGENE10921	NA	22.5358412929322	22.7954102403026	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE1093	23.995822917931	24.2069066433842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10935	22.891214404475	NA	23.8460437951074	NA	22.5164050348174	NA	NA	NA	NA	NA	NA	NA
AIPGENE10940	21.373191043179	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10966	24.7829826572012	25.27170463856	25.1621232908192	25.1945305884647	25.2395658020031	25.167774107844	NA	NA	NA	NA	NA	NA
AIPGENE10967	22.0712048685193	NA	22.5081744443764	22.6429926353285	22.8508036129516	NA	NA	NA	NA	NA	NA	NA
AIPGENE10977	NA	NA	NA	22.5692550357881	22.6038308201888	NA	NA	NA	NA	NA	NA	NA
AIPGENE10991	24.4555764373431	24.5802088927413	24.3175906813162	24.2095802794878	24.050042084687	23.6642175457278	NA	NA	NA	NA	NA	NA
AIPGENE11057	24.7693034314415	24.501545059197	25.135761790527	24.2729521692064	24.8096595635066	25.3529437753076	24.2767540747457	24.0534369266289	25.4646074005948	25.0434820990901	24.4748004865667	NA
AIPGENE11091	24.1136942342719	23.3177825983286	24.9921939752663	24.6166105632275	25.513262026547	23.8020620806439	NA	NA	NA	NA	NA	NA
AIPGENE11099	NA	NA	NA	22.3030945528672	22.0865663620728	NA	NA	NA	22.7723413755972	NA	21.1952106317591	NA
AIPGENE11123	26.398050168147	26.253782011732	26.5885969966722	25.9434034281589	26.5101733418672	26.4924169842244	30.2226071447764	29.747267649387	29.5817196206134	30.5179495473228	30.3486232023467	30.5869242990331
AIPGENE11124	22.4426623885671	NA	23.0171548539079	23.339250251995	23.2210002958545	23.7087066347001	25.0844628008856	24.3772111047439	24.4082850872094	24.7365464102584	25.4629365843184	25.2300977794103
AIPGENE11167	26.4145837152043	26.5451278546711	26.5813960625217	26.7671635695151	26.4789944815801	25.8043350323758	NA	NA	NA	NA	NA	NA
AIPGENE11186	24.2115781540648	24.2714337512167	24.226208059691	24.2868379139667	24.197328663663	24.0314795590202	NA	NA	NA	NA	NA	NA
AIPGENE11193	23.5135515221665	23.8035904082855	24.4175688269363	23.2587952166053	24.0362413115756	NA	NA	NA	NA	NA	NA	NA
AIPGENE11223	21.3734148469917	NA	NA	NA	20.8311310889853	NA	NA	NA	NA	NA	NA	NA
AIPGENE11225	24.7073678535511	24.9059490777151	23.7544754459939	25.1304012307847	25.5265694701167	24.5538925767018	NA	NA	23.4018050569495	NA	NA	23.2675073200504
AIPGENE11237	24.7119711185354	23.7506738445327	24.4872381216275	23.5349208934648	23.0580944225143	NA	NA	NA	19.728823307576	NA	NA	NA
AIPGENE1127	NA	NA	NA	22.5660649760607	24.953828080371	NA	NA	NA	NA	NA	NA	NA
AIPGENE11276	26.2548102599379	26.7483279223776	25.3207482692497	23.7901374752458	25.5947316079264	25.9588565871249	NA	NA	NA	NA	NA	NA
AIPGENE11286	27.2836765364011	27.6255266297321	26.401851745428	25.0212217764659	25.633108909831	27.2385551996143	NA	25.3030873709825	NA	NA	24.0579592616764	NA
AIPGENE11306	23.8655250506206	24.3867460609789	23.9423576744369	21.8603310011139	23.7748566786259	22.6288497020414	NA	NA	NA	NA	NA	NA
AIPGENE11311	24.3828416864283	24.3306941172744	24.4258975230985	24.3334202970116	24.4474116224205	NA	NA	NA	NA	NA	NA	NA
AIPGENE11320	22.7096649594432	21.6252117740374	22.5103076197031	NA	21.7896950943028	NA	NA	NA	NA	NA	NA	NA
AIPGENE11341	23.739059930615	NA	23.1593069729382	24.621323238932	23.7763967057908	24.324751049113	NA	NA	NA	NA	NA	NA
AIPGENE11352	22.0695011869708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11368	NA	NA	NA	NA	NA	NA	NA	22.6350276481021	22.959917762197	22.6391405373698	21.8123240735275	22.7006053461787
AIPGENE11410	21.315175213143	NA	NA	23.4046305065262	NA	NA	NA	20.8438934427838	NA	NA	NA	NA
AIPGENE11420	27.061610934154	26.9252715343993	26.9151471110253	27.0976878004688	26.3868551266834	27.0674611597726	25.5865484775119	25.715766390202	26.7876599163594	NA	NA	24.4134697066477
AIPGENE11421	27.6293360702278	27.2876821152797	27.6631997831159	27.715773222893	27.3770087771253	26.0206219354513	23.4944912342986	22.9972055908671	25.2268393418214	24.7591457647372	NA	NA
AIPGENE1143	22.3920008244505	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11436	22.3806398871403	NA	22.9530029450499	23.4263473537882	22.7086551141671	NA	23.3982580910315	NA	NA	24.4304733139465	23.8593993194666	NA
AIPGENE11440	24.7596657085921	24.4417977910787	23.8091636959138	24.4766219844002	23.1707787895685	23.9550947166139	NA	NA	NA	NA	NA	NA
AIPGENE11487	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.9491604390254	NA
AIPGENE11497	24.1162312552491	24.5956328309018	24.6366177795426	23.367969401983	24.713003573195	25.3929128540336	NA	NA	25.0156285169603	NA	NA	NA
AIPGENE11506	24.867081934205	25.533392933911	25.6153133176621	25.2765670189186	24.9230171951554	25.5556804450586	NA	NA	24.1376236257318	NA	NA	NA
AIPGENE11531	NA	NA	NA	NA	21.9771753172134	NA	NA	NA	NA	NA	NA	NA
AIPGENE11540	25.0078526561677	25.0203293865877	26.2787517539206	24.9810445543236	25.0612567842555	25.137146448214	NA	23.7164501904653	23.6566918143386	NA	NA	NA
AIPGENE11551	22.9939421309521	NA	22.1678867191332	22.5195266131227	22.2918420287064	NA	24.3661049411814	24.4349380062918	23.3203950956364	23.9215385203619	24.0209275689965	23.9088594617882
AIPGENE11562	21.375105086123	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11563	26.7977644381644	26.6998409247265	26.652695008778	26.6301289024684	26.4910373957394	26.615534169799	NA	NA	24.324901431895	NA	NA	NA
AIPGENE11578	24.771097853867	24.348618768607	24.2569293310066	23.9728053305676	23.5262811671087	24.2707471600213	NA	NA	NA	NA	NA	NA
AIPGENE1158	21.5477796778779	NA	21.0667341656383	NA	20.6732183203326	NA	NA	NA	NA	NA	NA	NA
AIPGENE11583	25.1800889003774	25.1734874219748	25.2060436074353	25.4901641559544	25.9712650264834	25.7643828096119	NA	NA	NA	NA	NA	NA
AIPGENE11590	23.1829187033039	24.0489922879326	24.4954382623991	23.6602901220328	24.666858073081	24.1290897487709	NA	NA	NA	NA	NA	NA
AIPGENE11593	25.3563512993999	24.6405140736835	24.8663170109086	24.447138575888	24.811271350649	25.2178135782838	24.0483481262646	NA	24.6372709024516	23.7260001342509	23.1209104818408	24.0991435773503
