Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	21.4521128940429	NA	21.7547067226702	22.6195809985781	20.9420212702707	20.2488199376227	NA	NA	NA	NA	NA	NA
AIPGENE10000	22.1842381103467	21.9112974724429	23.4203002765913	23.5418200954609	24.0150548371111	NA	NA	NA	NA	NA	NA	NA
AIPGENE10018	23.52572419201	23.9802362374619	23.9069030960252	23.6960328761865	24.1983810572043	23.6567172291766	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	NA	21.9925694363379	NA	NA	NA	NA	NA	25.270052517185	NA	26.0949283101362	NA
AIPGENE10117	24.1031705736309	23.5755889696447	24.4600879411155	23.8157492405343	24.8203883147855	23.1947207313834	NA	NA	NA	NA	NA	NA
AIPGENE10129	22.3133034873533	22.4928863987635	22.7670152353142	24.204741328315	24.4337259720819	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	27.104217202875	26.5365974726474	26.9198766451139	26.9976734963792	26.3804320957972	26.5431194686506	27.6073359219065	27.7735868609226	27.5086456456767	27.2984287554169	27.935963296012	28.2464556692772
AIPGENE10179	NA	NA	NA	22.0132785764246	22.3976800359966	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	22.1868283358379	21.2197714035963	21.1137836557655	22.9372206376871	22.9668633761221	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	23.5004313854747	23.2203540900685	23.6590378066201	23.7441967243701	23.8749798524011	22.656072536267	NA	NA	NA	NA	NA	NA
AIPGENE10361	20.4465672293555	NA	21.5636155284851	22.2068571588901	22.813525708878	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	NA	NA	NA	21.7931554741815	NA	22.5721708496248	27.2952736933183	26.4193077990288	27.9381246838178	NA	27.5521465265079	25.3304885215714
AIPGENE10412	25.311885391231	25.3211185758818	24.4029969870909	25.7426107765638	26.1020017945413	25.2888366162262	NA	NA	NA	NA	NA	NA
AIPGENE10422	20.9148655551739	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10493	27.8299944412659	27.715769949496	28.0165343613054	28.2639037068519	28.6100136292471	28.1264734697507	27.427746057695	26.9798482533964	27.5034240308424	28.6343437267989	27.8006357513948	26.1687343224905
AIPGENE10494	26.0183282890123	25.8269707699098	25.7388525568942	26.1732998670288	25.3202744859002	25.6425981025374	NA	25.3973515721918	26.8523537751754	NA	NA	NA
AIPGENE10504	26.9836646668109	26.3363964497622	26.9700023946893	27.0371073663595	27.3264328903449	26.943724851919	30.5806919010577	30.0125316220174	30.3589355129133	30.4446503977495	29.995526566791	29.9371391311878
AIPGENE10518	23.2279480511658	24.5756040641807	24.4780319598822	25.6666668232172	24.9475230547504	24.7569431478251	NA	NA	NA	NA	NA	NA
AIPGENE10519	24.2884923539624	24.0200063816155	23.6299854087392	23.8212078923565	23.1131076414814	23.1792283878871	25.6664704998752	25.9994176416682	25.6898382829534	NA	25.9322576533534	25.9216582760995
AIPGENE1052	19.8075429547319	19.0688947167349	19.6625848427664	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10527	25.1623773823484	23.4766828013828	23.9365124103848	24.1664579731992	25.872053942035	NA	NA	NA	NA	NA	NA	NA
AIPGENE10529	19.477078432474	21.2621711489813	22.2399000748968	22.6822394061183	22.2418060255739	21.6647094105219	NA	NA	24.1644046009973	NA	NA	NA
AIPGENE10532	23.5576105765307	22.7436111393353	23.3762888823021	24.4123844612343	24.0705366418997	22.5496662203111	NA	NA	NA	NA	NA	NA
AIPGENE10535	24.2900884097103	25.370008060174	24.9917187691324	25.6803749684189	25.1086609988555	24.7383108833931	NA	NA	NA	NA	NA	NA
AIPGENE10546	20.9097687360096	NA	NA	21.6309540531963	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10560	23.068970861555	NA	22.7695266992384	22.2970983607984	22.1658765744609	23.1894248749163	NA	NA	NA	NA	NA	NA
AIPGENE10564	24.1723972513165	22.9038245711968	23.7204588564474	24.8533944687996	24.3306853097502	24.0268388884474	27.9291285956069	27.8091743282352	27.5977143425491	27.7986077668392	28.0315966863592	27.2643427593726
AIPGENE10586	25.0903888368034	25.3783822792904	25.3100898312083	25.5593086397813	24.8431978093608	24.7314273259422	NA	NA	NA	NA	NA	NA
AIPGENE10587	28.8621384132886	28.3594575078681	28.4830042381536	28.9582846106044	28.4431039861497	28.2759655873222	26.5633259554404	26.5680425866995	26.9401496579286	26.0690740464705	26.0503200403369	25.7899311461773
AIPGENE10606	27.3300956376897	26.6281175465446	26.8637934586704	27.067832321008	26.5544524358015	26.5873626945038	26.018712330544	26.0186338407302	NA	25.7344660407494	25.6068111833197	26.5648347554685
AIPGENE10618	30.3088663706518	30.3498839644592	29.9942329021578	30.5364657324276	30.163110902528	30.1925316708212	25.7917377431729	24.7543208840777	26.1979533562975	26.6715200868763	26.1816659936013	NA
AIPGENE10619	23.064713716448	21.7058829751592	22.0314249153618	20.9351500780501	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10623	25.2642792038375	25.0967612162476	25.2690926047064	25.5594721920747	24.9433837696396	25.4331263450283	NA	NA	NA	NA	NA	NA
AIPGENE10649	21.3509691539447	NA	21.6638297444088	NA	22.5608256535113	NA	NA	NA	NA	NA	NA	NA
AIPGENE10659	29.3626095335165	29.1597485983834	29.2821600060608	29.6412433948155	29.5781193429807	28.8834565158145	NA	26.8601355871354	26.7789954519412	NA	25.7379270478001	25.904024063714
AIPGENE10679	22.1232703531429	NA	22.6918011069595	22.6108319962382	22.0427928567817	21.6120289876772	NA	NA	NA	NA	NA	NA
AIPGENE10686	NA	NA	NA	NA	NA	NA	NA	25.8823501872189	25.4464885621978	25.46531374149	23.5912149289682	26.3153241031058
AIPGENE10708	NA	NA	NA	22.0307909178247	22.4069998964662	22.2170306849048	NA	NA	NA	NA	NA	NA
AIPGENE10716	24.8039498145421	23.5343067798435	24.2362095453373	23.8713784261136	22.8788011105105	NA	26.1427803995162	27.351473335589	26.7391419456253	25.5809433076953	27.0007387156906	27.3709683492488
AIPGENE10764	27.1937829362849	25.7798647557614	25.7891515883049	26.2444855652588	27.4841918191742	25.5885261586987	24.2193444675533	NA	25.5864620205039	NA	NA	NA
AIPGENE10773	23.8916287416054	23.745834377121	23.5955430557566	22.356568630494	23.3169751528356	22.3311174312367	NA	NA	NA	NA	NA	NA
AIPGENE1080	25.2260110480999	24.7405495030318	25.6521750814245	25.7051438793188	25.7310743745318	25.6005202980209	24.9861727173587	NA	25.0566455832154	NA	26.3338112224871	25.7053235996975
AIPGENE10885	24.0442626060162	23.1243971260967	23.1518644046528	22.6191873695331	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10893	NA	NA	NA	NA	NA	NA	29.5266827159592	28.5387731486567	28.9796042840615	28.9682376858743	28.9122494335247	29.1612495198382
AIPGENE10895	NA	NA	NA	NA	22.0821052056662	NA	NA	NA	NA	NA	NA	NA
AIPGENE10899	24.4815970794794	23.3253160957412	23.1348641386034	23.3327639894875	22.2412823062531	21.7140985696707	NA	NA	NA	NA	NA	NA
