Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	22.9123410496523	NA	22.9498233207641	23.4952095473189	21.9463086069309	21.0130139392224	NA	NA	NA	NA	NA	NA
AIPGENE10000	23.4707784002783	22.8710616834356	24.2639887821539	24.2201947587029	24.7692052482991	NA	NA	NA	NA	NA	NA	NA
AIPGENE10018	24.5004648392724	24.7037803658695	24.6995649834523	24.3291202169188	24.9385309607174	24.1256449089582	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	NA	23.1420114067677	NA	NA	NA	NA	NA	23.0074781729465	NA	23.6278693402677	NA
AIPGENE10117	25.012337400144	24.3757787621909	25.2378686698813	24.4731592815465	25.4856677186757	23.6698726202532	NA	NA	NA	NA	NA	NA
AIPGENE10129	23.5777487524139	23.3958362633362	23.7420478101145	24.8562543225031	25.1499986299471	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	27.726448386318	27.0663420336363	27.5999768567376	27.4447051349848	26.9961488713967	26.9446652452451	25.3460490257554	25.7864708056469	25.6780602750435	24.8421674577228	25.596245527152	26.02872256206
AIPGENE10179	NA	NA	NA	22.9027856790913	23.3739578721624	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	23.4735165977917	22.2820835530389	22.4053696929565	23.6998796931433	23.8863880110987	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	24.4780529351206	23.9784835921027	24.4538260545563	24.3991441557618	24.660151160831	23.2421574057822	NA	NA	NA	NA	NA	NA
AIPGENE10361	21.8607949722562	NA	22.7799269721267	23.1822316165703	23.7331888798691	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	NA	NA	NA	22.6279477866797	NA	23.1881422783548	25.0117657952624	24.2083050806129	26.269440189041	NA	25.1982214753381	22.5319630303676
AIPGENE10412	26.1468547829036	25.9540091858207	25.1702563774244	26.2429301729984	26.7378139072172	25.6926320113697	NA	NA	NA	NA	NA	NA
AIPGENE10422	22.4784698939437	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10493	28.422699357973	28.1630159889885	28.6222646525487	28.6463381293992	29.0767383253421	28.1825725075329	25.1724184777399	24.880272368653	25.6671486050748	26.1058983681912	25.4704991202766	23.643470184105
AIPGENE10494	26.7693177650501	26.3937528268673	26.3581071582763	26.7068772895751	26.020545302432	26.0396394062839	NA	22.7578628322556	24.8191680066657	NA	NA	NA
AIPGENE10504	27.6303514546616	26.9100064997207	27.617572004182	27.4866699884368	27.926340475421	27.2746868948138	28.5456075388083	28.2528310043715	29.013011724326	27.9844854429573	27.9513339208636	27.8680941490663
AIPGENE10518	24.2522229678844	25.2428515271294	25.2577549258474	26.1296780525511	25.6220564569151	25.1673981418715	NA	NA	NA	NA	NA	NA
AIPGENE10519	25.2086112152384	24.7285654682557	24.4327146652705	24.4780321440513	23.9800067453392	23.641716800815	23.1499842241941	23.6868625714903	23.5612606643451	NA	23.4758578689775	23.3095942813574
AIPGENE1052	21.275170502617	20.1730845346788	21.2188784373518	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10527	25.9954174960787	24.2337512037884	24.7252727940657	24.8268766508631	26.4974559159665	NA	NA	NA	NA	NA	NA	NA
AIPGENE10529	20.7400948452144	22.3307329027894	23.3401523779244	23.5374446167469	23.2357249528182	22.3766065125995	NA	NA	21.9012832016806	NA	NA	NA
AIPGENE10532	24.5110598441513	23.6084567312771	24.2142042339284	25.0569403223569	24.8197129506526	23.1680503388389	NA	NA	NA	NA	NA	NA
AIPGENE10535	25.2132457302634	25.9952886109866	25.7366053766973	26.1620421762531	25.7869877030596	25.1400315848222	NA	NA	NA	NA	NA	NA
AIPGENE10546	22.452569932852	NA	NA	22.4592043129971	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10560	24.1114920578709	NA	23.747148198737	23.2559530188943	23.1570095064134	23.6559667566777	NA	NA	NA	NA	NA	NA
AIPGENE10564	25.071142897398	23.7233692637953	24.5199288913172	25.3714754785731	25.0610562586812	24.4362798135573	25.710915462378	25.8616134536376	25.8159746734776	25.3361762824388	25.6595151982615	25.1140081097957
AIPGENE10586	25.9325008775006	26.0078615344508	25.9897868692266	26.0055757580965	25.503169128449	25.1243183244879	NA	NA	NA	NA	NA	NA
AIPGENE10587	29.234776282181	28.7543671572221	28.8806768346542	29.3128825107739	28.9000066966762	28.3857212662997	24.302831137379	24.4173230315286	24.9377973710932	23.3742707103127	23.6006598886475	23.0553018885593
AIPGENE10606	27.9348351174228	27.1386364652026	27.5502327163308	27.5073016131402	27.171019162514	27.0034829392481	23.691674231153	23.7387718013926	NA	22.8706389764973	23.142782070466	24.2309509021726
AIPGENE10618	31.0168089014171	30.8142731774865	30.4067029529698	31.0603633747795	30.628059481459	30.6100018204571	23.2971519396114	22.0912186560019	24.0932970621066	24.0012646544499	23.7961003972386	NA
AIPGENE10619	24.1092349011196	22.6753785398866	23.1862319454478	21.7291835065881	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10623	26.1069290365641	25.7845875423277	25.9526426480646	26.0088330308313	25.612108146214	25.8355432649202	NA	NA	NA	NA	NA	NA
AIPGENE10649	22.8778968126417	NA	22.848894481704	NA	23.5261739908931	NA	NA	NA	NA	NA	NA	NA
AIPGENE10659	29.7547761868382	29.4274257435175	29.5759832958924	29.8164090994522	29.820996380609	28.9811066827265	NA	24.7160833307205	24.7466015682608	NA	23.2426658008485	23.2690261795949
AIPGENE10679	23.4191909844955	NA	23.677953327738	23.4841111081103	23.0613207171341	22.3401425979291	NA	NA	NA	NA	NA	NA
AIPGENE10686	NA	NA	NA	NA	NA	NA	NA	23.4669657903548	23.2302693497418	22.3975041802663	21.1175728239647	23.9391358840896
AIPGENE10708	NA	NA	NA	22.9333160375041	23.3855095073003	22.8695601197253	NA	NA	NA	NA	NA	NA
AIPGENE10716	25.6659223757323	24.3148226767367	24.985067318307	24.5533784539681	23.8168586122504	NA	23.7904014020077	25.3688408961547	24.6911479342609	22.7111186273268	24.6498897367071	25.2130086747362
AIPGENE10764	27.8443578815249	26.329743669004	26.4170501053283	26.8204061531971	28.0860236194736	25.975715292366	21.4424441081711	NA	23.4173157460185	NA	NA	NA
AIPGENE10773	24.8159868778571	24.5201952726006	24.3963426827957	23.3138419346399	24.1263224904099	22.9646907741159	NA	NA	NA	NA	NA	NA
AIPGENE1080	26.0675956792607	25.3944401560854	26.2836676513668	26.1928476705936	26.4006547248185	25.9915938392912	22.5542670929389	NA	22.6816800727725	NA	24.0410153373686	22.8610887148837
AIPGENE10885	24.9487907330367	23.9041520445639	24.029293102738	23.4923034699445	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10893	NA	NA	NA	NA	NA	NA	27.3697256635367	26.6364360922491	27.3923158027333	26.3956063250321	26.6654102453475	26.9078102137921
