Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	22.2407404659386	NA	22.574190099364	23.1923955023356	21.654750133424	21.3584751244169	NA	NA	NA	NA	NA	NA
AIPGENE10000	22.9439325445758	22.9395261258782	24.1603978791789	24.0861584478045	24.6379361871502	NA	NA	NA	NA	NA	NA	NA
AIPGENE10018	24.2324039224503	24.8934436649402	24.6238081607862	24.235609571267	24.8159024251261	24.6335233092781	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	NA	22.8007157640793	NA	NA	NA	NA	NA	22.2342560569896	NA	23.8259598955848	NA
AIPGENE10117	24.7870299786918	24.5112924833346	25.150627025384	24.3516294307394	25.4197238074095	24.1895366917061	NA	NA	NA	NA	NA	NA
AIPGENE10129	23.0678973373684	23.4887820163258	23.5382498092185	24.7286105360885	25.044366466474	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	27.6694770933526	27.3076857575818	27.4931769048535	27.4353048081717	26.9341559636131	27.4074057377766	26.6344743398499	27.1602585054962	27.126196101716	25.6091984986747	27.0423667363419	27.8969790062547
AIPGENE10179	NA	NA	NA	22.6048139950015	23.067849220839	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	22.9464204059508	22.2864449726399	21.9638148054673	23.5002273220961	23.6203911196967	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	24.2081106720526	24.1758066422715	24.3877566646245	24.2822862551804	24.5019566308668	23.6718864684829	NA	NA	NA	NA	NA	NA
AIPGENE10361	21.2749333466511	NA	22.3922067228332	22.7924154148815	23.4715366472401	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	NA	NA	NA	22.3914876755129	NA	23.5912554978179	25.9789464678955	24.3646854053604	28.064725608625	NA	26.3718140893248	21.7380870399858
AIPGENE10412	25.9479771310913	26.1597805730955	25.0962571491211	26.2189948978655	26.6638662405838	26.2020182428788	NA	NA	NA	NA	NA	NA
