Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	21.6913108355836	NA	22.1181153056961	22.7448693220751	21.0715265451973	20.5790439686788	NA	NA	NA	NA	NA	NA
AIPGENE10000	22.4234360518874	22.4901239839036	23.7837088596172	23.6671084189579	24.144560112038	NA	NA	NA	NA	NA	NA	NA
AIPGENE10018	23.7649221335508	24.5590627489226	24.2703116790512	23.8213211996835	24.3278863321311	23.9869412602326	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	NA	22.3559780193638	NA	NA	NA	NA	NA	23.3089707981929	NA	24.4854834054656	NA
AIPGENE10117	24.3423685151717	24.1544154811054	24.8234965241415	23.9410375640313	24.9498935897124	23.5249447624395	NA	NA	NA	NA	NA	NA
AIPGENE10129	22.552501428894	23.0717129102241	23.1304238183401	24.330029651812	24.5632312470087	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	27.3434151444159	27.1154239841081	27.2832852281399	27.1229618198763	26.509937370724	26.8733434997067	25.678175653912	25.9357364839007	25.5475639266846	25.4408369377398	26.3265183913413	26.5096038050145
AIPGENE10179	NA	NA	NA	22.1385668999216	22.5271853109234	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	22.4260262773787	21.7985979150569	21.4771922387914	23.0625089611841	23.0963686510489	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	23.7396293270156	23.7991806015292	24.0224463896461	23.8694850478672	24.004485127328	22.9862965673231	NA	NA	NA	NA	NA	NA
AIPGENE10361	20.6857651708959	NA	21.927024111511	22.3321454823871	22.9430309838049	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	NA	NA	NA	21.9184437976785	NA	22.9023948806809	25.3661134253238	24.5814574220069	25.9770429648257	NA	25.9427016218373	23.5936366573087
AIPGENE10412	25.5510833327719	25.8999450873425	24.7664055701169	25.8678991000609	26.2315070694682	25.6190606472823	NA	NA	NA	NA	NA	NA
AIPGENE10422	21.1540634967145	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10493	28.0691923828068	28.2945964609566	28.3799429443314	28.3891920303489	28.739518904174	28.4566975008068	25.4985857897005	25.1419978763745	25.5423423118503	26.7767519091218	26.1911908467242	24.4318824582278
AIPGENE10494	26.2575262305532	26.4057972813704	26.1022611399202	26.2985881905259	25.4497797608271	25.9728221335934	NA	23.5595011951699	24.8912720561833	NA	NA	NA
AIPGENE10504	27.2228626083518	26.9152229612229	27.3334109777153	27.1623956898565	27.4559381652718	27.2739488829751	28.6515316330632	28.1746812449955	28.3978537939211	28.5870585800723	28.3860816621203	28.2002872669252
AIPGENE10518	23.4671459927066	25.1544305756414	24.8414405429081	25.7919551467142	25.0770283296773	25.0871671788812	NA	NA	NA	NA	NA	NA
AIPGENE10519	24.5276902955033	24.5988328930762	23.9933939917652	23.9464962158535	23.2426129164083	23.5094524189432	23.7373102318807	24.1615672646463	23.7287565639613	NA	24.3228127486827	24.1848064118368
AIPGENE1052	20.046740896272	19.6477212281954	20.025993425792	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10527	25.4015753238893	24.0555093128435	24.2999209934108	24.2917462966962	26.0015592169619	NA	NA	NA	NA	NA	NA	NA
AIPGENE10529	19.7162763740139	21.8409976604419	22.6033086579227	22.8075277296153	22.3713113005007	21.994933441578	NA	NA	22.2033228820052	NA	NA	NA
AIPGENE10532	23.7968085180715	23.322437650796	23.739697465328	24.5376727847313	24.2000419168266	22.8798902513672	NA	NA	NA	NA	NA	NA
AIPGENE10535	24.5292863512512	25.9488345716347	25.3551273521584	25.805663291916	25.2381662737824	25.0685349144492	NA	NA	NA	NA	NA	NA
AIPGENE10546	21.1489666775501	NA	NA	21.7562423766933	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10560	23.3081688030958	NA	23.1329352822643	22.4223866842954	22.2953818493877	23.5196489059723	NA	NA	NA	NA	NA	NA
AIPGENE10564	24.4115951928574	23.4826510826575	24.0838674394734	24.9786827922967	24.460190584677	24.3570629195035	25.9999683276124	25.9713239512133	25.6366326235569	25.9410159491621	26.4221517816886	25.5274908951099
AIPGENE10586	25.3295867783443	25.9572087907511	25.6734984142343	25.6845969632784	24.9727030842876	25.0616513569983	NA	NA	NA	NA	NA	NA
AIPGENE10587	29.1013363548295	28.9382840193288	28.8464128211796	29.0835729341015	28.5726092610766	28.6061896183782	24.6341656874459	24.7301922096776	24.9790679389364	24.2114822287933	24.4408751356662	24.0530792819146
AIPGENE10606	27.5692935792306	27.2069440580053	27.2272020416964	27.193120644505	26.6839577107284	26.9175867255599	24.0895520625495	24.1807834637083	NA	23.8768742230723	23.9973662786491	24.8279828912058
AIPGENE10618	30.5480643121927	30.9287104759199	30.3576414851838	30.6617540559247	30.2926161774549	30.5227557018772	23.8625774751784	22.9164705070558	24.2368716373053	24.8139282691992	24.5722210889306	NA
AIPGENE10619	23.3039116579889	22.2847094866198	22.3948334983877	21.0604384015469	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10623	25.5034771453784	25.6755877277083	25.6325011877324	25.6847605155717	25.0728890445665	25.7633503760843	NA	NA	NA	NA	NA	NA
