Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	22.2316791118478	NA	22.5230088734885	23.257691399476	21.6750564798565	20.953611761645	NA	NA	NA	NA	NA	NA
AIPGENE10000	22.9638043281516	22.7504461191601	24.1886024274096	24.1799304963588	24.7480900466969	NA	NA	NA	NA	NA	NA	NA
AIPGENE10018	24.3052904098149	24.8193848841791	24.6752052468435	24.3341432770843	24.9314162667901	24.3615090531989	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	NA	22.7608715871561	NA	NA	NA	NA	NA	24.0977433039772	NA	23.4730573894882	NA
AIPGENE10117	24.8827367914358	24.4147376163619	25.2283900919338	24.4538596414321	25.5534235243713	23.8995125554057	NA	NA	NA	NA	NA	NA
AIPGENE10129	23.0928697051581	23.3320350454807	23.5353173861325	24.8428517292129	25.1667611816677	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	27.8837834206799	27.3757461193646	27.6881787959322	27.6357838972771	27.1134673053829	27.2479112926729	25.2746682758157	25.6815762207265	26.3363364324689	24.4449876837043	25.314092375364	25.690270426175
AIPGENE10179	NA	NA	NA	22.6513889773225	23.1307152455824	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	22.9663945536428	22.0589200503135	21.8820858065838	23.575331038585	23.6998985857079	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	24.2799976032796	24.0595027367857	24.4273399574384	24.382307125268	24.6080150619869	23.3608643602893	NA	NA	NA	NA	NA	NA
AIPGENE10361	21.2261334471604	NA	22.3319176793034	22.844967559788	23.5465609184638	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	NA	NA	NA	22.4312658750794	NA	23.2769626736471	24.9626060472276	24.3272971588327	26.76581547061	NA	24.9302756058599	22.7743032784691
AIPGENE10412	26.0914516090358	26.160267222599	25.1712991379092	26.3807211774617	26.8350370041271	25.9936284402485	NA	NA	NA	NA	NA	NA
AIPGENE10422	21.6944317729788	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10493	28.6095606590707	28.5549185962132	28.7848365121237	28.9020141077497	29.3430488388329	28.831265293773	25.0950784116042	24.8878376132003	26.3311148176346	25.7809026550863	25.1787648307468	23.6125490793882
AIPGENE10494	26.7978945068172	26.666119416627	26.5071547077125	26.8114102679267	26.053309695486	26.3473899265597	NA	23.3053409319956	25.6800445619676	NA	NA	NA
AIPGENE10504	27.7632308846158	27.1755450964794	27.7383045455076	27.6752177672573	28.0594680999307	27.6485166759413	28.2480242549669	27.9205209818213	29.1866262997054	27.5912093260368	27.373655646143	27.3809538880856
AIPGENE10518	24.0075142689706	25.4147527108979	25.2463341107004	26.304777224115	25.6805582643362	25.4617349718474	NA	NA	NA	NA	NA	NA
AIPGENE10519	25.0680585717673	24.8591550283327	24.3982875595575	24.4593182932544	23.8461428510672	23.8840202119094	23.3338028537845	23.907407001472	24.5175290697455	NA	23.3103867327054	23.3654730329973
AIPGENE1052	20.5871091725368	19.9080433634521	20.4308869935847	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10527	25.9419436001533	24.3158314481	24.7048145612031	24.804568374097	26.6050891516208	NA	NA	NA	NA	NA	NA	NA
AIPGENE10529	20.2566446502789	22.1013197956985	23.0082022257151	23.3203498070161	22.9748412351597	22.3695012345442	NA	NA	22.9920953877895	NA	NA	NA
AIPGENE10532	24.3371767943355	23.5827597860525	24.1445910331204	25.0504948621321	24.8035718514855	23.2544580443334	NA	NA	NA	NA	NA	NA
AIPGENE10535	25.0696546275152	26.2091567068912	25.7600209199507	26.3184853693168	25.8416962084413	25.4431027074154	NA	NA	NA	NA	NA	NA
AIPGENE10546	21.6893349538144	NA	NA	22.2690644540942	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10560	23.8485370793599	NA	23.5378288500567	22.9352087616963	22.8989117840467	23.8942166989386	NA	NA	NA	NA	NA	NA
AIPGENE10564	24.9519634691214	23.742973217914	24.4887610072657	25.4915048696975	25.063720519336	24.7316307124697	25.5964609495162	25.7171636880391	26.4254051293412	24.9451666951266	25.4097257657112	24.7081575162704
AIPGENE10586	25.8699550546083	26.2175309260076	26.0783919820266	26.1974190406792	25.5762330189465	25.4362191499645	NA	NA	NA	NA	NA	NA
AIPGENE10587	29.6417046310934	29.1986061545853	29.2513063889719	29.5963950115023	29.1761391957355	28.9807574113444	24.2306583093497	24.4760319465033	25.7678404447207	23.2156329747578	23.4284491196889	23.2337459030751
AIPGENE10606	28.1096618554946	27.4672661932618	27.6320956094887	27.7059427219058	27.2874876453873	27.2921545185261	23.6860446844532	23.9266232005341	NA	22.8810249690368	22.9849402626717	24.0086495123663
AIPGENE10618	31.0884325884567	31.1890326111764	30.7625350529761	31.1745761333255	30.8961461121138	30.8973234948434	23.4590700970821	22.6623102438816	25.0256441430896	23.8180790151637	23.5597950729533	NA
AIPGENE10619	23.8442799342529	22.5450316218764	22.7997270661801	21.573260478948	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10623	26.0438454216424	25.9359098629648	26.0373947555247	26.1975825929725	25.6764189792254	26.1379181690506	NA	NA	NA	NA	NA	NA
AIPGENE10649	22.1305353717495	NA	22.4321318952271	NA	23.2938608630971	NA	NA	NA	NA	NA	NA	NA
AIPGENE10659	30.1421757513213	29.9988972451006	30.0504621568791	30.2793537957133	30.3111545525665	29.5882483398367	NA	24.7681249469393	25.6066862387333	NA	23.1160561271521	23.3478388206117
AIPGENE10679	22.9028365709477	NA	23.4601032577778	23.2489423971361	22.7758280663675	22.3168208116995	NA	NA	NA	NA	NA	NA
AIPGENE10686	NA	NA	NA	NA	NA	NA	NA	23.7903395470228	24.2741793489899	22.6118726697774	20.9693440083201	23.7591388600035
AIPGENE10708	NA	NA	NA	22.6689013187226	23.140035106052	22.9218225089271	NA	NA	NA	NA	NA	NA
AIPGENE10716	25.5835160323469	24.3734554265607	25.0045116961556	24.5094888270115	23.6118363200963	NA	23.8101127534254	25.2594626953929	25.5668327324175	22.7275022359827	24.3788677950426	24.8147831061465
AIPGENE10764	27.9733491540898	26.6190134024786	26.5574537391232	26.8825959661567	28.21722702876	26.293317982721	21.8866768214625	NA	24.414152807296	NA	NA	NA
AIPGENE10773	24.6711949594103	24.5849830238382	24.3638452065749	22.9946790313919	24.0500103624214	23.035909255259	NA	NA	NA	NA	NA	NA
AIPGENE1080	26.0055772659047	25.579698149749	26.4204772322428	26.3432542802166	26.4641095841176	26.3053121220432	22.653505071268	NA	23.8843363700075	NA	23.7119403018391	23.1491383565953
AIPGENE10885	24.823828823821	23.9635457728139	23.9201665554711	23.257297770431	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10893	NA	NA	NA	NA	NA	NA	27.1940150698685	26.4467625084606	27.8072950708536	26.1147966141617	26.2903785128767	26.605064276736
AIPGENE10895	NA	NA	NA	NA	22.8151404152519	NA	NA	NA	NA	NA	NA	NA
AIPGENE10899	25.2611632972843	24.1644647424584	23.9031662894217	23.9708743903854	22.9743175158389	22.4188903936929	NA	NA	NA	NA	NA	NA
AIPGENE10905	25.3030617773636	26.320670973297	26.2175314806748	26.8934292097602	26.7438051861986	26.6768223078479	27.2263329373312	27.2588400569539	28.0075241707246	27.1573229937334	26.5193667838187	26.7824177379729
AIPGENE10921	NA	22.3516764715809	22.7574060840414	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE1093	24.2848215591529	24.2624785654982	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10935	22.9572035582766	NA	23.9099375683098	NA	22.659589301318	NA	NA	NA	NA	NA	NA	NA
AIPGENE10940	21.3430084826231	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10966	25.4083459391896	25.6898664157669	25.7553193560251	25.8720699674437	25.8551013396533	25.2158882869049	NA	NA	NA	NA	NA	NA
AIPGENE10967	22.0928126178025	NA	22.4579442967412	22.7168366222965	22.9547254317009	NA	NA	NA	NA	NA	NA	NA
AIPGENE10977	NA	NA	NA	22.6525134976512	22.7139770294045	NA	NA	NA	NA	NA	NA	NA
AIPGENE10991	24.7737841291799	24.6605095465332	24.6197766846937	24.6012058558003	24.4120994537271	23.5190396580578	NA	NA	NA	NA	NA	NA
AIPGENE11057	25.180742943499	24.6779370214135	25.5394292238592	24.7800492987042	25.2574596374806	25.2437898019266	23.9139479840552	23.8385251426772	26.0223894033043	24.0991548307678	23.8431769421993	NA
AIPGENE11091	24.4767944017248	23.4436012289536	25.3481460897419	25.0732314635331	25.9197294286305	23.6684277608075	NA	NA	NA	NA	NA	NA
AIPGENE11099	NA	NA	NA	22.368031338578	22.181849854829	NA	NA	NA	24.6397029313137	NA	21.000137923493	NA
AIPGENE11123	27.5589002799372	27.3562520356542	27.7842293431804	27.1413192164758	27.5878235170986	27.3127565781955	28.4742808726708	28.1406090506408	28.9024003714537	28.3101619054126	28.116270183442	28.4220636109303
AIPGENE11124	22.7135505535005	NA	23.2663769404918	23.6602521982164	23.5344539279649	23.5574923323737	25.030017267726	24.446084249611	25.3373792196441	24.1047876478162	25.0691473407735	25.027013023563
AIPGENE11167	27.4462019959557	27.4500290380934	27.5671649576923	27.7751114248207	27.45302390785	26.411423673743	NA	NA	NA	NA	NA	NA
AIPGENE11186	24.5276838849575	24.3496945460248	24.5258096774237	24.6751286680124	24.5571604142078	23.8858440861483	NA	NA	NA	NA	NA	NA
AIPGENE11193	23.7388215716821	23.8194205539999	24.6222691472527	23.5137095270738	24.3012555932693	NA	NA	NA	NA	NA	NA	NA
AIPGENE11223	21.3361526615048	NA	NA	NA	20.8851613160248	NA	NA	NA	NA	NA	NA	NA
AIPGENE11225	25.064611539392	25.0257752443814	24.104165210922	25.5801521612461	25.9280727900297	24.4185296336971	NA	NA	24.0724169046133	NA	NA	22.7932914364361
AIPGENE11237	24.8160502495381	23.6810671177818	24.597757513768	23.6940083877691	23.2258865594091	NA	NA	NA	21.0809041653881	NA	NA	NA
AIPGENE1127	NA	NA	NA	22.8164431838232	25.2148390563102	NA	NA	NA	NA	NA	NA	NA
AIPGENE11276	27.0542212045672	27.3703402988687	26.0646030701775	24.6130701215477	26.3680982329861	26.1799292059144	NA	NA	NA	NA	NA	NA
AIPGENE11286	28.1371001309098	28.301516438098	27.1955980539162	25.8949394814235	26.4572464415791	27.5050820836041	NA	23.9651272438935	NA	NA	22.3233171833409	NA
AIPGENE11306	23.9845045120748	24.3318258564985	24.0624459135129	22.0235203665501	23.9494787219806	22.4607151012886	NA	NA	NA	NA	NA	NA
AIPGENE11311	24.7575851316013	24.4693237156633	24.7943881009559	24.8022504003482	24.8633274462411	NA	NA	NA	NA	NA	NA	NA
AIPGENE11320	22.7116837758741	21.3678511613185	22.3847761102873	NA	21.8709766481139	NA	NA	NA	NA	NA	NA	NA
AIPGENE11341	23.9898447104557	NA	23.3865902182999	24.9091269289965	24.0669678311984	24.1655310012097	NA	NA	NA	NA	NA	NA
AIPGENE11352	22.0686113407495	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11368	NA	NA	NA	NA	NA	NA	NA	23.3817560103528	24.5567414338109	22.6994838130019	21.5724519162846	23.1304167527159
AIPGENE11410	21.3143559909332	NA	NA	23.4510905970813	NA	NA	NA	22.0549874538071	NA	NA	NA	NA
AIPGENE11420	27.9569975830623	27.6484245133188	27.7521795095401	28.0062046926285	27.2477638309852	27.3947088812071	23.9574518277852	24.29971347802	26.2536169438965	NA	NA	22.4721542291107
AIPGENE11421	28.427494170647	27.8947286879973	28.4030774374842	28.5444044167488	28.1511101089408	26.2152709212476	22.0476013947751	21.8224175650901	24.8840786406849	23.0887824168792	NA	NA
AIPGENE1143	22.4068510308786	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11436	22.4817068168775	NA	23.0561810791387	23.5777042621215	22.8716574967638	NA	23.6626625087859	NA	NA	24.2580025148616	23.5806103999756	NA
AIPGENE11440	25.0513534237448	24.4993765888802	24.0797186561883	24.8257397634018	23.5044640570071	23.8045281994903	NA	NA	NA	NA	NA	NA
AIPGENE11487	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.8048714396955	NA
AIPGENE11497	24.5275612406104	24.7743803002051	25.0431730053673	23.8765040192665	25.159828386178	25.2793461789514	NA	NA	25.5432679916601	NA	NA	NA
AIPGENE11506	25.4715558389599	25.9266867147313	26.1905328969401	25.9374616481201	25.5207411972461	25.5845050116685	NA	NA	24.1710466565525	NA	NA	NA
AIPGENE11531	NA	NA	NA	NA	22.0546390924821	NA	NA	NA	NA	NA	NA	NA
AIPGENE11540	25.49883502758	25.2849718981972	26.7571695240743	25.5559178482118	25.5693796266703	25.0746341768644	NA	23.3247153720076	24.0019563514701	NA	NA	NA
AIPGENE11551	23.1274972236207	NA	22.3021443917769	22.6942495812075	22.4775717702009	NA	24.5499484329469	24.8314776411721	24.6050709477699	23.6375512247067	23.7133231600131	24.0297815991235
AIPGENE11562	21.3449838201162	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11563	27.7705640651014	27.5312844776343	27.5715816432916	27.592910586695	27.4167382325065	27.105424663658	NA	NA	23.5831586513384	NA	NA	NA
AIPGENE11578	25.08406094195	24.4239620941619	24.5526667525026	24.3561096497668	23.8827851058673	24.1244272630277	NA	NA	NA	NA	NA	NA
AIPGENE1158	21.5094877396952	NA	20.7536362509195	NA	20.725981274739	NA	NA	NA	NA	NA	NA	NA
AIPGENE11583	25.9266540532213	25.7307080063245	25.9022210788167	26.2681988407877	26.6955618055145	25.9267270656034	NA	NA	NA	NA	NA	NA
AIPGENE11590	23.4570945149526	24.0942323579157	24.7466609013724	23.9824134428408	24.9819559436784	23.9752686291618	NA	NA	NA	NA	NA	NA
AIPGENE11593	25.6954222865	24.7436225199416	25.1963592885671	24.8762100324702	25.1979087423257	25.08105785009	23.8375746179404	NA	25.366175448252	22.9228669135725	22.6377035559145	23.6891745383912
AIPGENE1160	27.9050959300803	27.9667642803675	27.958407240158	28.2929951604025	27.1274992899672	27.5715449006244	NA	NA	24.2825272635757	NA	NA	NA
AIPGENE11602	21.7214509489665	NA	NA	20.3212137910835	20.3786884634979	21.3611956733648	NA	NA	NA	NA	NA	NA
AIPGENE11605	21.7252734667668	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11610	25.7228097195199	25.4615777409266	24.8160489796292	26.193637098193	25.5985367788266	24.7348194782374	NA	NA	NA	NA	NA	NA
AIPGENE11614	22.5609225080287	22.0380765279732	23.068004103539	22.5713272317596	21.9987562014095	NA	22.5607837692133	NA	NA	NA	21.3731365046496	21.7271607792022
AIPGENE11620	22.8984269271684	NA	21.9847549239754	NA	23.1238650139564	NA	NA	NA	NA	NA	NA	NA
AIPGENE11621	21.9770437627107	NA	21.4197590125134	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11623	22.6844804714159	NA	NA	22.8390723723462	22.9520919278418	23.1037694695403	NA	NA	NA	NA	NA	NA
AIPGENE11626	22.9044072313806	NA	22.7083379391648	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11629	NA	NA	NA	NA	NA	NA	25.5460528642988	24.964859057091	25.7011988350231	24.1289713310599	24.9697984111677	24.5944888578071
AIPGENE1163	NA	NA	22.9327830777038	22.2875606349914	21.6416338169451	NA	NA	NA	NA	NA	NA	NA
AIPGENE11638	22.9191100070086	24.4231565701308	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11641	24.1549225355521	NA	22.070314570829	25.9684792464543	24.9897322142763	23.3687218540885	NA	NA	NA	NA	NA	NA
AIPGENE11679	21.3822724492431	NA	21.1173115766018	NA	20.6697793642786	NA	NA	NA	NA	NA	NA	NA
AIPGENE11684	32.9054928678434	32.8904778546024	32.7742635546738	32.5981115722189	32.5925663321126	32.64350272213	23.9402530999955	25.5799111939694	26.8045600537127	NA	NA	NA
AIPGENE11699	NA	NA	22.1909038856811	22.350066322354	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11701	30.5472746146945	30.5270767986623	31.1900826652577	30.8389830235888	30.8745922532163	30.6582276456248	26.6862053146419	27.0192458894377	28.0738718708734	28.013864108655	26.6525040609756	27.5403608868408
AIPGENE11714	25.6028106991763	23.9755116229626	25.6471365831412	25.7058091195019	25.7169447107656	25.1600754501105	26.0835765093147	24.3424675384146	26.2230266276412	22.7426353008808	25.0783903531562	NA
AIPGENE11718	24.4531100909274	23.8423382573667	24.00880951703	25.1879609296672	25.0902404574328	23.4000984521918	NA	NA	24.6260941163506	NA	22.7721770221499	NA
AIPGENE11731	NA	NA	NA	NA	22.9298664478298	21.7700051890787	NA	NA	NA	NA	NA	NA
AIPGENE11735	21.5728695968939	NA	20.6300372411901	NA	NA	NA	NA	23.3070238540676	23.1762452961809	NA	NA	NA
AIPGENE11736	NA	NA	NA	21.1798741711838	NA	NA	NA	23.2733902611325	NA	NA	NA	NA
AIPGENE11752	NA	NA	NA	NA	NA	NA	NA	23.4461516606482	24.5997896051488	NA	NA	NA
AIPGENE11754	NA	23.3012595012743	NA	NA	NA	NA	NA	24.0659120836612	24.4236963286425	NA	NA	NA
AIPGENE11758	NA	NA	NA	NA	NA	NA	24.4786023852791	24.1496384417544	25.5705059109928	23.509474933464	20.8361967850208	NA
