Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	21.9013680868322	NA	22.1289411388364	22.9919586641136	21.3483678715906	20.1877736346027	NA	NA	NA	NA	NA	NA
AIPGENE10000	22.6334933031359	22.057872454938	23.7945346927575	23.9141977609964	24.421401438431	NA	NA	NA	NA	NA	NA	NA
AIPGENE10018	23.9749793847992	24.1268112199571	24.2811375121914	24.068410541722	24.6047276585242	23.5956709261565	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	NA	22.366803852504	NA	NA	NA	NA	NA	24.2895155817768	NA	24.3340694113674	NA
AIPGENE10117	24.5524257664201	23.7221639521399	24.8343223572817	24.1881269060698	25.2267349161055	23.1336744283633	NA	NA	NA	NA	NA	NA
AIPGENE10129	22.7625586801425	22.6394613812586	23.1412496514804	24.5771189938505	24.8400725734018	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	27.5534723956642	26.6831724551425	27.2941110612801	27.3700511619147	26.7867786971171	26.4820731656306	26.0999706617619	26.3716708993617	26.5281087102685	25.4406517133723	26.1751043972432	26.5687380058087
AIPGENE10179	NA	NA	NA	22.3856562419601	22.8040266373165	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	22.6360835286272	21.3663463860914	21.4880180719317	23.3095983032226	23.373209977442	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	23.9496865782639	23.3669290725637	24.0332722227863	24.1165743899057	24.2813264537211	22.595026233247	NA	NA	NA	NA	NA	NA
AIPGENE10361	20.8958224221447	NA	21.9378499446513	22.5792348244256	23.219872310198	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	NA	NA	NA	22.165533139717	NA	22.5111245466047	25.7879084331737	25.0173918374679	26.9575877484096	NA	25.7912876277391	23.6527708581028
AIPGENE10412	25.7611405840202	25.467693558377	24.7772314032571	26.1149884420993	26.5083483958613	25.2277903132061	NA	NA	NA	NA	NA	NA
AIPGENE10422	21.3641207479631	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10493	28.2792496340551	27.8623449319911	28.3907687774716	28.6362813723874	29.016360230567	28.0654271667306	25.9203807975503	25.5779322918355	26.5228870954342	26.7765666847543	26.039776852626	24.4910166590219
AIPGENE10494	26.4675834818015	25.9735457524049	26.1130869730604	26.5456775325644	25.7266210872201	25.5815517995173	NA	23.9954356106309	25.8718168397672	NA	NA	NA
AIPGENE10504	27.4329198596001	26.4829714322573	27.3442368108555	27.409485031895	27.7327794916648	26.882678548899	29.0733266409131	28.6106156604565	29.378398577505	28.5868733557049	28.2346676680222	28.2594214677193
AIPGENE10518	23.677203243955	24.7221790466758	24.8522663760483	26.0390444887527	25.3538696560703	24.695896844805	NA	NA	NA	NA	NA	NA
AIPGENE10519	24.7377475467516	24.1665813641106	24.0042198249054	24.193585557892	23.5194542428014	23.118182084867	24.1591052397306	24.5975016801073	24.7093013475452	NA	24.1713987545846	24.243940612631
AIPGENE1052	20.2567981475211	19.21546969923	20.0368192589326	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10527	25.6116325751376	23.623257783878	24.310746826551	24.5388356387347	26.278400543355	NA	NA	NA	NA	NA	NA	NA
AIPGENE10529	19.9263336252632	21.4087461314764	22.614134491063	23.0546170716538	22.6481526268938	21.6036631075018	NA	NA	23.1838676655891	NA	NA	NA
AIPGENE10532	24.0068657693199	22.8901861218304	23.7505232984682	24.7847621267698	24.4768832432196	22.488619917291	NA	NA	NA	NA	NA	NA
AIPGENE10535	24.7393436024995	25.5165830426692	25.3659531852986	26.0527526339544	25.5150076001755	24.6772645803731	NA	NA	NA	NA	NA	NA
AIPGENE10546	21.3590239287988	NA	NA	22.0033317187318	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10560	23.5182260543442	NA	23.1437611154045	22.6694760263339	22.5722231757808	23.1283785718962	NA	NA	NA	NA	NA	NA
AIPGENE10564	24.6216524441057	23.0503995536919	24.0946932726136	25.2257721343351	24.7370319110701	23.9657925854273	26.4217633354623	26.4072583666743	26.6171774071409	25.9408307247946	26.2707377875904	25.5866250959041
AIPGENE10586	25.5396440295927	25.5249572617855	25.6843242473745	25.9316863053168	25.2495444106807	24.6703810229221	NA	NA	NA	NA	NA	NA
AIPGENE10587	29.3113936060778	28.5060324903632	28.8572386543198	29.3306622761399	28.8494505874696	28.2149192843021	25.0559606952958	25.1661266251386	25.9596127225204	24.2112970044259	24.2894611415681	24.1122134827088
AIPGENE10606	27.7793508304789	26.7746925290397	27.2380278748366	27.4402099865435	26.9607990371214	26.5263163914837	24.5113470703994	24.6167178791693	NA	23.8766889987048	23.8459522845509	24.887117092
AIPGENE10618	30.758121563441	30.4964589469543	30.368467318324	30.9088433979631	30.5694575038479	30.1314853678011	24.2843724830283	23.3524049225168	25.2174164208893	24.8137430448317	24.4208070948325	NA
AIPGENE10619	23.5139689092372	21.8524579576543	22.405659331528	21.3075277435856	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10623	25.7135343966267	25.2433361987428	25.6433270208726	25.9318498576102	25.3497303709596	25.3720800420082	NA	NA	NA	NA	NA	NA
AIPGENE10649	21.8002243467339	NA	22.038064160575	NA	22.9671722548312	NA	NA	NA	NA	NA	NA	NA
AIPGENE10659	29.8118647263057	29.3063235808785	29.656394422227	30.013621060351	29.9844659443006	28.8224102127944	NA	25.4582196255745	25.798458516533	NA	23.9770681490313	24.2263064002454
AIPGENE10679	22.5725255459321	NA	23.0660355231257	22.9832096617737	22.4491394581017	21.5509826846572	NA	NA	NA	NA	NA	NA
AIPGENE10686	NA	NA	NA	NA	NA	NA	NA	24.480434225658	24.4659516267896	23.6075366994454	21.8303560301994	24.6376064396372
AIPGENE10708	NA	NA	NA	22.4031685833602	22.8133464977861	22.1559843818848	NA	NA	NA	NA	NA	NA
AIPGENE10716	25.2532050073313	23.6808817623387	24.6104439615035	24.2437560916491	23.2851477118304	NA	24.6354151393716	25.9495573740281	25.7586050102171	23.7231662656507	25.2398798169218	25.6932506857802
AIPGENE10764	27.6430381290741	25.9264397382565	26.163386004471	26.6168632307943	27.8905384204941	25.5274798556787	22.7119792074087	NA	24.6059250850957	NA	NA	NA
AIPGENE10773	24.3408839343946	23.8924093596161	23.9697774719228	22.7289462960295	23.7233217541555	22.2700711282166	NA	NA	NA	NA	NA	NA
AIPGENE1080	25.6752662408891	24.887124485527	26.0264094975907	26.0775215448543	26.1374209758517	25.5394739950009	23.4788074572141	NA	24.0761086478072	NA	24.5729523237184	24.027605936229
AIPGENE10885	24.4935177988054	23.2709721085919	23.526098820819	22.9915650350686	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10893	NA	NA	NA	NA	NA	NA	28.0193174558146	27.1368571870958	27.9990673486533	27.1104606438297	27.1513905347559	27.4835318563697
AIPGENE10895	NA	NA	NA	NA	22.4884518069861	NA	NA	NA	NA	NA	NA	NA
AIPGENE10899	24.9308522722686	23.4718910782363	23.5090985547696	23.705141655023	22.647628907573	21.6530522666506	NA	NA	NA	NA	NA	NA
AIPGENE10905	24.9727507523479	25.6280973090749	25.8234637460227	26.6276964743978	26.4171165779328	25.9109841808055	28.0516353232774	27.9489347355892	28.1992964485243	28.1529870234015	27.3803788056979	27.6608853176065
AIPGENE10921	NA	21.6591028073588	22.3633383493893	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE1093	23.9545105341372	23.5699049012761	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10935	22.626892533261	NA	23.5158698336576	NA	22.3329006930521	NA	NA	NA	NA	NA	NA	NA
AIPGENE10940	21.0126974576075	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10966	25.0780349141739	24.9972927515449	25.361251621373	25.6063372320813	25.5284127313875	24.4500501598625	NA	NA	NA	NA	NA	NA
AIPGENE10967	21.7625015927869	NA	22.0638765620891	22.4511038869341	22.628036823435	NA	NA	NA	NA	NA	NA	NA
AIPGENE10977	NA	NA	NA	22.3867807622889	22.3872884211387	NA	NA	NA	NA	NA	NA	NA
AIPGENE10991	24.4434731041642	23.9679358823111	24.2257089500416	24.3354731204379	24.0854108454612	22.7532015310154	NA	NA	NA	NA	NA	NA
AIPGENE11057	24.8504319184833	23.9853633571914	25.1453614892071	24.5143165633418	24.9307710292147	24.4779516748842	24.7392503700013	24.5286198213124	26.2141616811039	25.0948188604359	24.7041889640785	NA
AIPGENE11091	24.1464833767092	22.7510275647315	24.9540783550897	24.8074987281707	25.5930408203646	22.9025896337651	NA	NA	NA	NA	NA	NA
AIPGENE11099	NA	NA	NA	22.1022986032157	21.8551612465632	NA	NA	NA	24.8314752091133	NA	21.8611499453722	NA
AIPGENE11123	27.2285892549215	26.6636783714321	27.3901616085283	26.8755864811135	27.2611349088327	26.5469184511531	29.2995832586169	28.830703729276	29.0941726492534	29.3058259350806	28.9772822053212	29.300531190564
