Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	22.4395220625259	NA	22.5851029119992	23.3195771976611	21.7476563827526	20.7028151071128	NA	NA	NA	NA	NA	NA
AIPGENE10000	23.1716472788296	22.6774055943786	24.2506964659202	24.2418162945439	24.820689949593	NA	NA	NA	NA	NA	NA	NA
AIPGENE10018	24.5131333604929	24.7463443593976	24.7372992853542	24.3960290752694	25.0040161696862	24.1107123986666	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	NA	22.8229656256668	NA	NA	NA	NA	NA	23.2705809915117	NA	23.7695886495989	NA
AIPGENE10117	25.0905797421138	24.3416970915805	25.2904841304445	24.5157454396172	25.6260234272674	23.6487159008734	NA	NA	NA	NA	NA	NA
AIPGENE10129	23.3007126558362	23.2589945206992	23.5974114246431	24.9047375273979	25.2393610845638	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	28.091626371358	27.3027055945831	27.7502728344429	27.6976696954622	27.1860672082791	26.9971146381407	25.4140637354927	25.6670446666871	25.5091741200034	24.8991552522986	25.6106236354747	26.0317833556315
AIPGENE10179	NA	NA	NA	22.7132747755076	23.2033151484785	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	23.1742375043209	21.985879525532	21.9441798450945	23.6372168367701	23.772498488604	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	24.4878405539576	23.9864622120042	24.4894339959491	24.4441929234531	24.680614964883	23.1100677057571	NA	NA	NA	NA	NA	NA
AIPGENE10361	21.4339763978385	NA	22.394011717814	22.9068533579731	23.6191608213599	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	NA	NA	NA	22.4931516732645	NA	23.0261660191148	25.1020015069046	24.3127656047933	25.9386531581446	NA	25.2268068659707	23.1158162079257
AIPGENE10412	26.2992945597139	26.0872266978175	25.2333931764198	26.4426069756468	26.9076369070232	25.7428317857162	NA	NA	NA	NA	NA	NA
AIPGENE10422	21.9022747236569	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10493	28.8174036097488	28.4818780714317	28.8469305506344	28.9638999059348	29.415648741729	28.5804686392407	25.2344738712812	24.8733060591609	25.5039525051691	26.2350702236806	25.4752960908575	23.9540620088448
AIPGENE10494	27.0057374574953	26.5930788918455	26.5692487462232	26.8732960661118	26.1259095983821	26.0965932720274	NA	23.2908093779562	24.8528822495022	NA	NA	NA
AIPGENE10504	27.9710738352938	27.1025045716979	27.8003985840183	27.7371035654424	28.1320680028268	27.3977200214091	28.3874197146439	27.9059894277818	28.35946398724	28.0453768946311	27.6701869062537	27.7224668175422
AIPGENE10518	24.2153572196487	25.3417121861164	25.3084281492111	26.3666630223001	25.7531581672323	25.2109383173151	NA	NA	NA	NA	NA	NA
AIPGENE10519	25.2759015224453	24.7861145035512	24.4603815980682	24.5212040914395	23.9187427539633	23.6332235573772	23.4731983134615	23.8928754474326	23.6903667572801	NA	23.6069179928161	23.7069859624538
AIPGENE1052	20.7949521232149	19.8350028386706	20.4929810320954	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10527	26.1497865508313	24.2427909233186	24.7669085997138	24.8664541722821	26.677689054517	NA	NA	NA	NA	NA	NA	NA
AIPGENE10529	20.4644876009569	22.028279270917	23.0702962642258	23.3822356052012	23.0474411380558	22.118704580012	NA	NA	22.1649330753241	NA	NA	NA
AIPGENE10532	24.5450197450136	23.509719261271	24.206685071631	25.1123806603172	24.8761717543816	23.0036613898012	NA	NA	NA	NA	NA	NA
AIPGENE10535	25.2774975781932	26.1361161821097	25.8221149584614	26.3803711675019	25.9142961113374	25.1923060528832	NA	NA	NA	NA	NA	NA
AIPGENE10546	21.8971779044925	NA	NA	22.3309502522793	NA	NA	NA	NA	NA	NA	NA	NA
