Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	4924955	NA	6027001	10029118	3348437.2	2030793	NA	NA	NA	NA	NA	NA
AIPGENE10000	8180765	7056132	19120308	19005722	28178472	NA	NA	NA	NA	NA	NA	NA
AIPGENE10018	20731058	29605972	26790260	21149838	31996622	21554848	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	NA	7107307	NA	NA	NA	NA	NA	17953270	NA	11643790	NA
AIPGENE10117	30935002	22364972	39309920	22979748	49243280	15648408	NA	NA	NA	NA	NA	NA
AIPGENE10129	8946362	10559477	12157282	30091480	37666044	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	247659620	174148900	216258080	208545060	145200110	159381760	40591330	53817656	84728056	22838866	41715852	54142960
AIPGENE10179	NA	NA	NA	6587908	9184153	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	8195466	4369146.5	3865130.8	12499188	13626376	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	20370776	17483646	22561192	21867836	25571174	10772609	NA	NA	NA	NA	NA	NA
AIPGENE10361	2453030	NA	5279309	7533911	12252399	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	NA	NA	NA	5655667.5	NA	10163984	32695892	21049712	114107270	NA	31971334	7173786
AIPGENE10412	71500580	74993760	37784708	87375240	119715690	66813136	NA	NA	NA	NA	NA	NA
AIPGENE10422	3393709.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10493	409577340	394354700	462486660	501618080	680985500	477612480	35840276	31044570	84421950	57653412	37980744	12825832
AIPGENE10494	116672920	106488280	95378100	117771096	69635020	85379710	NA	10365892	53760550	NA	NA	NA
AIPGENE10504	227806060	151584300	223903920	214323940	279731620	210393760	318788480	254047140	611012350	202200220	173896740	174778670
AIPGENE10518	16864828	44730412	39801904	82894740	53779696	46211064	NA	NA	NA	NA	NA	NA
AIPGENE10519	35175280	30433460	22111408	23066860	15080102	15481267	10572424	15734271	24016608	NA	10402210	10807077
AIPGENE1052	1575206.1	983825.8	1413545.6	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10527	64461910	20883084	27345774	29303474	102077464	NA	NA	NA	NA	NA	NA	NA
AIPGENE10529	1252730.5	4499458	8436436	10474295	8243589.5	5418647	NA	NA	8342772	NA	NA	NA
AIPGENE10532	21194356	12563715	18545824	34749644	29283240	10006666	NA	NA	NA	NA	NA	NA
AIPGENE10535	35214216	77578670	56824940	83686140	60134776	45618090	NA	NA	NA	NA	NA	NA
AIPGENE10546	3381741.5	NA	NA	5054246	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10560	15105149	NA	12178464	8020211	7820946.5	15591071	NA	NA	NA	NA	NA	NA
AIPGENE10564	32455586	14039354	23542448	47174532	35069670	27858818	50734400	55161704	90123820	32303042	44574824	27409212
AIPGENE10586	61324280	78030290	70856260	76950056	50028020	45400950	NA	NA	NA	NA	NA	NA
