Protein.ID	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity
AIPGENE10	0	0	0	0	0	0	4924955	2958788.2	5985682	9904238	3276139.5	1948347.8
AIPGENE10000	0	0	0	0	0	0	8180765	5731268	18149120	18152490	35050328	10604120
AIPGENE10018	0	0	0	0	0	0	20731058	30150438	26707922	20743422	31914312	21134846
AIPGENE10043	0	0	0	0	0	0	5210667	7280433.5	0	0	0	0
AIPGENE10063	0	0	0	0	10042140	0	0	12576527	7058581.5	8947030	0	0
AIPGENE10117	0	0	0	0	0	0	30935002	28901736	36932344	23354068	48633944	11012998
AIPGENE1012	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE10129	0	0	0	0	0	0	8946362	10709755	17682840	30265698	37528524	0
AIPGENE10134	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE10135	0	0	0	0	0	0	1429865.8	0	3682874	0	0	0
AIPGENE10143	53300524	56726984	82132400	24787206	42192872	47735888	247659616	177887232	218158544	207722816	144724848	158329200
AIPGENE10146	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE10178	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE10179	0	0	0	0	0	0	0	0	0	7361037	9193389	0
AIPGENE10188	0	0	0	0	0	0	9220763	7422563	3801455.2	12343551	13431845	0
AIPGENE10210	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE10274	0	0	0	0	0	0	26120052	17516070	22454968	22004406	25541786	10448922
AIPGENE10288	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE10361	0	0	0	0	0	0	2453030	0	5192336	7440101	7931326	0
AIPGENE1040	28888524	24986748	103495704	0	36234044	6199058.5	10557984	0	0	5585244.5	0	0
AIPGENE10412	0	0	0	0	0	0	71500576	81985664	37644680	84312960	112164400	65307472
AIPGENE10493	33892816	32509036	89273320	17328066	33973992	12187457	415643072	409163200	474810336	502368224	673540540	473204064
AIPGENE10494	0	0	51650572	0	0	0	120062152	111311984	94888016	117889392	60014652	84049280
AIPGENE10504	338742976	200594992	578657150	169099552	170224448	139345184	236421408	180050144	225427712	214106352	277225376	204352512
AIPGENE10518	0	0	0	0	0	0	16864828	45729360	39661544	81589688	53346236	44778232
AIPGENE10519	9112350	30419584	19291806	0	8971344	9338682	35175280	31915254	22005936	15364205	15041432	15192133
AIPGENE1052	0	0	0	0	0	0	1575206.1	1009550.25	1390258.4	0	0	0
AIPGENE10527	0	0	0	0	0	0	64461912	20965668	27261730	28893564	101336128	0
AIPGENE10529	0	0	0	0	0	0	9997482	4617107	8013360	10343872	8065598	5198663.5
AIPGENE10532	0	0	0	0	0	0	21194356	12456256	18198902	34825792	29207910	9705993
AIPGENE10535	0	0	0	0	0	0	35214216	78321400	56189744	82533688	59961844	44596076
AIPGENE10541	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE10546	0	0	0	0	0	0	3381741.5	0	0	4991311.5	0	0
AIPGENE10560	0	0	0	0	0	0	15105149	18593490	12035530	8252064	7759218.5	15299885
AIPGENE10564	51147408	61555356	74660272	30206896	43130940	25868802	32455586	14712972	23343250	46691868	34255528	26847776
AIPGENE10584	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE10586	0	0	0	0	0	0	73281080	77414792	72443336	76606992	45708124	45469312
AIPGENE10587	43438192	18949838	88655840	23990276	21597474	20579422	1258078980	1092828420	907660350	1400395650	1016454340	973790340
AIPGENE10606	16450700	18675038	0	7336348.5	7159593.5	14584817	278762432	176027488	206390304	218188560	168138272	162306944
AIPGENE10618	5700823	7879501.5	39433112	0	0	0	1880986240	2116823550	1589124740	1895295100	1604190210	1520630020
AIPGENE10619	0	0	0	0	0	0	11681071	3350723.5	2870290.2	3081462	0	0
AIPGENE10623	0	0	0	0	0	0	69179696	65307016	68659408	77357936	53463032	73471152
AIPGENE10649	0	0	0	0	0	0	4591504	5866137	9679319	0	10294076	0
AIPGENE10659	9609478	29827496	49790604	0	7840759.5	9225229	1197020160	1060212740	1097117440	1306648960	1327765120	791162620
AIPGENE10679	0	0	0	0	0	0	7842252	0	12827218	9922292	7124692	5012256.5
AIPGENE10708	0	8403190	0	0	0	0	0	0	0	6585330.5	9252972	7623544.5
AIPGENE10716	13204581	47360120	78910608	6595762.5	14466495	26690380	50281204	39672312	30309062	20315356	12786624	0
AIPGENE10752	0	0	0	0	0	0	0	0	0	0	0	0
