GO.ID	Term	Annotated	Significant	Expected	P_value
GO:0006412	translation	509	100	27.6	4.6e-17
GO:0006099	tricarboxylic acid cycle	46	19	2.49	7.8e-13
GO:0006094	gluconeogenesis	35	12	1.9	2.4e-09
GO:0006096	glycolytic process	39	13	2.11	2.9e-09
GO:0006457	protein folding	138	30	7.48	3.4e-08
GO:0006007	glucose catabolic process	23	10	1.25	1.3e-07
GO:0006886	intracellular protein transport	537	64	29.12	1.4e-07
GO:0006098	pentose-phosphate shunt	16	9	0.87	3.6e-07
GO:0034641	cellular nitrogen compound metabolic process	7893	384	427.99	5.4e-07
GO:0046039	GTP metabolic process	212	31	11.5	1.4e-06
GO:0071346	cellular response to type II interferon	26	8	1.41	1.7e-06
GO:0007339	binding of sperm to zona pellucida	13	7	0.7	1.7e-06
GO:0002474	antigen processing and presentation of peptide antigen via MHC class I	21	10	1.14	1.8e-06
GO:0006414	translational elongation	42	14	2.28	2.3e-06
GO:0051693	actin filament capping	40	12	2.17	5.0e-06
GO:1901069	guanosine-containing compound catabolic process	203	28	11.01	5.2e-06
GO:0045454	cell redox homeostasis	75	15	4.07	9.9e-06
GO:0051258	protein polymerization	168	35	9.11	1.7e-05
GO:0006105	succinate metabolic process	8	5	0.43	2.3e-05
GO:0006107	oxaloacetate metabolic process	8	5	0.43	2.3e-05
GO:0006166	purine ribonucleoside salvage	6	5	0.33	4.1e-05
GO:0006002	fructose 6-phosphate metabolic process	5	4	0.27	4.1e-05
GO:0007294	germarium-derived oocyte fate determination	6	4	0.33	0.00012
GO:0009165	nucleotide biosynthetic process	327	33	17.73	0.00014
GO:0017148	negative regulation of translation	138	14	7.48	0.00015
GO:0008152	metabolic process	13948	814	756.31	0.00017
GO:0044179	hemolysis in another organism	47	10	2.55	0.00017
GO:0009168	purine ribonucleoside monophosphate biosynthetic process	52	12	2.82	0.00018
GO:0006936	muscle contraction	143	14	7.75	0.00019
GO:0050794	regulation of cellular process	7753	342	420.4	0.00020
GO:0007017	microtubule-based process	655	49	35.52	0.00024
GO:0010830	regulation of myotube differentiation	23	5	1.25	0.00026
GO:0030043	actin filament fragmentation	7	4	0.38	0.00026
GO:0006413	translational initiation	95	19	5.15	0.00027
GO:0044403	biological process involved in symbiotic interaction	349	26	18.92	0.00033
GO:0006559	L-phenylalanine catabolic process	13	5	0.7	0.00041
GO:0065007	biological regulation	8687	403	471.04	0.00042
GO:0006450	regulation of translational fidelity	8	4	0.43	0.00050
GO:0022618	protein-RNA complex assembly	103	17	5.59	0.00058
GO:0006144	purine nucleobase metabolic process	34	9	1.84	0.00061
GO:0070814	hydrogen sulfide biosynthetic process	4	3	0.22	0.00061
GO:0006172	ADP biosynthetic process	4	3	0.22	0.00061
GO:0018208	peptidyl-proline modification	44	9	2.39	0.00067
GO:0030833	regulation of actin filament polymerization	99	23	5.37	0.00083
GO:0006048	UDP-N-acetylglucosamine biosynthetic process	9	4	0.49	0.00087
GO:0046168	glycerol-3-phosphate catabolic process	9	4	0.49	0.00087
GO:0006751	glutathione catabolic process	9	4	0.49	0.00087
GO:0006572	tyrosine catabolic process	9	4	0.49	0.00087
GO:0006730	one-carbon metabolic process	31	9	1.68	0.00087
GO:0061077	chaperone-mediated protein folding	22	6	1.19	0.00088
GO:0051231	spindle elongation	15	5	0.81	0.00088
GO:0006890	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	15	5	0.81	0.00088
GO:0006897	endocytosis	578	48	31.34	0.00101
GO:0010467	gene expression	4108	267	222.75	0.00115
GO:0018279	protein N-linked glycosylation via asparagine	40	8	2.17	0.00119
GO:0002479	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent	10	4	0.54	0.00139
GO:0009083	branched-chain amino acid catabolic process	17	7	0.92	0.00145
GO:0034063	stress granule assembly	5	3	0.27	0.00146
GO:0006006	glucose metabolic process	110	30	5.96	0.00150
GO:0051289	protein homotetramerization	33	7	1.79	0.00167
GO:0046129	purine ribonucleoside biosynthetic process	79	17	4.28	0.00193
GO:0006103	2-oxoglutarate metabolic process	13	5	0.7	0.00208
GO:0015985	energy coupled proton transport, down electrochemical gradient	11	4	0.6	0.00209
GO:0006546	glycine catabolic process	11	4	0.6	0.00209
GO:0009063	amino acid catabolic process	131	33	7.1	0.00251
GO:0006520	amino acid metabolic process	444	102	24.08	0.00255
GO:0030029	actin filament-based process	447	68	24.24	0.00271
