GO.ID	Term	Annotated	Significant	Expected	P_value
GO:0007264	small GTPase mediated signal transduction	532	19	3.93	4.8e-10
GO:0015988	energy coupled proton transmembrane transport, against electrochemical gradient	15	6	0.11	7.0e-10
GO:1901069	guanosine-containing compound catabolic process	203	13	1.5	3.7e-09
GO:0046039	GTP metabolic process	212	12	1.57	6.0e-08
GO:0042632	cholesterol homeostasis	38	6	0.28	3.4e-07
GO:0043691	reverse cholesterol transport	13	4	0.1	1.9e-06
GO:0009207	purine ribonucleoside triphosphate catabolic process	650	17	4.81	6.5e-06
GO:0009154	purine ribonucleotide catabolic process	673	18	4.98	8.2e-06
GO:0006629	lipid metabolic process	1033	32	7.64	1.4e-05
GO:0016042	lipid catabolic process	203	13	1.5	1.4e-05
GO:0007009	plasma membrane organization	73	6	0.54	1.7e-05
GO:0033344	cholesterol efflux	29	5	0.21	4.4e-05
GO:0055092	sterol homeostasis	40	8	0.3	5.0e-05
GO:0045456	ecdysteroid biosynthetic process	2	2	0.01	5.4e-05
GO:0061057	peptidoglycan recognition protein signaling pathway	2	2	0.01	5.4e-05
GO:0006869	lipid transport	187	15	1.38	8.1e-05
GO:0006622	protein targeting to lysosome	13	3	0.1	0.00011
GO:0055091	phospholipid homeostasis	14	3	0.1	0.00014
GO:0070837	dehydroascorbic acid transport	3	2	0.02	0.00016
GO:0034375	high-density lipoprotein particle remodeling	3	2	0.02	0.00016
GO:0015031	protein transport	1224	22	9.05	0.00022
GO:0030947	regulation of vascular endothelial growth factor receptor signaling pathway	17	3	0.13	0.00025
GO:0043652	engulfment of apoptotic cell	5	2	0.04	0.00054
GO:0006820	monoatomic anion transport	379	11	2.8	0.00072
GO:0015918	sterol transport	63	8	0.47	0.00074
GO:0031579	membrane raft organization	6	2	0.04	0.00080
GO:0006689	ganglioside catabolic process	6	2	0.04	0.00080
GO:0045851	pH reduction	7	2	0.05	0.00111
GO:0006108	malate metabolic process	7	2	0.05	0.00111
GO:0032367	intracellular cholesterol transport	28	3	0.21	0.00113
GO:0015711	organic anion transport	265	8	1.96	0.00114
GO:0009313	oligosaccharide catabolic process	8	2	0.06	0.00148
GO:0042136	neurotransmitter biosynthetic process	8	2	0.06	0.00148
GO:0030168	platelet activation	134	6	0.99	0.00149
GO:0034605	cellular response to heat	32	3	0.24	0.00168
GO:0006911	phagocytosis, engulfment	39	5	0.29	0.00193
GO:0032489	regulation of Cdc42 protein signal transduction	10	2	0.07	0.00235
GO:0055081	monoatomic anion homeostasis	37	3	0.27	0.00256
GO:0007405	neuroblast proliferation	38	3	0.28	0.00277
GO:0055094	response to lipoprotein particle	25	3	0.18	0.00283
GO:0033700	phospholipid efflux	11	2	0.08	0.00286
GO:0060155	platelet dense granule organization	11	2	0.08	0.00286
GO:0038027	apolipoprotein A-I-mediated signaling pathway	11	2	0.08	0.00286
GO:0034380	high-density lipoprotein particle assembly	11	2	0.08	0.00286
GO:0019370	leukotriene biosynthetic process	14	2	0.1	0.00466
GO:0042149	cellular response to glucose starvation	14	2	0.1	0.00466
GO:0016197	endosomal transport	164	6	1.21	0.00491
GO:0008645	hexose transmembrane transport	50	3	0.37	0.00530
GO:0008039	synaptic target recognition	15	2	0.11	0.00536
GO:0017000	antibiotic biosynthetic process	15	2	0.11	0.00536
GO:0007265	Ras protein signal transduction	316	6	2.34	0.00670
GO:0006810	transport	3998	66	29.57	0.00727
GO:0032376	positive regulation of cholesterol transport	19	3	0.14	0.00730
GO:0034384	high-density lipoprotein particle clearance	3	2	0.02	0.00735
GO:0046663	dorsal closure, leading edge cell differentiation	1	1	0.01	0.00740
GO:0050746	regulation of lipoprotein metabolic process	1	1	0.01	0.00740
GO:0032308	positive regulation of prostaglandin secretion	1	1	0.01	0.00740
GO:0032497	detection of lipopolysaccharide	1	1	0.01	0.00740
GO:0035382	sterol transmembrane transport	1	1	0.01	0.00740
GO:0035376	sterol import	1	1	0.01	0.00740
GO:0010716	negative regulation of extracellular matrix disassembly	1	1	0.01	0.00740
GO:0007370	ventral furrow formation	1	1	0.01	0.00740
GO:0007374	posterior midgut invagination	1	1	0.01	0.00740
GO:0071318	cellular response to ATP	1	1	0.01	0.00740
GO:0010899	regulation of phosphatidylcholine catabolic process	1	1	0.01	0.00740
GO:0030589	pseudocleavage involved in syncytial blastoderm formation	1	1	0.01	0.00740
GO:0048549	positive regulation of pinocytosis	1	1	0.01	0.00740
GO:0035147	branch fusion, open tracheal system	1	1	0.01	0.00740
GO:0035149	lumen formation, open tracheal system	1	1	0.01	0.00740
GO:0035298	regulation of Malpighian tubule size	1	1	0.01	0.00740
