GO.ID	Term	Annotated	Significant	Expected	P_value
GO:0003735	structural constituent of ribosome	155	44	8.27	1.4e-20
GO:0003779	actin binding	381	70	20.33	1.6e-17
GO:0051287	NAD binding	67	20	3.57	1.2e-10
GO:0051082	unfolded protein binding	56	18	2.99	3.3e-10
GO:0004298	threonine-type endopeptidase activity	17	10	0.91	2.5e-09
GO:0032550	purine ribonucleoside binding	2606	204	139.05	4.6e-09
GO:0005525	GTP binding	406	51	21.66	1.2e-08
GO:0008237	metallopeptidase activity	378	33	20.17	1.2e-08
GO:0005200	structural constituent of cytoskeleton	65	17	3.47	3.3e-08
GO:0003924	GTPase activity	172	28	9.18	1.2e-07
GO:0004177	aminopeptidase activity	53	14	2.83	4.7e-07
GO:0030170	pyridoxal phosphate binding	96	18	5.12	2.8e-06
GO:0004364	glutathione transferase activity	22	8	1.17	1.0e-05
GO:0005198	structural molecule activity	453	83	24.17	1.4e-05
GO:0051537	2 iron, 2 sulfur cluster binding	25	8	1.33	3.1e-05
GO:0003743	translation initiation factor activity	65	13	3.47	3.2e-05
GO:0002161	aminoacyl-tRNA editing activity	5	4	0.27	3.9e-05
GO:0004645	1,4-alpha-oligoglucan phosphorylase activity	7	5	0.37	0.00011
GO:0003746	translation elongation factor activity	16	6	0.85	0.00011
GO:0005516	calmodulin binding	184	23	9.82	0.00013
GO:0003755	peptidyl-prolyl cis-trans isomerase activity	30	8	1.6	0.00013
GO:0005524	ATP binding	2246	158	119.84	0.00014
GO:0001758	retinal dehydrogenase activity	3	3	0.16	0.00015
GO:0030060	L-malate dehydrogenase activity	3	3	0.16	0.00015
GO:0004353	glutamate dehydrogenase [NAD(P)+] activity	3	3	0.16	0.00015
GO:0004775	succinate-CoA ligase (ADP-forming) activity	3	3	0.16	0.00015
GO:0017061	S-methyl-5-thioadenosine phosphorylase activity	3	3	0.16	0.00015
GO:0016597	amino acid binding	119	19	6.35	0.00024
GO:0016405	CoA-ligase activity	30	11	1.6	0.00024
GO:0004075	biotin carboxylase activity	8	4	0.43	0.00047
GO:0008143	poly(A) binding	8	4	0.43	0.00047
GO:0031072	heat shock protein binding	48	8	2.56	0.00057
GO:0004616	phosphogluconate dehydrogenase (decarboxylating) activity	4	3	0.21	0.00058
