GO.ID	Term	Annotated	Significant	Expected	P_value
GO:0005525	GTP binding	406	17	2.83	3.4e-09
GO:0004806	triglyceride lipase activity	37	7	0.26	1.3e-07
GO:0003924	GTPase activity	172	10	1.2	3.5e-07
GO:0005355	glucose transmembrane transporter activity	5	3	0.03	3.3e-06
GO:0019003	GDP binding	25	4	0.17	2.5e-05
GO:0005543	phospholipid binding	269	7	1.87	3.9e-05
GO:0030882	lipid antigen binding	2	2	0.01	4.8e-05
GO:0034186	apolipoprotein A-I binding	11	3	0.08	5.2e-05
GO:0015248	sterol transporter activity	13	3	0.09	9.0e-05
GO:0070891	lipoteichoic acid binding	3	2	0.02	0.00014
GO:0008061	chitin binding	75	5	0.52	0.00018
GO:0042834	peptidoglycan binding	6	2	0.04	0.00071
GO:0016004	phospholipase activator activity	6	2	0.04	0.00071
GO:0015485	cholesterol binding	26	3	0.18	0.00076
GO:0005548	phospholipid transporter activity	31	3	0.22	0.00129
GO:0016615	malate dehydrogenase activity	8	2	0.06	0.00131
GO:0046961	proton-transporting ATPase activity, rotational mechanism	8	2	0.06	0.00131
GO:0008289	lipid binding	431	16	3	0.00144
GO:0004051	arachidonate 5-lipoxygenase activity	9	2	0.06	0.00168
GO:0051117	ATPase binding	38	3	0.26	0.00233
GO:0034188	apolipoprotein A-I receptor activity	11	2	0.08	0.00254
GO:0005507	copper ion binding	154	5	1.07	0.00449
GO:0004729	oxygen-dependent protoporphyrinogen oxidase activity	1	1	0.01	0.00696
GO:0001875	lipopolysaccharide immune receptor activity	1	1	0.01	0.00696
GO:0005137	interleukin-5 receptor binding	1	1	0.01	0.00696
GO:0070506	high-density lipoprotein particle receptor activity	1	1	0.01	0.00696
GO:0047969	glyoxylate oxidase activity	1	1	0.01	0.00696
GO:0004325	ferrochelatase activity	1	1	0.01	0.00696
GO:0015078	proton transmembrane transporter activity	69	5	0.48	0.00851
GO:0005319	lipid transporter activity	55	6	0.38	0.00877
GO:0008509	monoatomic anion transmembrane transporter activity	234	6	1.63	0.00908
GO:0042626	ATPase-coupled transmembrane transporter activity	98	6	0.68	0.00914
GO:0019905	syntaxin binding	31	3	0.22	0.01001
GO:0004563	beta-N-acetylhexosaminidase activity	22	2	0.15	0.01015
GO:0050660	flavin adenine dinucleotide binding	126	4	0.88	0.01171
GO:0043621	protein self-association	25	2	0.17	0.01300
GO:0019900	kinase binding	406	4	2.83	0.01313
GO:0008035	high-density lipoprotein particle binding	2	1	0.01	0.01388
GO:0004465	lipoprotein lipase activity	2	1	0.01	0.01388
GO:0016509	long-chain-3-hydroxyacyl-CoA dehydrogenase activity	2	1	0.01	0.01388
GO:0008240	tripeptidyl-peptidase activity	2	1	0.01	0.01388
GO:0008970	phospholipase A1 activity	2	1	0.01	0.01388
GO:0031267	small GTPase binding	145	4	1.01	0.01869
GO:0004598	peptidylamidoglycolate lyase activity	3	1	0.02	0.02075
GO:0005152	interleukin-1 receptor antagonist activity	3	1	0.02	0.02075
GO:0047714	galactolipase activity	3	1	0.02	0.02075
GO:0004504	peptidylglycine monooxygenase activity	3	1	0.02	0.02075
GO:0032550	purine ribonucleoside binding	2606	27	18.15	0.02112
GO:0016491	oxidoreductase activity	1084	20	7.55	0.02556
GO:0017110	nucleoside diphosphate phosphatase activity	14	2	0.1	0.02738
GO:0008474	palmitoyl-(protein) hydrolase activity	4	1	0.03	0.02757
GO:0030742	GTP-dependent protein binding	4	1	0.03	0.02757
GO:0003796	lysozyme activity	4	1	0.03	0.02757
GO:0015250	water channel activity	4	1	0.03	0.02757
GO:0004382	GDP phosphatase activity	4	1	0.03	0.02757
GO:0016817	hydrolase activity, acting on acid anhydrides	1168	21	8.13	0.03111
GO:0008810	cellulase activity	5	1	0.03	0.03434
GO:0004300	enoyl-CoA hydratase activity	5	1	0.03	0.03434
GO:0008843	endochitinase activity	5	1	0.03	0.03434
GO:0008271	secondary active sulfate transmembrane transporter activity	5	1	0.03	0.03434
GO:0045134	UDP phosphatase activity	5	1	0.03	0.03434
GO:0004931	extracellularly ATP-gated monoatomic cation channel activity	5	1	0.03	0.03434
GO:0008241	peptidyl-dipeptidase activity	5	1	0.03	0.03434
GO:0016887	ATP hydrolysis activity	552	8	3.84	0.03941
GO:0003973	(S)-2-hydroxy-acid oxidase activity	6	1	0.04	0.04107
GO:0005536	glucose binding	6	1	0.04	0.04107
GO:0043262	ADP phosphatase activity	7	1	0.05	0.04775
GO:0005212	structural constituent of eye lens	7	1	0.05	0.04775
GO:0004566	beta-glucuronidase activity	7	1	0.05	0.04775
GO:0004095	carnitine O-palmitoyltransferase activity	7	1	0.05	0.04775
GO:0045545	syndecan binding	7	1	0.05	0.04775
GO:0017040	N-acylsphingosine amidohydrolase activity	7	1	0.05	0.04775
GO:0008812	choline dehydrogenase activity	8	1	0.06	0.05438
GO:0047372	acylglycerol lipase activity	8	1	0.06	0.05438
GO:0052893	N1-acetylspermine:oxygen oxidoreductase (propane-1,3-diamine-forming) activity	8	1	0.06	0.05438
GO:0052896	spermidine oxidase (propane-1,3-diamine-forming) activity	8	1	0.06	0.05438
GO:0052897	N8-acetylspermidine:oxygen oxidoreductase (propane-1,3-diamine-forming) activity	8	1	0.06	0.05438
GO:0052900	spermine oxidase (propane-1,3-diamine-forming) activity	8	1	0.06	0.05438
GO:0031683	G-protein beta/gamma-subunit complex binding	9	1	0.06	0.06097
GO:0017075	syntaxin-1 binding	9	1	0.06	0.06097
GO:0004089	carbonate dehydratase activity	9	1	0.06	0.06097
GO:0005229	intracellular calcium activated chloride channel activity	11	1	0.08	0.07401
GO:0022857	transmembrane transporter activity	1236	23	8.61	0.07452
GO:0030246	carbohydrate binding	307	5	2.14	0.07643
GO:0004467	long-chain fatty acid-CoA ligase activity	12	1	0.08	0.08046
GO:0016290	palmitoyl-CoA hydrolase activity	12	1	0.08	0.08046
GO:0046875	ephrin receptor binding	12	1	0.08	0.08046
GO:0004252	serine-type endopeptidase activity	244	4	1.7	0.09114
GO:0042043	neurexin family protein binding	14	1	0.1	0.09323
GO:0008093	cytoskeletal anchor activity	14	1	0.1	0.09323
GO:0030169	low-density lipoprotein particle binding	15	1	0.1	0.09955
GO:0008519	ammonium transmembrane transporter activity	15	1	0.1	0.09955
GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups	225	4	1.57	0.10013
GO:0043168	anion binding	3439	39	23.95	0.10437
GO:0004568	chitinase activity	21	2	0.15	0.10510
GO:0003995	acyl-CoA dehydrogenase activity	16	1	0.11	0.10583
GO:0004222	metalloendopeptidase activity	259	4	1.8	0.10730
GO:0030506	ankyrin binding	17	1	0.12	0.11206
GO:0005332	gamma-aminobutyric acid:sodium:chloride symporter activity	19	1	0.13	0.12440
GO:0001786	phosphatidylserine binding	21	1	0.15	0.13656
GO:0005545	1-phosphatidylinositol binding	23	1	0.16	0.14856
GO:0015103	inorganic anion transmembrane transporter activity	122	4	0.85	0.15200
GO:0042625	ATPase-coupled ion transmembrane transporter activity	35	3	0.24	0.15825
GO:0005544	calcium-dependent phospholipid binding	25	1	0.17	0.16039
GO:0051537	2 iron, 2 sulfur cluster binding	25	1	0.17	0.16039
GO:0045296	cadherin binding	25	1	0.17	0.16039
GO:0008158	hedgehog receptor activity	26	1	0.18	0.16625
GO:0019829	ATPase-coupled monoatomic cation transmembrane transporter activity	35	3	0.24	0.16976
GO:0004623	phospholipase A2 activity	27	1	0.19	0.17206
GO:0010181	FMN binding	27	1	0.19	0.17206
GO:0005328	neurotransmitter:sodium symporter activity	29	1	0.2	0.18357
GO:0002020	protease binding	33	1	0.23	0.20611
GO:0047442	17-alpha-hydroxyprogesterone aldolase activity	34	1	0.24	0.21165
GO:0004508	steroid 17-alpha-monooxygenase activity	34	1	0.24	0.21165
GO:0001614	purinergic nucleotide receptor activity	34	1	0.24	0.21165
GO:0050840	extracellular matrix binding	36	1	0.25	0.22261
GO:0005540	hyaluronic acid binding	38	1	0.26	0.23342
GO:0016500	protein-hormone receptor activity	39	1	0.27	0.23877
GO:0042165	neurotransmitter binding	40	1	0.28	0.24408
GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors	65	3	0.45	0.25155
GO:0004620	phospholipase activity	71	3	0.49	0.25676
GO:0008234	cysteine-type peptidase activity	220	3	1.53	0.26396
GO:0005506	iron ion binding	257	3	1.79	0.26604
GO:0042802	identical protein binding	732	7	5.1	0.26899
GO:0005109	frizzled binding	46	1	0.32	0.27519
GO:0015101	organic cation transmembrane transporter activity	47	1	0.33	0.28025
GO:0031996	thioesterase binding	48	1	0.33	0.28528
GO:0015297	antiporter activity	48	1	0.33	0.28528
GO:0004601	peroxidase activity	54	1	0.38	0.31470
GO:0004180	carboxypeptidase activity	55	1	0.38	0.31949
GO:0008324	monoatomic cation transmembrane transporter activity	767	9	5.34	0.35851
GO:0005215	transporter activity	1480	28	10.31	0.36203
GO:0020037	heme binding	195	2	1.36	0.39465
GO:0097367	carbohydrate derivative binding	3024	39	21.06	0.39499
GO:0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	151	2	1.05	0.39912
