Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	22.235741680093	21.8066979537491	22.6562909081327	23.1579203794547	21.585144191247	21.0553109261837	NA	NA	NA	NA	NA	NA
AIPGENE10000	22.7540323420718	22.4714858895425	23.9173713698159	23.9223784351718	24.8734669644009	23.5387469233413	NA	NA	NA	NA	NA	NA
AIPGENE10018	23.8874102237476	24.6531522819945	24.265977158645	23.8639577887305	24.534449497124	24.5047182056608	NA	NA	NA	NA	NA	NA
AIPGENE10043	22.2640930073259	23.0234023919073	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	23.7065130390118	22.6534675008764	22.9471619600265	NA	NA	NA	NA	NA	NA	23.5487617637722	NA
AIPGENE10117	24.4280259733843	24.5497215988115	24.6991211205845	23.9893431565266	25.1084567859787	23.551067328818	NA	NA	NA	NA	NA	NA
AIPGENE10129	22.7946240800898	23.2867683456622	23.7924608526574	24.5740140298835	24.8875312799344	NA	NA	NA	NA	NA	NA	NA
AIPGENE10135	20.5251113790821	NA	22.1173688535238	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	26.7567824113258	26.441012175281	26.6472673737598	26.5205399356834	26.0663228668831	26.7104789096419	27.231591728072	27.1425803406414	26.9637805441037	26.4811882208223	27.1940448483409	27.604134152429
AIPGENE10179	NA	NA	NA	22.6856666363712	23.0277602596821	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	23.0425434556519	22.9889812594127	21.8073097469306	23.4263594539494	23.5701904856316	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	24.3034120607122	23.9591023033987	24.0981401206086	24.0614616703734	24.2927751579193	23.5043772138709	NA	NA	NA	NA	NA	NA
AIPGENE10361	21.2057267910979	NA	22.3981111305171	22.735023228333	22.8480382956814	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	22.9991642071494	NA	NA	22.0835459732795	NA	NA	24.8265625652178	24.4704698305606	25.8462958796081	NA	25.6342793009457	22.9973076446897
AIPGENE10412	25.2259294084133	25.5794834267578	24.3777485112017	25.4554645775739	25.9447863405848	25.7682170177924	NA	NA	NA	NA	NA	NA
AIPGENE10493	27.4259906234499	27.556153811038	27.6744344074775	27.7192574990435	28.2099623121629	28.1546195239652	26.6070919775936	26.3431811344938	27.1085749393312	26.0276840726986	26.9522970306827	25.6922299816044
AIPGENE10494	25.8595712460791	25.8948149910409	25.6066740319148	25.8372705924394	24.931079991362	26.0060899016367	NA	NA	26.330476122546	NA	NA	NA
AIPGENE10504	26.4587886128999	26.1366559090169	26.3460381240957	26.2905817954653	26.790358533764	26.6331051169291	29.938804351978	28.9153568586361	29.7525933052649	29.4092377967255	29.4657093944383	29.2233920884987
AIPGENE10518	23.3655560186793	24.9946196073486	24.6420260067031	25.6051905103556	25.0814621166856	25.4494227958377	NA	NA	NA	NA	NA	NA
AIPGENE10519	24.7784782669724	24.8696423349469	24.1159198581612	23.6026272241723	23.5750889636369	24.0486810770914	23.0432081741778	24.6546604420193	23.2980489210734	NA	23.5749649976634	23.4665208404545
AIPGENE1052	20.7233623238224	20.4922706968175	20.8518786368457	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10527	25.3354858657173	23.9092394071658	24.1297998021563	24.1396535179267	26.0383350619867	NA	NA	NA	NA	NA	NA	NA
AIPGENE10529	23.1802263241426	22.3322395599218	22.9192202805792	23.1829115374059	22.8443997857178	22.4962169486865	NA	NA	NA	NA	NA	NA
AIPGENE10532	24.0153571429236	23.4810735047242	23.8093495043871	24.7431667426805	24.5003723489534	23.3999142052138	NA	NA	NA	NA	NA	NA
AIPGENE10535	24.3035604751566	25.627332464121	25.0416227620371	25.5121519092683	25.1380019644159	25.322665794791	NA	NA	NA	NA	NA	NA
AIPGENE10546	21.7016659380411	NA	NA	22.1717411729605	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10560	23.6649085832828	24.1998854597939	23.3525280351263	22.8030085030721	22.7216118805515	24.0685880853722	NA	NA	NA	NA	NA	NA
AIPGENE10564	24.322542794075	23.3854285053815	23.8931282964037	24.8191931022619	24.449695808114	24.7169518596588	26.2905869995841	26.4026308519861	26.0755051962176	26.0891917708385	26.426941253694	25.7292742318462
AIPGENE10586	25.314057568749	25.5575372295237	25.3685591948286	25.3633361804252	24.7017323687098	25.3025584430546	NA	NA	NA	NA	NA	NA
