Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	21.4273611316267	20.601819391566	21.7255171231924	22.5739989057667	20.8988083371626	20.1795936088973	NA	NA	NA	NA	NA	NA
AIPGENE10000	22.1594863479304	21.5556673240345	23.3258291806221	23.448048475652	24.3181675879357	22.6238953690233	NA	NA	NA	NA	NA	NA
AIPGENE10018	23.5009724295937	23.9509200197114	23.8831973149324	23.6405349297958	24.1829431898406	23.6188940677071	NA	NA	NA	NA	NA	NA
AIPGENE10043	21.5087186479793	21.900837319896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	22.6894746370737	21.9633797751638	22.4273617765109	NA	NA	NA	NA	NA	NA	25.8928531001482	NA
AIPGENE10117	24.0784188112146	23.8898972108496	24.3508144125057	23.8115548896415	24.7907032355106	22.6784777258347	NA	NA	NA	NA	NA	NA
AIPGENE10129	22.288551724937	22.4576665360664	23.2882795841966	24.1855646410138	24.4167271929599	NA	NA	NA	NA	NA	NA	NA
AIPGENE10135	19.6431303383725	NA	21.0248335280658	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	27.0794654171575	26.5116321177881	26.9132346546206	26.9644688010472	26.3639803791736	26.5241259127465	27.8319297722374	27.9585970978135	27.564599584144	27.4776216673618	27.9637856497138	28.1206746619349
AIPGENE10179	NA	NA	NA	22.1458619456574	22.3874083347212	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	22.3321367248738	21.9287303976278	21.0705532771278	22.8916385071085	22.9343971300942	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	23.8343364530059	23.167420179584	23.6329642491185	23.725673444846	23.8615990514247	22.6026245768082	NA	NA	NA	NA	NA	NA
AIPGENE10361	20.4218154669392	NA	21.5203852323079	22.1612751288404	22.1743736313428	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	22.5275130687942	NA	NA	21.7475733602631	NA	NA	26.9482765502148	26.7757250837832	27.8981471073706	NA	27.7441321876348	25.1757213885924
AIPGENE10412	25.2871335481051	25.3941127215451	24.3783755785238	25.663635426784	25.9962825876279	25.2465185313191	NA	NA	NA	NA	NA	NA
AIPGENE10493	27.826451943565	27.7133455494841	28.0352090187404	28.2385543256215	28.5824325210714	28.1036610264218	27.1787595647533	27.1554027114449	27.6848772078481	26.961136649629	27.6512171041352	26.1509974935681
AIPGENE10494	26.0348882111248	25.835278077628	25.7121554747342	26.1472430190756	25.0940544067769	25.6105059283693	NA	NA	26.895432454486	NA	NA	NA
AIPGENE10504	27.0124674565973	26.5290679074341	26.9605225558447	27.0081367099539	27.3017270593455	26.8922585402228	30.4998991826615	29.7807756187976	30.3812850385909	30.2478269390204	29.9761527066606	29.6661916011031
AIPGENE10518	23.2031962887495	24.5518617873971	24.4536704248556	25.6162678411805	24.9241261240009	24.70206803427	NA	NA	NA	NA	NA	NA
AIPGENE10519	24.2637405915461	24.0329871888221	23.6038223195441	23.2074541361136	23.0976815663982	23.1425949083359	25.2836751222695	27.059562359207	25.4746363357245	NA	25.7301823939825	25.7668912217881
AIPGENE1052	19.7827911923156	19.0505256863786	19.6193545420533	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10527	25.1376256646933	23.4267698566911	23.9128066998676	24.118629187812	25.8498163482333	NA	NA	NA	NA	NA	NA	NA
AIPGENE10529	22.4488153676356	21.2438021310738	22.1464087792491	22.6366573453299	22.1985930497685	21.5954831478991	NA	NA	NA	NA	NA	NA
AIPGENE10532	23.5328588141144	22.6756115591735	23.3297809934295	24.3880371801865	24.05509877137	22.4962181922998	NA	NA	NA	NA	NA	NA
AIPGENE10535	24.265336647294	25.3281476126211	24.9562364103579	25.632864125886	25.0927843939464	24.6961872408378	NA	NA	NA	NA	NA	NA
AIPGENE10546	20.8850169735933	NA	NA	21.5853718656733	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10560	23.0442190991387	23.2535386488668	22.7332292570851	22.3107079329516	22.142722901112	23.1527912766529	NA	NA	NA	NA	NA	NA
AIPGENE10564	24.1476454889002	22.915829757617	23.6889350194196	24.8110523251413	24.2850764653058	23.964073051614	27.7724411862667	28.0764463281141	27.4269888929326	27.7629039497866	27.9955095155695	27.2368136083211
AIPGENE10586	25.3226194496955	25.3113503142627	25.3227825665606	25.5253570919941	24.7011902505145	24.7241636422691	NA	NA	NA	NA	NA	NA
AIPGENE10587	29.424257368699	29.1306641567873	28.9700102142922	29.717571692822	29.1761412422517	29.1448097515928	27.536744112001	26.3767474504564	27.6748637967791	27.4304757619956	26.9976489442679	26.9068028276614
AIPGENE10606	27.2501429253808	26.4964698880741	26.833232873888	27.0353845731137	26.580315889168	26.5599232866733	26.135929029912	26.3556731140583	NA	25.7211600848495	25.4047359399946	26.4100676492683
AIPGENE10618	30.0045241689014	30.0844982659894	29.7780181477018	30.154159702776	29.8344410460465	29.7877958352244	24.6070221702481	25.1107382004109	26.5060556984922	NA	NA	NA
AIPGENE10619	22.6733512403618	20.7812856052888	20.6651980956701	20.889567922844	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10623	25.239527358004	25.0659790494955	25.245387000989	25.5394303200955	24.9272813010808	25.4164483632774	NA	NA	NA	NA	NA	NA
AIPGENE10649	21.3262173915284	21.5892237290344	22.4189070366049	NA	22.5505539818872	NA	NA	NA	NA	NA	NA	NA
AIPGENE10659	29.3524823238636	29.0869510308675	29.2435037387886	29.6176088108261	29.5615957910063	28.845172827254	25.3603100250498	27.0312048048349	26.8425216448592	NA	25.5358516706811	25.7492569939227
AIPGENE10679	22.0985185907266	NA	22.8251378918932	22.5766263371395	22.0196391959432	21.5428026185015	NA	NA	NA	NA	NA	NA
AIPGENE10708	NA	NA	NA	21.985208769944	22.3967283732452	22.1478042947527	NA	25.2035709450574	NA	NA	NA	NA
AIPGENE10716	24.7791978799706	24.3468735356619	24.0656787874652	23.6104516636855	22.8633750485651	NA	25.8188185794599	27.698234671882	27.5068673839288	25.5676373628585	26.4195017792242	27.2819202106039
AIPGENE10764	25.6597166732494	25.5874610120992	25.7630301200721	26.2297529109479	27.5236423419584	25.5568750189918	26.0119265057423	NA	25.6223808511695	NA	NA	NA
AIPGENE10773	23.8668769791891	23.6669136482378	23.566670595828	22.3109865824893	23.5655152866483	22.2618910707111	NA	NA	NA	NA	NA	NA
AIPGENE1080	25.3362481470693	24.9129017782357	25.6798866030602	25.6765039301096	25.7097387041011	25.2313732906311	25.4329493135259	25.0216784047167	25.0925644163972	NA	26.1317359923398	26.4740631298969
AIPGENE10885	24.0195108435999	23.7943435191515	23.1268787300845	23.769065387634	NA	23.332760715838	NA	NA	NA	NA	NA	NA
AIPGENE10893	NA	NA	NA	NA	NA	NA	29.472034944123	28.9188644642606	28.9425245632464	28.9383750467587	28.8982665382233	29.1979038575968
AIPGENE10895	NA	NA	NA	NA	22.0589514901734	NA	NA	NA	NA	NA	NA	NA
AIPGENE10899	24.4568452453107	23.2338743983531	23.1056745412433	23.2871819333794	22.198069401703	21.6448722522238	NA	NA	NA	NA	NA	NA
AIPGENE10905	24.4987437971424	25.1672569247352	25.4012459970665	26.2331343520488	25.9904959165919	25.9173676448857	29.5724782250105	29.3495455773212	29.0903203621567	30.0865613881082	29.1159534065839	29.3295475223064
