Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	22.8714888628044	21.9905049562412	22.9038798355073	23.4540199056344	21.8977310658249	20.768536135563	NA	NA	NA	NA	NA	NA
AIPGENE10000	23.4207267223107	22.7891598058252	24.082723171607	24.1728619156574	25.0335722236036	23.2042101197309	NA	NA	NA	NA	NA	NA
AIPGENE10018	24.4506552316031	24.8291005925766	24.6325190342902	24.3457991818677	24.9132018169218	24.0729538888073	NA	NA	NA	NA	NA	NA
AIPGENE10043	22.9287318789189	23.0355806287325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	23.6790929208209	23.1112842973433	23.3085194900289	NA	NA	NA	NA	NA	NA	23.4358741558359	NA
AIPGENE10117	24.970997413842	24.7863121461277	25.0790033426958	24.5305881687376	25.4549836815697	23.2340442754723	NA	NA	NA	NA	NA	NA
AIPGENE10129	23.5241347685655	23.4936448422778	24.048006426103	24.8789627034195	25.1365102790684	NA	NA	NA	NA	NA	NA	NA
AIPGENE10135	21.0009566535895	NA	22.3091592003736	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	27.7138170200207	27.1390755237792	27.5726023603024	27.4222735001545	26.9507699705957	26.8737174825546	25.9127551679639	25.8758611382983	25.7328899673522	24.8798890363549	25.5296712203842	26.0374753205879
AIPGENE10179	NA	NA	NA	23.0936429522063	23.3499344949039	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	23.5642119501203	23.0638262098684	22.3529930466656	23.671608637597	23.8090348134891	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	24.7527357643194	24.0401652307187	24.3624275625961	24.42350788744	24.6512965742199	23.1862230863327	NA	NA	NA	NA	NA	NA
AIPGENE10361	21.9062854715042	NA	22.7156696878046	23.1185377621262	23.179281691288	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	23.7039364423929	NA	NA	22.619089027299	NA	NA	24.8505493882872	24.453886227262	26.188753415116	NA	25.3932717323581	22.3866047020043
AIPGENE10412	26.0764452295392	26.1182281051419	25.1359265976416	26.1392383801854	26.5879954310978	25.5983507087892	NA	NA	NA	NA	NA	NA
AIPGENE10493	28.4660123786076	28.2196747753137	28.5676698236165	28.6118559753266	29.0406308418837	28.1194705515113	25.136019184128	24.9315057913382	25.9520369277541	24.2502823707306	25.2746122017321	23.6570855822154
AIPGENE10494	26.7652868232224	26.5389271764858	26.3408355057674	26.6566082556367	25.7604538460445	25.9474876247741	NA	NA	24.9150768423747	NA	NA	NA
AIPGENE10504	27.6580276915579	27.1547224027231	27.5973709012575	27.4816889765809	27.8722276508729	27.1992443871074	28.8213645718151	27.7685291115335	29.0787084275252	27.674252581335	27.9261935430822	27.4786156287414
AIPGENE10518	24.2115188816358	25.2995073187331	25.2030118337149	26.0352544820586	25.5793821614069	25.0648186340755	NA	NA	NA	NA	NA	NA
AIPGENE10519	25.1452588231043	24.8938499649296	24.3378578858451	23.9366771244771	23.9312492700049	23.558995672853	22.6411650057383	24.8061818038617	23.2002487741699	NA	23.2491537839748	23.0066378790901
AIPGENE1052	21.219757686391	20.6760244262531	21.0272425186595	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10527	25.9422299500927	24.3306424829443	24.6573515303635	24.8194574463019	26.4817181381638	NA	NA	NA	NA	NA	NA	NA
AIPGENE10529	23.6402070106311	22.521843067397	23.2403088539548	23.5082860211353	23.2032884924964	22.2533827011765	NA	NA	NA	NA	NA	NA
