Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	22.2217029734553	21.7692542582228	22.555246700561	23.1763730470405	21.6489176985	21.3756292915181	NA	NA	NA	NA	NA	NA
AIPGENE10000	22.9244537014371	22.6610369055227	24.0789589221255	24.0225730827097	24.963317222144	23.7068774100817	NA	NA	NA	NA	NA	NA
AIPGENE10018	24.2121163846401	24.9004345256182	24.6096483174946	24.2089264086243	24.8322436356146	24.6558555117709	NA	NA	NA	NA	NA	NA
AIPGENE10043	22.2997962457131	22.9837472686738	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	23.721069278328	22.7817239230377	23.034408165091	NA	NA	NA	NA	NA	NA	23.5548107762251	NA
AIPGENE10117	24.7663943360311	24.8433823685814	25.0548826599324	24.374497219603	25.4213480432322	23.7589352282689	NA	NA	NA	NA	NA	NA
AIPGENE10129	23.0483406891119	23.5043445416639	24.0432066582326	24.7365900297321	25.0588514681783	NA	NA	NA	NA	NA	NA	NA
AIPGENE10135	20.5090594789761	NA	21.8881017194385	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	27.6470322925834	27.2945253823084	27.4946512173008	27.4269509433016	26.9463322970329	27.4267148153252	27.685248593181	27.4993103957425	27.353421832102	25.8741300881374	27.2179612047261	27.7633285917108
AIPGENE10179	NA	NA	NA	22.7618776644006	23.0918240329804	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	23.0901769621327	23.00982539062	21.9316330670211	23.4838918094153	23.6220226081705	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	24.5321051036719	24.1679157059991	24.3713927979851	24.2913521850957	24.5207633899953	23.6865904327777	NA	NA	NA	NA	NA	NA
AIPGENE10361	21.2565020322207	NA	22.3599335629	22.7767997427456	22.8853285852625	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	23.2777143735794	NA	NA	22.376279608204	NA	NA	25.5649243249109	24.836871492157	28.1110943846104	NA	26.829429152388	21.5755171249375
AIPGENE10412	25.9266127554438	26.2497210988714	25.0811245952521	26.1675655655985	26.5899212574884	26.2081992241643	NA	NA	NA	NA	NA	NA
AIPGENE10493	28.3640480619291	28.418045336522	28.5629216480299	28.6604407286486	29.0966874317474	28.9331934023925	26.1179678910639	25.6914597102545	27.6266394332401	24.9935982149163	26.6650771419823	23.624726095506
AIPGENE10494	26.6443658420563	26.6621805651581	26.3510623672618	26.6357641391654	25.7153876289571	26.5553515064219	NA	NA	25.8333698698566	NA	NA	NA
AIPGENE10504	27.5827224388747	27.3108266543655	27.5396756565612	27.4692274769761	27.8552941586326	27.7778206031562	34.0870362480447	31.6007169097201	33.75168627502	30.5969273684295	30.7775185879457	31.0107035245642
AIPGENE10518	23.9262876833554	25.4622740203822	25.152815411455	26.1217072367253	25.5506754188087	25.6889306061883	NA	NA	NA	NA	NA	NA
AIPGENE10519	24.944280595292	24.9771617216782	24.343645763245	23.7896447160429	23.7802949095621	24.201586101475	21.5707162841242	25.4757397681941	22.605949046933	NA	23.2670721595713	22.8176582161974
AIPGENE1052	20.6431168295405	20.3189006325967	20.5498967748486	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10527	25.7831034600843	24.4103899345991	24.637840432582	24.6717873173478	26.4479509061808	NA	NA	NA	NA	NA	NA	NA
AIPGENE10529	23.2021741988277	22.3694642576065	22.955992140996	23.2370350227684	22.9088045709679	22.726031225411	NA	NA	NA	NA	NA	NA
AIPGENE10532	24.2427234166554	23.7081082476556	24.0827215791923	24.9326112575585	24.7083234948503	23.5851055475091	NA	NA	NA	NA	NA	NA
AIPGENE10535	24.9458126137415	26.1880482289482	25.6313257936628	26.1377747198449	25.7141566000971	25.6833218107244	NA	NA	NA	NA	NA	NA
AIPGENE10546	21.7011188665469	NA	NA	22.2192462828223	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10560	23.7736890113748	24.2484305909239	23.5147241269183	22.9214712219452	22.8546493972899	24.2113108682133	NA	NA	NA	NA	NA	NA
AIPGENE10564	24.8328434857885	23.9326958508212	24.4246844959151	25.3421480196398	24.9312418556681	24.9850693060444	27.5425058414145	27.7645684894232	27.0408311624008	26.3604949078623	27.2740756797376	25.9061970670472
AIPGENE10586	25.9606748839163	26.1723439026215	25.9803270121317	26.0336931447851	25.3345827246235	25.7100042499653	NA	NA	NA	NA	NA	NA
AIPGENE10587	29.8977459877499	29.7431413991797	29.4529780590795	30.0923326853539	29.672171830533	29.926187003385	26.9769511486111	23.9388423224498	27.6038933889865	25.7937531731417	25.5090189761213	25.2127923494887
AIPGENE10606	27.8108618404299	27.2803497334518	27.4184787667571	27.4956071510497	27.1560272306993	27.4608564920926	23.6156979557422	23.8914076613639	NA	22.8796184287686	22.6914091242734	24.1690733673802
AIPGENE10618	30.4547311962701	30.63491112267	30.2223102387262	30.5150098450078	30.3102646415235	30.5394337481942	19.9470887800184	21.0892759791432	24.9488779757259	NA	NA	NA
AIPGENE10619	23.4177011940772	21.93704290642	21.5456804390983	21.5456124964476	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10623	25.8809166313314	25.9429385345151	25.9066360287958	26.0473179625663	25.5537337454259	26.3702694756786	NA	NA	NA	NA	NA	NA
