Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	21.7463872111858	21.2528798038409	22.1339776946694	22.7618946887949	21.0936998669824	20.6047889620298	NA	NA	NA	NA	NA	NA
AIPGENE10000	22.4785124274896	22.2067277363094	23.7342897520991	23.6359442586803	24.5130591177557	23.0490907221558	NA	NA	NA	NA	NA	NA
AIPGENE10018	23.819998509153	24.6019804319864	24.2916578864095	23.8284307128241	24.3778347196605	24.0440894208396	NA	NA	NA	NA	NA	NA
AIPGENE10043	21.8277447275384	22.5518977321709	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	23.3405350493486	22.3718403466409	22.6152575595391	NA	NA	NA	NA	NA	NA	24.2677411305094	NA
AIPGENE10117	24.3974448907739	24.5409576231246	24.7592749839828	23.9994506726697	24.9855947653306	23.1036730789672	NA	NA	NA	NA	NA	NA
AIPGENE10129	22.6075778044962	23.1087269483413	23.6967401556737	24.373460424042	24.6116187227799	NA	NA	NA	NA	NA	NA	NA
AIPGENE10135	19.9621564179312	NA	21.4332940995427	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	27.3984914967168	27.1626925300631	27.3216952260977	27.1523645840755	26.5588719089936	26.949321265879	25.8373586835445	25.8190722761403	25.5634144666863	25.5796502589658	26.338673680075	26.4053260068394
AIPGENE10179	NA	NA	NA	22.3337577286856	22.5822998645412	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	22.651162804433	22.5797908099028	21.4790138486048	23.0795342901368	23.1292886599141	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	24.1533625325652	23.8184805918589	24.0414248205956	23.9135692278743	24.0564905812447	23.0278199299407	NA	NA	NA	NA	NA	NA
AIPGENE10361	20.7408415464981	NA	21.9288458037849	22.3491709118686	22.3692651611628	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	22.8465391483535	NA	NA	21.9354691432913	NA	NA	24.953705461522	24.63620026211	25.8969619899129	NA	26.1190202179959	23.4603727334968
AIPGENE10412	25.6061596276644	26.04517313382	24.7868361500009	25.8515312098123	26.1911741174479	25.6717138844517	NA	NA	NA	NA	NA	NA
