Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	22.2316791118478	21.4965749965941	22.5130842044566	23.2396145524238	21.6435653584378	20.8938198055468	NA	NA	NA	NA	NA	NA
AIPGENE10000	22.9638043281516	22.4504229290626	24.1133962618863	24.1136641223091	25.0629246092109	23.3381215656728	NA	NA	NA	NA	NA	NA
AIPGENE10018	24.3052904098149	24.8456756247395	24.6707643961966	24.3061505764529	24.9277002111158	24.3331202643566	NA	NA	NA	NA	NA	NA
AIPGENE10043	22.3130366282005	22.795592924924	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	23.5842302421017	22.7509468564281	23.092977423168	NA	NA	NA	NA	NA	NA	23.2595634074447	NA
AIPGENE10117	24.8827367914358	24.7846528158777	25.13838149377	24.4771705362986	25.5354602567859	23.3927039224842	NA	NA	NA	NA	NA	NA
AIPGENE10129	23.0928697051581	23.3524221410945	24.0758466654609	24.8511802876709	25.1614842142351	NA	NA	NA	NA	NA	NA	NA
AIPGENE10135	20.4474483185937	NA	21.81240060933	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	27.8837833973787	27.4063877228162	27.7008017358848	27.6300844477043	27.1087374004488	27.238352109396	25.6676463804696	25.7575318265826	26.2914481200556	24.5630923250224	25.3304959570102	25.5085709613076
AIPGENE10179	NA	NA	NA	22.8114775923145	23.1321653559965	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	23.136454705095	22.8234860026559	21.8581203583921	23.5572541537657	23.6791541513694	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	24.6386544332271	24.0621757846121	24.4205313303827	24.3912890915031	24.6063560726999	23.3168507734577	NA	NA	NA	NA	NA	NA
AIPGENE10361	21.2261334471604	NA	22.3079523135721	22.8268907754975	22.9191306526181	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	23.3318310490154	NA	NA	22.4131890069203	NA	NA	24.7839931584471	24.5746598125523	26.6249956432822	NA	25.1108424949312	22.5636176879651
AIPGENE10412	26.0914515283263	26.2888683265731	25.1659426597881	26.3292510734411	26.7410396089031	25.9607447279687	NA	NA	NA	NA	NA	NA
AIPGENE10493	28.6307699237862	28.6081011545122	28.8227761000047	28.9041699722786	29.3271895423467	28.8178872230713	25.0144761729856	24.954337440214	26.4117257437597	24.0466073072895	25.0179274114316	23.5388937929408
AIPGENE10494	26.839206191346	26.7300336826561	26.4997225559984	26.8128586657327	25.8388114280521	26.3247321250189	NA	NA	25.6222809903976	NA	NA	NA
AIPGENE10504	27.8167854368185	27.4238235124622	27.748089637109	27.673752356611	28.0464840806208	27.6064847368723	28.3356157908937	27.5797103475667	29.1081335745025	27.333297596681	27.342863013957	27.0540879004758
AIPGENE10518	24.0075142689706	25.4466173924251	25.2412375061198	26.2818834878376	25.6688831452761	25.4162942309195	NA	NA	NA	NA	NA	NA
AIPGENE10519	25.0680585717673	24.9277427938502	24.3913894008083	23.8730697827708	23.8424385876734	23.8568211049854	23.1193917305018	24.8584970879761	24.201484871636	NA	23.096892701279	23.1547875211608
AIPGENE1052	20.5871091725368	19.9452812914067	20.4069216233175	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10527	25.9419436449144	24.3215254617192	24.7003737811319	24.7842448344691	26.5945733695086	NA	NA	NA	NA	NA	NA	NA
AIPGENE10529	23.2531333478568	22.1385577361019	22.9339758605133	23.3022729919871	22.9433500710438	22.3097093445487	NA	NA	NA	NA	NA	NA
AIPGENE10532	24.3371767943355	23.5703671642016	24.1173480746937	25.0536528268437	24.7998557926453	23.2104443889494	NA	NA	NA	NA	NA	NA
AIPGENE10535	25.0696546275152	26.2229032176491	25.7438034916222	26.2984797725431	25.8375414152216	25.4104134374873	NA	NA	NA	NA	NA	NA
AIPGENE10546	21.6893349538144	NA	NA	22.2509875123304	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10560	23.8485370793599	24.1482942538948	23.5207963383493	22.9763235796087	22.8874799223872	23.8670174733025	NA	NA	NA	NA	NA	NA
AIPGENE10564	24.9519634691214	23.8105853626451	24.4765021006839	25.4766679717984	25.029833486581	24.6782992482635	25.6081577944989	25.8753810568832	26.1538374288442	24.8483746074472	25.3622198228659	24.6247099076938
AIPGENE10586	26.1269374299166	26.2061059192907	26.1103496478249	26.1909727386512	25.4459472717897	25.4383898389186	NA	NA	NA	NA	NA	NA
AIPGENE10587	30.2285753489202	30.0254197618154	29.7575772955564	30.3831873394792	29.9208982635269	29.8590359482424	25.3724607202333	24.1756821792256	26.4017123326906	24.5159464196562	24.3643592515643	24.2946991270341
AIPGENE10606	28.054460905602	27.3912254931022	27.6207999551523	27.7010002197708	27.3250729104432	27.2741494833228	23.9716456381442	24.1546078428274	NA	22.8066307425101	22.771446247291	23.7979639486411
AIPGENE10618	30.8088421491226	30.9792538710175	30.565585228966	30.8197753494332	30.5791980673217	30.5020220318739	22.4427387784804	22.90967292918	25.2329042344037	NA	NA	NA
AIPGENE10619	23.477669220583	21.6760412103168	21.4527651769343	21.5551835695011	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10623	26.0438453382251	25.9607346545235	26.0329540822532	26.2050459667527	25.672038322356	26.130674559927	NA	NA	NA	NA	NA	NA
AIPGENE10649	22.1305353717495	22.4839793340625	23.2064741178691	NA	23.2953110031624	NA	NA	NA	NA	NA	NA	NA
AIPGENE10659	30.1568003040848	29.9817066358956	30.0310708200528	30.2832244574832	30.3063528122815	29.5593990239035	23.1960266332821	24.830139533604	25.5693701807707	NA	22.9025619779775	23.1371532932955
AIPGENE10679	22.9028365709477	NA	23.6127049731575	23.2422419837966	22.7643962172185	22.257028815151	NA	NA	NA	NA	NA	NA
