Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	21.8895551932692	20.8420568255745	22.0875527204084	22.9555244075347	21.292268387124	20.0720001636529	NA	NA	NA	NA	NA	NA
AIPGENE10000	22.621680409573	21.7959047580431	23.6878647778381	23.82957397742	24.7116276378971	22.5163019237789	NA	NA	NA	NA	NA	NA
AIPGENE10018	23.9631664912363	24.1911574537199	24.2452329121484	24.0220604315638	24.576403239802	23.5113006224628	NA	NA	NA	NA	NA	NA
AIPGENE10043	21.9709127096218	22.1410747539045	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	22.9297120710822	22.3254153723799	22.8088872782788	NA	NA	NA	NA	NA	NA	24.0970598877329	NA
AIPGENE10117	24.5406128728571	24.1301346448581	24.7128500097218	24.1930803914094	25.1841632854721	22.5708842805903	NA	NA	NA	NA	NA	NA
AIPGENE10129	22.7507457865795	22.6979039700749	23.6503151814127	24.5670901427817	24.8101872429213	NA	NA	NA	NA	NA	NA	NA
AIPGENE10135	20.1053244000151	NA	21.3868691252818	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	27.5416594788	26.7518695517967	27.2752702518366	27.3459943028152	26.757440429135	26.4165324675021	26.5023751401661	26.6559536198438	26.5629968345879	25.523324632584	26.1679924372985	26.3578587719659
AIPGENE10179	NA	NA	NA	22.5273874474254	22.7808683846827	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	22.7943307865164	22.1689678316364	21.4325888743439	23.2731640088765	23.3278571800556	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	24.2965305146485	23.4076576135925	23.9949998463345	24.107198946614	24.2550591013861	22.4950311315639	NA	NA	NA	NA	NA	NA
AIPGENE10361	20.8840095285818	NA	21.8824208295239	22.5428006306084	22.5678336813043	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	22.9897071304368	NA	NA	22.1290988620311	NA	NA	25.6187219181436	25.4730816058135	26.8965443578145	NA	25.9483389752195	23.4129054986233
AIPGENE10412	25.7493276097477	25.6343501555536	24.7404111757399	26.0451609285519	26.3897426375893	25.1389250860748	NA	NA	NA	NA	NA	NA
AIPGENE10493	28.2886460052076	27.9535829834927	28.3972446159565	28.6200798273895	28.9758925710329	27.9960675811774	25.849204932682	25.8527592334752	26.6832744582919	25.0068396148512	25.8554238917199	24.388181603599
AIPGENE10494	26.4970822727674	26.0755155116365	26.0741910719502	26.5287685208436	25.4875144567383	25.502912483125	NA	NA	25.8938297049299	NA	NA	NA
AIPGENE10504	27.4746615182399	26.7693053414426	27.3225581530608	27.3896622117219	27.695187109307	26.7846650949784	29.1703445505902	28.4781321408279	29.3796822890348	28.2935299042427	28.1803594942453	27.9033757111341
AIPGENE10518	23.665390350392	24.7920992214056	24.8157060220716	25.9977933429485	25.3175861739624	24.5944745890256	NA	NA	NA	NA	NA	NA
AIPGENE10519	24.7259346531887	24.2732246228307	23.9658579167601	23.5889796378816	23.4911416163596	23.0350014630915	23.9541204901982	25.7569188812373	24.4730335861683	NA	23.9343891815672	24.0040753318191
AIPGENE1052	20.2449852539582	19.2907631203871	19.9813901392693	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10527	25.5998197263358	23.6670072906997	24.2748422970837	24.5001546895799	26.2432763981948	NA	NA	NA	NA	NA	NA	NA
AIPGENE10529	22.9110094292782	21.4840395650823	22.5084443764651	23.0181828470979	22.59205309973	21.4878897026548	NA	NA	NA	NA	NA	NA
AIPGENE10532	23.9950528757569	22.915848993182	23.6918165906455	24.7695626819545	24.4485588213315	22.3886247470555	NA	NA	NA	NA	NA	NA
AIPGENE10535	24.7275307089366	25.5683850466296	25.318272007574	26.0143896276539	25.4862444439078	24.5885937955934	NA	NA	NA	NA	NA	NA
AIPGENE10546	21.3472110352358	NA	NA	21.9668973674413	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10560	23.5064131607813	23.4937760828753	23.0952648543011	22.6922334347196	22.5361829510734	23.0451978314086	NA	NA	NA	NA	NA	NA
AIPGENE10564	24.6098395505428	23.1560671916256	24.0509706166357	25.1925778269093	24.6785365152672	23.8564796063696	26.4428865541954	26.7738028501444	26.4253861433764	25.8086069150088	26.1997163031542	25.4739977183521
AIPGENE10586	25.784813511338	25.5515877482712	25.6848181637767	25.9068825937621	25.0946503004759	24.6165701970247	NA	NA	NA	NA	NA	NA
AIPGENE10587	29.8864514303416	29.3709015907959	29.3320458115082	30.09909719459	29.5696012922131	29.0372163063485	26.2071894799297	25.0741039724868	26.6732610472229	25.4761787272178	25.2018557318526	25.1439869376924
AIPGENE10606	27.7123369870234	26.7367073220827	27.1952684711041	27.4169100748816	26.9737759391294	26.4523298414289	24.8063743978407	25.0530296360886	NA	23.7668630500717	23.6089427275793	24.6472517592993
AIPGENE10618	30.4667182305439	30.3247356999979	30.1400537449178	30.535685204544	30.2279010960079	29.68020238998	23.2774675381769	23.8080947224413	25.504452948936	NA	NA	NA
AIPGENE10619	23.1355453020043	21.0215230392973	21.0272336928861	21.2710934246119	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10623	25.7017214196465	25.306216483504	25.607422598205	25.9209558218635	25.3207413510422	25.3088549180331	NA	NA	NA	NA	NA	NA
AIPGENE10649	21.7884114531709	21.829461163043	22.7809426338209	NA	22.9440140318486	NA	NA	NA	NA	NA	NA	NA
AIPGENE10659	29.8146763855062	29.327188464876	29.6055393360046	29.999134312594	29.9550558409677	28.7375793820096	24.0307553929785	25.7285613268652	25.840918895303	NA	23.7400584582658	23.9864411039537
AIPGENE10679	22.5607126523691	NA	23.1871734891093	22.9581518389074	22.4130992459047	21.4352091732571	NA	NA	NA	NA	NA	NA
AIPGENE10708	NA	NA	NA	22.3667342717119	22.7901884232066	22.0402108495083	NA	23.9009274670877	NA	NA	NA	NA
AIPGENE10716	25.2413919416132	24.5871109696704	24.4277143846812	23.9919771654535	23.2568350985266	NA	24.4892639473886	26.3955911939123	26.5052646343726	23.6133403280807	24.6237085668089	25.5191043206349
AIPGENE10764	26.121910734892	25.8276984461077	26.1250657172881	26.6112784127158	27.9171023919198	25.4492815737474	24.682371873671	NA	24.6207781016134	NA	NA	NA
AIPGENE10773	24.3290710408317	23.9071510822463	23.9287061930441	22.6925120842573	23.9589753366098	22.1542976254667	NA	NA	NA	NA	NA	NA
AIPGENE1080	25.7984422087119	25.1531392122442	26.0419222002762	26.0580294318776	26.1031987540625	25.1237798453868	24.1033946814546	23.719034926747	24.090961666841	NA	24.3359427799245	24.7112472399279
AIPGENE10885	24.4817049052424	24.03458095316	23.4889143273006	24.150590889402	NA	23.2251672705936	NA	NA	NA	NA	NA	NA
AIPGENE10893	NA	NA	NA	NA	NA	NA	28.1424803120517	27.616220986291	27.9409218136903	26.984078011981	27.102473325808	27.4350879676278
AIPGENE10895	NA	NA	NA	NA	22.4524115401349	NA	NA	NA	NA	NA	NA	NA
AIPGENE10899	24.9190393069532	23.4741118323616	23.4677101384593	23.6687074351474	22.5915294516644	21.5372788069795	NA	NA	NA	NA	NA	NA
AIPGENE10905	24.960937858785	25.4074943587437	25.7632815942825	26.6146598538167	26.3839559665534	25.8097741996414	28.2429235929393	28.0469020993515	28.0887176126005	28.1322643533304	27.3201601941686	27.5667316323374
AIPGENE10921	NA	21.7343962089952	22.3219498890891	22.6109441326643	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE1093	23.9426976405743	23.5697458776783	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10935	22.615079639698	NA	23.4589183617124	21.3233539586782	22.2968604565831	NA	NA	NA	NA	NA	NA	NA
AIPGENE10940	21.0008845640445	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10966	25.066222020611	25.0553457230719	25.3399642520755	25.6004864887534	25.1519797125467	24.3481986093499	NA	NA	NA	NA	NA	NA
AIPGENE10967	21.7506886992239	NA	22.0084473818518	22.4738612528605	22.5919965756429	NA	NA	NA	NA	NA	NA	NA
AIPGENE10977	NA	NA	NA	22.4095381405316	22.24226614792	NA	NA	NA	NA	NA	NA	NA
AIPGENE10991	24.4316602106013	24.0368711676544	24.1928055086598	24.3244596682368	24.0546401451789	22.65320645396	NA	NA	NA	NA	NA	NA
AIPGENE11011	NA	NA	22.5497898934662	NA	21.8300718803298	NA	NA	NA	NA	NA	NA	NA
AIPGENE11057	24.8386190249204	24.0140755745457	25.1185469389126	24.4871421888154	24.8956807404861	24.3761001207429	24.8075036825971	24.9933345121182	26.0640167328058	24.984992895745	24.5167591102182	NA
AIPGENE11091	24.1346704831462	22.8263209556029	24.9077764870593	24.7923177319744	25.5509887051085	22.7868162318531	NA	NA	NA	NA	NA	NA
AIPGENE11099	NA	NA	NA	22.0658644522167	21.7990617535551	NA	NA	NA	25.3542354092651	NA	21.6241402986402	NA
AIPGENE11123	27.2167763467655	26.7116671510496	27.3446529908317	26.8626084131003	27.2276313565806	26.4759312371918	29.4675421792203	29.2045740389017	29.0073690345207	29.2602985381452	28.9732209509285	29.1728937553449
AIPGENE11167	27.1911864438481	26.8685744802223	27.1990804887479	27.5583498815046	27.1068587850683	25.5547848360786	NA	NA	24.8590921992546	NA	NA	NA
AIPGENE11186	24.1855599663789	23.7096291777659	24.0895846905944	24.4011437134974	24.2006646978347	23.1345735324497	NA	NA	NA	NA	NA	NA
AIPGENE11193	23.3966976531035	23.2550709898988	24.1474238079909	23.219442046187	23.9514087417451	NA	NA	NA	NA	NA	NA	NA
AIPGENE11223	20.9940287429262	NA	NA	NA	20.5023732127734	NA	NA	NA	NA	NA	NA	NA
AIPGENE11225	24.7224876208134	23.7352663622269	23.6847518857772	25.3601016059235	25.5650402032593	23.5539953677451	NA	24.9382245784721	24.2790422815601	NA	NA	23.4318936010729
AIPGENE11237	24.4739263309595	21.1708477984989	24.1735330108923	23.9993335701057	NA	NA	NA	22.7197655740113	NA	NA	NA	NA
