Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	22.3812814262698	21.5355789572713	22.5027961526432	23.3327892260895	21.6950313338452	20.5736878230805	NA	NA	NA	NA	NA	NA
AIPGENE10000	23.1134066425736	22.4894268897398	24.1031082100729	24.2068387959748	25.1143905846183	23.0179895832065	NA	NA	NA	NA	NA	NA
AIPGENE10018	24.4548927242369	24.8846795854167	24.6604763443832	24.3993252501186	24.9791661865232	24.0129882818903	NA	NA	NA	NA	NA	NA
AIPGENE10043	22.4626389426225	22.8345968856012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	23.6232342027789	22.7406588046147	23.1861520968336	NA	NA	NA	NA	NA	NA	23.6421464533058	NA
AIPGENE10117	25.0323391058578	24.8236567765549	25.1280934419566	24.5703452099642	25.5869262321933	23.0725719400179	NA	NA	NA	NA	NA	NA
AIPGENE10129	23.2424720195802	23.3914261017717	24.0655586136475	24.9443549613365	25.2129501896426	NA	NA	NA	NA	NA	NA	NA
AIPGENE10135	20.5970506330157	NA	21.8021125575166	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	28.0333857118007	27.4453916834934	27.6905136840714	27.72325912137	27.1602033758563	26.9182201269297	25.7469417428359	25.6702352576665	25.5738840868928	24.9308995599167	25.7130790028714	25.8822026323409
AIPGENE10179	NA	NA	NA	22.9046522659802	23.1836313314039	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	23.286057019517	22.8624899633331	21.8478323065787	23.6504288274313	23.7306201267768	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	24.7882567476491	24.1011797452893	24.4102432785693	24.4844637651688	24.6578220481073	22.9967187909914	NA	NA	NA	NA	NA	NA
AIPGENE10361	21.3757357615824	NA	22.2976642617587	22.9200654491632	22.9705966280255	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	23.4814333634374	NA	NA	22.5063636805859	NA	NA	24.8632885208133	24.4873632436362	25.9074316101194	NA	25.4934255407924	22.9372493589984
AIPGENE10412	26.2410538427483	26.3278722872503	25.1556546079747	26.4224257471068	26.7925055843105	25.6406127455024	NA	NA	NA	NA	NA	NA
AIPGENE10493	28.7803722382082	28.6471051151894	28.8124880481913	28.9973446459443	29.3786555177541	28.497755240605	25.0937715353518	24.8670408712979	25.6941617105968	24.4144145421839	25.4005104572928	23.912525463974
AIPGENE10494	26.988808505768	26.7690376433333	26.489434504185	26.9060333393984	25.8902774034595	26.0046001425526	NA	NA	24.9047169572348	NA	NA	NA
AIPGENE10504	27.9663877512405	27.4628274731394	27.7378015852956	27.7669270302767	28.0979500560282	27.286352754406	28.41491115326	27.4924137786506	28.3905695413397	27.7011048315754	27.7254460598182	27.4277195715091
AIPGENE10518	24.1571165833927	25.4856213531023	25.2309494543064	26.3750581615033	25.7203491206836	25.0961622484532	NA	NA	NA	NA	NA	NA
AIPGENE10519	25.2176608861893	24.9667467545274	24.3811013489949	23.9662444564364	23.8939045630809	23.5366891225191	23.198687092868	24.77120051906	23.4839208384732	NA	23.4794757471401	23.5284191921941
AIPGENE1052	20.7367114869588	19.9842852520839	20.3966335715041	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10527	26.0915459593365	24.3605294223964	24.6900857293185	24.8774195081347	26.646039344916	NA	NA	NA	NA	NA	NA	NA
AIPGENE10529	23.4027356622788	22.1775616967791	22.9236878086999	23.3954476656527	22.9948160464512	21.9895773620824	NA	NA	NA	NA	NA	NA
AIPGENE10532	24.4867791087576	23.6093711248788	24.1070600228803	25.1468275005093	24.8513217680527	22.8903124064831	NA	NA	NA	NA	NA	NA
AIPGENE10535	25.2192569419372	26.2619071783263	25.7335154398088	26.3916544462088	25.889007390629	25.090281455021	NA	NA	NA	NA	NA	NA
AIPGENE10546	21.8389372682365	NA	NA	22.3441621859961	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10560	23.9981393937819	24.187298214572	23.5105082865359	23.0694982532744	22.9389458977946	23.5468854908362	NA	NA	NA	NA	NA	NA
AIPGENE10564	25.1015657835434	23.8495893233223	24.4662140488705	25.5698426454641	25.0812994619885	24.3581672657972	25.6874531568652	25.7880844879672	25.4362733956814	25.2161818423415	25.7448028687271	24.9983415787271
AIPGENE10586	26.2765397443386	26.2451098799679	26.1000615960114	26.2841474123169	25.4974132471972	25.1182578564523	NA	NA	NA	NA	NA	NA
AIPGENE10587	30.3781776633422	30.0644237224926	29.747289243743	30.4763620131448	29.9723642389343	29.5389039657761	25.4517560825995	24.0883856103095	25.6841482995278	24.8837536545505	24.7469422974255	24.6683307980674
AIPGENE10606	28.204063220024	27.4302294537794	27.6105119033389	27.7941748934364	27.3765388858506	26.9540175008565	24.0509410005105	24.0673112739114	NA	23.1744379774045	23.1540292931522	24.1715956196743
AIPGENE10618	30.9584444635446	31.0182578316947	30.5552971771526	30.9129500230988	30.6306640427291	30.1818900494076	22.5220341408466	22.822376360264	24.5153402012409	NA	NA	NA
AIPGENE10619	23.627271535005	21.715045170994	21.4424771251209	21.6483582431667	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10623	26.1934476526471	25.9997386152007	26.0226660304398	26.2982206404183	25.7235042977635	25.8105425774607	NA	NA	NA	NA	NA	NA
AIPGENE10649	22.2801376861716	22.5229832947397	23.1961860660557	NA	23.3467769785698	NA	NA	NA	NA	NA	NA	NA
AIPGENE10659	30.3064026185068	30.0207105965728	30.0207827682394	30.3763991311488	30.3578187876889	29.2392670414372	23.2753219956483	24.742842964688	24.8518061476079	NA	23.2851450238387	23.5107849643287
AIPGENE10679	23.0524388853698	NA	23.6024169213441	23.3354166574622	22.8158621926259	21.9368968326847	NA	NA	NA	NA	NA	NA
AIPGENE10708	NA	NA	NA	22.7439990902667	23.1929513699279	22.5418985089359	NA	22.9152091049105	NA	NA	NA	NA
AIPGENE10716	25.7331181746138	25.2806331013671	24.842957816916	24.3692419840083	23.6595980452478	NA	23.7338305500583	25.409872831735	25.5161518866775	23.0209152554134	24.1687951323818	25.0434481810099
AIPGENE10764	26.6136369678926	26.5212205778045	26.5403091495229	26.9885432312707	28.319865338641	25.950969233175	23.9269384763408	NA	23.6316653539183	NA	NA	NA
AIPGENE10773	24.8207972738323	24.6006732139431	24.3439496252788	23.0697769028121	24.361738283331	22.6559852848943	NA	NA	NA	NA	NA	NA
AIPGENE1080	26.2901684417125	25.846661343941	26.457165632511	26.4352942504324	26.5059617007837	25.6254675048143	23.3479612841244	22.7333165645697	23.101848919146	NA	23.8810293454974	24.2355911003029
AIPGENE10885	24.9734311382431	24.7281030848568	23.9041577595353	24.5278557079568	NA	23.7268549300212	NA	NA	NA	NA	NA	NA
AIPGENE10893	NA	NA	NA	NA	NA	NA	27.3870469147215	26.6305026241137	26.9518090659952	26.3916529393137	26.6475598913809	26.9594318280028
