Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	4924955	2958788.2	5985682	9904238	3276139.5	1948347.8	NA	NA	NA	NA	NA	NA
AIPGENE10000	8180765	5731268	18149120	18152490	35050328	10604120	NA	NA	NA	NA	NA	NA
AIPGENE10018	20731058	30150438	26707922	20743422	31914312	21134846	NA	NA	NA	NA	NA	NA
AIPGENE10043	5210667	7280433.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	12576527	7058581.5	8947030	NA	NA	NA	NA	NA	NA	10042140	NA
AIPGENE10117	30935002	28901736	36932344	23354068	48633944	11012998	NA	NA	NA	NA	NA	NA
AIPGENE10129	8946362	10709755	17682840	30265698	37528524	NA	NA	NA	NA	NA	NA	NA
AIPGENE10135	1429865.8	NA	3682874	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	247659616	177887232	218158544	207722816	144724848	158329200	53300524	56726984	82132400	24787206	42192872	47735888
AIPGENE10179	NA	NA	NA	7361037	9193389	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	9220763	7422563	3801455.2	12343551	13431845	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	26120052	17516070	22454968	22004406	25541786	10448922	NA	NA	NA	NA	NA	NA
AIPGENE10361	2453030	NA	5192336	7440101	7931326	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	10557984	NA	NA	5585244.5	NA	NA	28888524	24986748	103495704	NA	36234044	6199058.5
AIPGENE10412	71500576	81985664	37644680	84312960	112164400	65307472	NA	NA	NA	NA	NA	NA
AIPGENE10493	415643072	409163200	474810336	502368224	673540540	473204064	33892816	32509036	89273320	17328066	33973992	12187457
AIPGENE10494	120062152	111311984	94888016	117889392	60014652	84049280	NA	NA	51650572	NA	NA	NA
AIPGENE10504	236421408	180050144	225427712	214106352	277225376	204352512	338742976	200594992	578657150	169099552	170224448	139345184
AIPGENE10518	16864828	45729360	39661544	81589688	53346236	44778232	NA	NA	NA	NA	NA	NA
AIPGENE10519	35175280	31915254	22005936	15364205	15041432	15192133	9112350	30419584	19291806	NA	8971344	9338682
AIPGENE1052	1575206.1	1009550.25	1390258.4	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10527	64461912	20965668	27261730	28893564	101336128	NA	NA	NA	NA	NA	NA	NA
AIPGENE10529	9997482	4617107	8013360	10343872	8065598	5198663.5	NA	NA	NA	NA	NA	NA
AIPGENE10532	21194356	12456256	18198902	34825792	29207910	9705993	NA	NA	NA	NA	NA	NA
AIPGENE10535	35214216	78321400	56189744	82533688	59961844	44596076	NA	NA	NA	NA	NA	NA
