Protein.ID	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity
AIPGENE10	0	0	0	0	0	0	4924955	2963753.2	5977659.5	10420317.5	3283981.5	1992025
AIPGENE10000	0	0	0	0	0	0	8180765	13375303	17944409	18790450.5	34609084	10685476
AIPGENE1001	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE10018	0	0	0	0	0	0	20731058	30269348	27849330	20839986	32230178	21365362
AIPGENE10063	0	0	0	0	10258674	0	0	12678680	7049121.5	9189972	0	0
AIPGENE10108	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE10117	0	0	0	0	0	0	30935001.5	28339018.5	34795880.5	23710032.5	49114983	10671065
AIPGENE10129	0	0	0	0	0	0	8946362	10740820	12021071	30583569	37691634.5	0
AIPGENE10134	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE10135	0	0	0	0	0	0	1429865.8	0	0	0	0	0
AIPGENE10143	48455147	41144956	103860867	26420458	39507015	50755455	247659626.5	178470529	217470696.2	213244806	145433228	158926978
AIPGENE10146	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE10178	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE10179	0	0	0	0	0	0	0	0	0	7560914	9217439	0
AIPGENE10188	0	0	0	0	0	0	9220762.9	7224119	3809195	12986736.5	13497807.5	0
AIPGENE10210	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE10274	0	0	0	0	0	0	16248478	17623668	16650093	22755757	0	10529088
AIPGENE10288	0	0	0	0	0	0	0	0	4569042	0	0	0
AIPGENE10361	0	0	0	0	0	0	2453030	0	5202908	7827782	7950311	0
AIPGENE10389	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE1040	31177795	22512788	106247776	0	27393441.2	7208669	0	0	0	5876275	0	9934222
AIPGENE10412	0	0	0	0	0	0	71500571.1	82407747	37483241	90114631.7	118645379.3	65884670
AIPGENE10493	16418332	25191967	82812848	15137396	21465803	0	329625494	352382534	388922002	427612660	579138950	391291876
AIPGENE10494	3908597	11086382	49903848	0	0	0	116672911	107729668.3	94557556	119023341.5	69543413	84842384
AIPGENE10504	326892552	236253340	471305442	169009656	162012131	173206554	207192050.5	164086846	204983628	200086408.8	258861541.7	186708788.3
AIPGENE10511	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE10518	0	0	0	0	0	0	16864827	45981153.5	39465137.5	83386510.5	53716381	45396100
AIPGENE10519	20032168.5	16001048	21965700	0	9164789	10859627	35175281	23008502	21997684.5	15781949	15080102	15266156
AIPGENE1052	0	0	0	0	0	0	1575206.1	1011244.25	1393089	0	0	0
AIPGENE10527	0	0	0	0	0	0	64461908.2	18977666	32904426.5	29496755	116533238	0
AIPGENE10529	0	0	0	0	0	0	1252730.5	4624854.5	8367369	10882860.1	8084904.7	5315205
AIPGENE10532	0	0	0	0	0	0	21194357	12557433	18389375.8	35442375	29496990	9780459
AIPGENE10535	0	0	0	0	0	0	35214213	78697560.5	56546289.9	83518000	60127788	45065700.5
AIPGENE10541	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE10546	0	0	0	0	0	0	3381741.5	0	0	5251394	0	0
AIPGENE10560	0	0	0	0	0	0	15105149	18413076	12072144	8476135	7814131	15374434
AIPGENE10564	61970445	61188852	95845136	35471057	32779677	25868802	32455585.5	14862950	23354940	41668228	35107273	27287020
AIPGENE10584	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE10586	0	0	0	0	0	0	61324282.5	77805878.5	72516229.5	81631847.7	46157233.5	46166429.5
AIPGENE10587	35409684	28789288	56828304	11076397	9631075	9841282	832749782	649585384.5	639137724.5	851160490	599308919.5	515059487
AIPGENE10606	15981808	16215603	0	8783578	7313972	16960174	289437961.3	195361049.7	221312185.3	240633141	187375604	162971044.5
AIPGENE10618	0	0	36453472	0	0	0	2201369974	2467863535.3	1753236398	2392922784.8	1974335237.5	2502936847
AIPGENE10619	0	0	0	0	0	0	15060642.1	6290260.2	7355627	3242027.8	5723663.5	0
AIPGENE10623	0	0	0	0	0	0	69179690	65564586	68691828	77796720	55717546	74295496
AIPGENE1063	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE10649	0	0	0	0	0	0	4591504	5875980.5	9699026.7	0	10321005	0
AIPGENE10659	8657696	29694909	67896504	0	3754067.5	10727697	1164219789.2	1060077305	1100512198	1303433551.5	1313305685	795169138.5
AIPGENE10679	0	0	0	0	0	0	7842252	0	12624205	10030568	7175114.5	5124619
AIPGENE10686	0	15516328	0	0	1808832.5	0	0	0	0	0	0	0
AIPGENE10708	0	0	0	0	0	0	0	0	0	6928472.5	9277178	7794446
AIPGENE10716	36122752	42032118	46050320	22943801	21550371	28744263	50281206	39678493.8	33805733	24846397.5	12819497	0
AIPGENE10752	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE10764	6105916	0	19657464	0	0	0	92569564	94898286.5	98366378	142708316.5	312387987	81806008
AIPGENE10773	0	0	0	0	0	0	26715893.3	26138394.5	21455738.5	8683731.3	20854991	8435848
AIPGENE10795	0	0	0	0	0	0	0	0	0	0	0	0
