GO.ID	Term	Annotated	Significant	Expected	P_value
GO:0006412	translation	516	105	28.64	2.4e-18
GO:0006099	tricarboxylic acid cycle	46	19	2.55	1.2e-12
GO:0006457	protein folding	138	32	7.66	2.0e-09
GO:0006096	glycolytic process	39	13	2.16	3.8e-09
GO:0006886	intracellular protein transport	537	66	29.8	2.1e-08
GO:0002474	antigen processing and presentation of peptide antigen via MHC class I	21	11	1.17	5.1e-08
GO:0006007	glucose catabolic process	23	10	1.28	1.6e-07
GO:0006098	pentose-phosphate shunt	16	9	0.89	4.3e-07
GO:0071346	cellular response to type II interferon	26	8	1.44	2.0e-06
GO:0007339	binding of sperm to zona pellucida	13	7	0.72	2.0e-06
GO:0046039	GTP metabolic process	212	31	11.77	2.2e-06
GO:0006414	translational elongation	49	15	2.72	2.8e-06
GO:0045454	cell redox homeostasis	75	16	4.16	2.8e-06
GO:0051693	actin filament capping	40	13	2.22	5.9e-06
GO:1901069	guanosine-containing compound catabolic process	203	28	11.27	8.0e-06
GO:0019538	protein metabolic process	5231	345	290.31	9.3e-06
GO:0006094	gluconeogenesis	35	9	1.94	9.3e-06
GO:0017148	negative regulation of translation	138	15	7.66	2.0e-05
GO:0051258	protein polymerization	168	36	9.32	2.1e-05
GO:0006450	regulation of translational fidelity	8	5	0.44	2.5e-05
GO:0006105	succinate metabolic process	8	5	0.44	2.5e-05
GO:0006107	oxaloacetate metabolic process	8	5	0.44	2.5e-05
GO:0034641	cellular nitrogen compound metabolic process	7927	403	439.94	3.2e-05
GO:0006166	purine ribonucleoside salvage	6	5	0.33	4.5e-05
GO:0006002	fructose 6-phosphate metabolic process	5	4	0.28	4.5e-05
GO:0006413	translational initiation	95	21	5.27	5.8e-05
GO:0008152	metabolic process	13948	834	774.1	0.00012
GO:0007294	germarium-derived oocyte fate determination	6	4	0.33	0.00013
GO:0044403	biological process involved in symbiotic interaction	349	27	19.37	0.00017
GO:0009165	nucleotide biosynthetic process	327	35	18.15	0.00017
GO:0009168	purine ribonucleoside monophosphate biosynthetic process	52	12	2.89	0.00022
GO:0006897	endocytosis	566	46	31.41	0.00022
GO:0006936	muscle contraction	143	14	7.94	0.00022
GO:0010830	regulation of myotube differentiation	23	5	1.28	0.00029
GO:0030043	actin filament fragmentation	7	4	0.39	0.00029
GO:0007017	microtubule-based process	655	48	36.35	0.00029
GO:0065007	biological regulation	8643	412	479.68	0.00035
GO:0006415	translational termination	13	5	0.72	0.00046
