GO.ID	Term	Annotated	Significant	Expected	P_value
GO:0005737	cytoplasm	9367	807	544.42	< 1e-30
GO:0005829	cytosol	1499	173	87.12	7.2e-14
GO:0005840	ribosome	216	55	12.55	3.4e-13
GO:0070062	extracellular exosome	604	79	35.11	8.7e-12
GO:0005759	mitochondrial matrix	205	44	11.91	9.7e-12
GO:0005743	mitochondrial inner membrane	313	57	18.19	4.6e-11
GO:0002199	zona pellucida receptor complex	7	7	0.41	2.2e-09
GO:0005832	chaperonin-containing T-complex	7	7	0.41	2.2e-09
GO:0032991	protein-containing complex	4079	334	237.08	3.9e-08
GO:0005739	mitochondrion	1348	175	78.35	7.5e-08
GO:0022625	cytosolic large ribosomal subunit	16	8	0.93	1.1e-06
GO:0005912	adherens junction	187	27	10.87	1.1e-05
GO:0005885	Arp2/3 protein complex	4	4	0.23	1.1e-05
GO:0005839	proteasome core complex	17	10	0.99	3.1e-05
GO:0015629	actin cytoskeleton	369	57	21.45	4.2e-05
GO:0042470	melanosome	82	15	4.77	6.7e-05
GO:0019773	proteasome core complex, alpha-subunit complex	9	5	0.52	6.8e-05
GO:0030126	COPI vesicle coat	9	5	0.52	6.8e-05
GO:0043186	P granule	19	5	1.1	0.00015
GO:0030127	COPII vesicle coat	6	4	0.35	0.00015
GO:0097452	GAIT complex	3	3	0.17	0.00020
GO:0030018	Z disc	90	15	5.23	0.00020
GO:0005811	lipid droplet	30	8	1.74	0.00024
GO:0005856	cytoskeleton	1856	155	107.87	0.00032
GO:0010494	cytoplasmic stress granule	12	5	0.7	0.00037
GO:0030131	clathrin adaptor complex	38	9	2.21	0.00038
GO:0005852	eukaryotic translation initiation factor 3 complex	18	6	1.05	0.00039
GO:0005793	endoplasmic reticulum-Golgi intermediate compartment	45	13	2.62	0.00041
GO:0030016	myofibril	140	30	8.14	0.00061
GO:0045169	fusome	8	4	0.46	0.00066
GO:0033116	endoplasmic reticulum-Golgi intermediate compartment membrane	20	6	1.16	0.00073
GO:0005916	fascia adherens	4	3	0.23	0.00075
GO:0005845	mRNA cap binding complex	14	5	0.81	0.00085
GO:0044297	cell body	324	26	18.83	0.00110
GO:0030665	clathrin-coated vesicle membrane	36	10	2.09	0.00119
GO:0005844	polysome	22	6	1.28	0.00127
GO:0005747	mitochondrial respiratory chain complex I	23	6	1.34	0.00163
GO:0008287	protein serine/threonine phosphatase complex	40	8	2.32	0.00166
GO:0005788	endoplasmic reticulum lumen	153	19	8.89	0.00174
GO:0033290	eukaryotic 48S preinitiation complex	17	5	0.99	0.00226
GO:0016282	eukaryotic 43S preinitiation complex	17	5	0.99	0.00226
GO:0005790	smooth endoplasmic reticulum	14	5	0.81	0.00268
GO:0033391	chromatoid body	11	4	0.64	0.00269
GO:0071013	catalytic step 2 spliceosome	53	9	3.08	0.00321
GO:0017101	aminoacyl-tRNA synthetase multienzyme complex	2	2	0.12	0.00338
GO:0005853	eukaryotic translation elongation factor 1 complex	2	2	0.12	0.00338
GO:0008290	F-actin capping protein complex	6	3	0.35	0.00343
GO:0022627	cytosolic small ribosomal subunit	19	5	1.1	0.00385
GO:0031105	septin complex	7	3	0.41	0.00574
GO:0005758	mitochondrial intermembrane space	49	8	2.85	0.00682
GO:0022624	proteasome accessory complex	26	8	1.51	0.00702
GO:0008091	spectrin	8	3	0.46	0.00879
GO:0015934	large ribosomal subunit	39	13	2.27	0.00894
GO:0005881	cytoplasmic microtubule	34	7	1.98	0.00933
GO:0016528	sarcoplasm	46	7	2.67	0.00969
GO:0005925	focal adhesion	120	14	6.97	0.00985
GO:0042151	nematocyst	74	10	4.3	0.01026
GO:0005777	peroxisome	133	14	7.73	0.01224
GO:0001725	stress fiber	9	3	0.52	0.01262
GO:0002102	podosome	9	3	0.52	0.01262
GO:0016281	eukaryotic translation initiation factor 4F complex	9	3	0.52	0.01262
GO:0005869	dynactin complex	9	3	0.52	0.01262
GO:0030904	retromer complex	9	3	0.52	0.01262
GO:0005905	clathrin-coated pit	74	11	4.3	0.01359
GO:0005774	vacuolar membrane	326	19	18.95	0.01544
GO:0031430	M band	36	6	2.09	0.01655
GO:0005838	proteasome regulatory particle	12	4	0.7	0.01722
GO:0031527	filopodium membrane	10	3	0.58	0.01726
GO:0005703	polytene chromosome puff	4	2	0.23	0.01872
GO:0071141	SMAD protein complex	4	2	0.23	0.01872
GO:0042645	mitochondrial nucleoid	28	5	1.63	0.02113
GO:0031594	neuromuscular junction	39	6	2.27	0.02394
GO:0043204	perikaryon	61	8	3.55	0.02425
