Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	21.4811467464038	20.6635917999377	21.7677799473383	22.6640334763642	20.9281841568415	20.2220931948506	NA	NA	NA	NA	NA	NA
AIPGENE10000	22.2132719627076	22.8376661536755	23.3536617305029	23.5146338958452	24.3258170100184	22.6454367127018	NA	NA	NA	NA	NA	NA
AIPGENE10018	23.5547580443709	24.0159521793544	23.9877699413823	23.6639885485748	24.2230784079753	23.6450592975918	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	22.7604991311622	22.0056426990948	22.4827666111711	NA	NA	NA	NA	NA	NA	25.7654480440819	NA
AIPGENE10117	24.1322044026736	23.9208843719154	24.3090438366658	23.8501318805031	24.8308294516181	22.6434897043927	NA	NA	NA	NA	NA	NA
AIPGENE10129	22.3423373397141	22.5211987184411	22.7756927584104	24.2173910143385	24.4489106107928	NA	NA	NA	NA	NA	NA	NA
AIPGENE10135	19.6969159531497	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	27.1332510931004	26.5757085346932	26.952876430084	27.0190729373007	26.3969512748528	26.540077675499	27.6146195018297	26.5694678933548	27.8407445805413	27.4552716994962	27.7107126246318	27.9223346682846
AIPGENE10179	NA	NA	NA	22.2012667902229	22.4171041207425	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	22.3859223240048	21.9489881424827	21.1176853710305	22.9816731746364	22.967391335763	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	23.2032688855432	23.2356088019027	23.2456575573698	23.7908658203803	NA	22.62416601592	NA	NA	NA	NA	NA	NA
AIPGENE10288	NA	NA	21.3800909312032	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10361	20.4756010817164	NA	21.5675174241136	22.2513097234068	22.2037494537865	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	NA	NA	NA	21.8376080584801	NA	22.5402644284786	26.978488481505	25.6994970455067	27.8735250495395	NA	27.1824342894264	25.1065765940558
AIPGENE10412	25.3409190640131	25.4608745483002	24.4163730232615	25.7763956121853	26.1032502619542	25.2697283553175	NA	NA	NA	NA	NA	NA
AIPGENE10493	27.5457202218708	27.557165092506	27.7915362695569	28.0228669014831	28.3905038753343	27.8399587885428	26.0532771479291	25.8617160859914	27.5140189238945	26.6517332715602	26.8306439213742	NA
AIPGENE10494	26.0473620300855	25.8474382910896	25.7513200689025	26.1778068612	25.3325801241959	25.6345706962946	23.9826923289953	24.6775409373362	26.7833153754592	NA	NA	NA
AIPGENE10504	26.8758610447284	26.4544822643418	26.8675641032639	26.9271855081538	27.2287749909514	26.7725034673996	30.368714183825	29.0910151335236	30.0227547465056	30.1326499925023	29.7466337156318	29.693193398803
AIPGENE10518	23.256981817982	24.6191372379062	24.4907060975089	25.6644482567976	24.9600283621292	24.7323538965731	NA	NA	NA	NA	NA	NA
AIPGENE10519	24.3175262473377	23.620261637407	23.6474789939047	23.2629096228677	23.1273124387323	23.1601223752929	26.3402881847967	25.2069187117933	25.5994167876475	NA	25.6027773499959	25.6977463335339
AIPGENE1052	19.8365768070928	19.112297983956	19.6664866569666	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10527	25.1914111944242	23.3423971504278	24.2284089987698	24.1651904894307	26.0773358506441	NA	NA	NA	NA	NA	NA	NA
AIPGENE10529	19.5061122848348	21.3055744630433	22.2529732860857	22.7266919979993	22.2279689251659	21.6379827769989	NA	NA	NA	NA	NA	NA
AIPGENE10532	23.5866444969613	22.7466361569738	23.3889998322435	24.4301095225291	24.0952339950416	22.5177596143415	NA	NA	NA	NA	NA	NA
AIPGENE10535	24.3191221391638	25.3944134945815	25.0095596913995	25.6667214043387	25.1226981370674	24.7218153524123	NA	NA	NA	NA	NA	NA
AIPGENE10546	20.9388025883704	NA	NA	21.6754065870662	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10560	23.0980047139159	23.2988252359441	22.7818092417597	22.366112711051	22.1788235987748	23.1703188358631	NA	NA	NA	NA	NA	NA
AIPGENE10564	24.2014310814517	22.9898150699943	23.7338550605869	24.6635819888489	24.3464361893607	23.9980003836395	27.9695499102877	27.1420211454275	27.7248695309659	27.8802585452026	27.441405417428	26.9499850258529
AIPGENE10586	25.1194227479785	25.3779737392915	25.3684312355317	25.6337663525685	24.7412230084545	24.7566296953647	NA	NA	NA	NA	NA	NA
AIPGENE10587	28.8827754648811	28.4395418469391	28.5081822602904	29.0159935189911	28.4398941924272	28.2364526977759	27.1621135511888	26.0542844226943	26.9707739717033	26.2011048922929	25.6743725214611	25.5556899516829
AIPGENE10606	27.358146544922	26.7061655315536	26.9781383038305	27.1933976852041	26.7625274754316	26.5763292909708	26.0144002097832	25.2261349866852	NA	25.8664968714899	25.2773307875048	26.3409227534303
AIPGENE10618	30.2852221211862	30.3652133896202	29.9640040468775	30.5072642744367	30.159889418485	30.5172636161475	NA	NA	26.3302205420235	NA	NA	NA
AIPGENE10619	23.0937475783881	21.7492861807305	22.0670475502052	20.9796026070979	21.7296770140379	NA	NA	NA	NA	NA	NA	NA
AIPGENE10623	25.2933128476552	25.1310113485642	25.2902657992249	25.5643435709361	25.0127979697657	25.4430602895543	NA	NA	NA	NA	NA	NA
AIPGENE10649	21.3800030063055	21.6509960927159	22.4660392066306	NA	22.5802497108085	NA	NA	NA	NA	NA	NA	NA
AIPGENE10659	29.3661839341217	29.1461202448091	29.2921586476226	29.6308074666697	29.5717251986322	28.8629753964242	25.1300246309899	26.0989679247468	27.2275016036943	NA	24.3151302746449	25.6801121768909
AIPGENE10679	22.1523042055037	NA	22.8463198598679	22.6090375437549	22.0557400113928	21.5853021900164	NA	NA	NA	NA	NA	NA
AIPGENE10686	NA	NA	NA	NA	NA	NA	NA	25.1625394917167	NA	NA	23.261734502769	NA
AIPGENE10708	NA	NA	NA	22.0752434659292	22.4264241795232	22.190303926658	NA	NA	NA	NA	NA	NA
AIPGENE10716	24.8329835521328	24.4064518413232	24.2673952508305	23.9176709295269	22.8930059077614	NA	27.190877390429	26.6002444690288	26.6673754933952	27.2517206396854	26.8363164849732	27.1020458230411
AIPGENE10764	25.7135022256866	25.6644766173503	25.8082926029985	26.4396317470915	27.4999333219188	25.581992337856	24.6262492295976	NA	25.4392415241591	NA	NA	NA
