Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	22.975401689701	21.9739181714574	22.9315523336226	23.5407374840915	21.9404237751316	20.7638442926853	NA	NA	NA	NA	NA	NA
AIPGENE10000	23.4936668420198	23.7740917460794	24.1372826113141	24.2527276971819	25.0418168804057	23.2255270087271	NA	NA	NA	NA	NA	NA
AIPGENE10018	24.5430396385622	24.8611609787258	24.7192834497385	24.3643934490675	24.9630148677639	24.0928809774655	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	23.7103624872871	23.1417065512272	23.3827198708195	NA	NA	NA	NA	NA	NA	23.4570923858622	NA
AIPGENE10117	25.0511511405543	24.7790410559597	25.0415888879239	24.5808305035204	25.48716925887	23.2193312205595	NA	NA	NA	NA	NA	NA
AIPGENE10129	23.6012547936877	23.5126307658878	23.7108243767556	24.9114506077164	25.1568704604776	NA	NA	NA	NA	NA	NA	NA
AIPGENE10135	21.0351658668593	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	27.7560808333011	27.1815239038782	27.5936767263323	27.5011075900125	27.0225029915426	26.9282917597699	25.7040967463427	25.3382036710062	26.205222551821	25.0230154210361	25.5061469366888	25.8596164028906
AIPGENE10179	NA	NA	NA	23.1683656439686	23.3957766636449	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	23.6423240951286	23.0132745131216	22.3640625320515	23.766263287761	23.8489061760561	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	24.2396406538718	24.0591548307884	24.0374319287094	24.5097440563437	NA	23.1978260604005	NA	NA	NA	NA	NA	NA
AIPGENE10288	NA	NA	22.5795636973682	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10361	21.8993833674267	NA	22.7334310456511	23.2199974600588	23.2204078432994	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	NA	NA	NA	22.724404181165	NA	23.1450843365209	24.9293475504203	24.2446636171801	26.2282978540558	NA	25.0695807775991	22.41208955796
AIPGENE10412	26.1825874703012	26.1607121308827	25.1645842913232	26.2953424026787	26.7112870545291	25.6132320354461	NA	NA	NA	NA	NA	NA
AIPGENE10493	28.1837067915956	28.0436163368473	28.3024199702876	28.4640846870811	28.8273624686973	27.9112753764183	23.8228685264934	24.4292088325241	25.6861462089224	24.0950735729691	24.681767852174	NA
AIPGENE10494	26.8130464528303	26.5030198039474	26.3775869524363	26.7388298555784	26.0360842151101	26.000389398888	22.0670777552886	22.8350615257349	24.8070533532485	NA	NA	NA
AIPGENE10504	27.51118388045	27.0750514107831	27.5304312946434	27.4192544992696	27.8359315130906	27.1181817921981	28.6334489607502	27.9336225131253	28.7407577594285	27.7704932441022	27.7843245409596	27.706890820102
AIPGENE10518	24.302180483761	25.3298489177217	25.2423578818396	26.1564615479094	25.616258402335	25.0542401787023	NA	NA	NA	NA	NA	NA
AIPGENE10519	25.2229347935349	24.4947723138963	24.3867737181348	23.9909258411548	23.9789247441072	23.5889147546682	24.2102225004817	23.6149733180204	23.5510631172699	NA	23.2921873887647	23.2462021233206
AIPGENE1052	21.2593274357054	20.6698834176024	21.0750501865289	NA	NA	NA	NA	NA	NA	NA	NA	NA
