Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	22.233556324953	21.739251827958	22.5723203749528	23.2221130943084	21.6465484132063	21.3648130203613	NA	NA	NA	NA	NA	NA
AIPGENE10000	22.9384638483593	23.7871277558993	24.0879101047829	24.0476715541211	24.9403711602582	23.6842583892245	NA	NA	NA	NA	NA	NA
AIPGENE10018	24.2300784662567	24.8970178496163	24.6939123315642	24.1926291561272	24.8407715981415	24.6410232713201	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	23.7144400451207	22.7996401837168	23.046182786003	NA	NA	NA	NA	NA	NA	23.6896426329654	NA
AIPGENE10117	24.786057516379	24.8074684402128	25.0009461983526	24.3732923663628	25.4299536253354	23.6823948567239	NA	NA	NA	NA	NA	NA
AIPGENE10129	23.0627310546201	23.4890302959483	23.5355588213752	24.7297392689711	25.0597038014729	NA	NA	NA	NA	NA	NA	NA
AIPGENE10135	20.5156565973522	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	27.6755364512196	27.3081881081132	27.5275945075214	27.4489387429349	26.9482247007995	27.4119209669818	27.2223905596274	26.2056212487558	27.9413441154643	25.905136983561	26.9588410969888	27.4527995829592
AIPGENE10179	NA	NA	NA	22.7729704135457	23.0899764284055	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	23.1046957112798	22.9500348093387	21.9510403566502	23.5304013740638	23.6234503570414	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	23.891656367228	24.161971039711	23.9846930697447	24.3157711187904	NA	23.6638996498301	NA	NA	NA	NA	NA	NA
AIPGENE10288	NA	NA	22.2018151472241	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10361	21.2653931086316	NA	22.380934215725	22.8215400661084	22.8831405265946	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	NA	NA	NA	22.4200179159932	NA	23.58359524932	25.791542040322	24.4592401463532	28.0140550977196	NA	26.0710201088834	22.0413522461063
AIPGENE10412	25.9498366616067	26.2580668551486	25.1035181647136	26.2428462521829	26.6634973276776	26.1960364562517	NA	NA	NA	NA	NA	NA
AIPGENE10493	28.0726715116823	28.2326740879094	28.3290818901368	28.4231806784672	28.8808669804886	28.6560711279113	23.7104656199083	24.7848789507489	27.2166277172921	24.5313973210808	25.4798036016823	NA
AIPGENE10494	26.6300167053375	26.6221917444894	26.3792954980046	26.6324398203242	25.9163739803599	26.5452365890067	19.0531023918815	22.4077635489382	25.5958402676975	NA	NA	NA
AIPGENE10504	27.4277152076578	27.1939986552731	27.4460635335679	27.359756510308	27.7546331610487	27.6343817624312	33.4171714645861	31.2673798811724	32.7813023987597	30.4824174529142	30.3803962777697	30.8561135426755
AIPGENE10518	23.9433724525877	25.4651898440003	25.1745565265336	26.1341946642252	25.5552050367519	25.6817013277408	NA	NA	NA	NA	NA	NA
AIPGENE10519	24.9644897840378	24.5242959441419	24.3687043175583	23.8033581275847	23.7784852856098	24.1768774783975	24.3560391008503	23.4704374806343	22.9698122747765	NA	23.4162593674884	23.1774881739783
AIPGENE1052	20.6501253801198	20.2780059154382	20.5641640520439	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10527	25.8058869386157	24.2625606483199	24.9238853899877	24.6790755449036	26.6383746963815	NA	NA	NA	NA	NA	NA	NA
AIPGENE10529	20.3319462998601	22.3439693435615	23.0360081787941	23.2829269281962	22.9066200045719	22.7199979167426	NA	NA	NA	NA	NA	NA
AIPGENE10532	24.2607794991199	23.70138177456	24.1216818932216	24.9361952734282	24.716833299449	23.5620553039747	NA	NA	NA	NA	NA	NA
AIPGENE10535	24.9660263465406	26.1954636641298	25.6704126404848	26.1364008895456	25.7129046553108	25.6716146119004	NA	NA	NA	NA	NA	NA
AIPGENE10546	21.711374505833	NA	NA	22.2625917099239	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10560	23.7903055260429	24.2215179513891	23.5414041999181	22.9329632155577	22.8589762475877	24.1866367770996	NA	NA	NA	NA	NA	NA
AIPGENE10564	24.8527106046819	23.9304448888465	24.451251882551	25.1627942325743	24.9603603482836	24.9788324021695	28.0207349779507	27.3549657147365	27.6843194623406	26.6316999775411	26.5062452306249	25.5840954030137
AIPGENE10586	25.7365747548965	26.1799781867993	26.0133776914671	26.1044160454762	25.3430849866305	25.7049363287499	NA	NA	NA	NA	NA	NA
AIPGENE10587	29.3600200130302	29.0638315465638	29.0139635219267	29.3870693175644	28.9287482428128	29.0355658032551	26.2045696253161	25.1714409889723	26.0116457482672	23.7609972305353	23.5365817271951	22.9044779902248
AIPGENE10606	27.892071126489	27.4310724717701	27.5517366830687	27.6181313121957	27.302631211827	27.4466183348954	23.6230197831171	23.5090122666892	NA	23.1889470415459	22.8693160812868	24.413572820749
AIPGENE10618	30.7103289181059	30.8777236936279	30.4052579876537	30.834436565256	30.5961913260502	31.2185894987815	NA	NA	24.5908219930755	NA	NA	NA
AIPGENE10619	23.7862066549825	22.7619249410943	22.8583233483086	21.5872724308849	22.4235527331889	NA	NA	NA	NA	NA	NA	NA
AIPGENE10623	25.9040002673339	25.9473512142177	25.9386768318243	26.0370370936585	25.6063623399383	26.3619369772386	NA	NA	NA	NA	NA	NA
AIPGENE10649	22.1361727329759	22.6693402947346	23.2396302421677	NA	23.2481373242005	NA	NA	NA	NA	NA	NA	NA
AIPGENE10659	29.8254571530954	29.7293952103427	29.7631912220513	29.9837829378406	30.0259976735661	29.6352270403693	21.6337951627233	25.2611387343238	26.5810981955506	NA	21.2522484236652	23.1435980784915
AIPGENE10679	22.8797626456399	NA	23.6030554726092	23.1687362602731	22.7396533138197	22.6695759511379	NA	NA	NA	NA	NA	NA
AIPGENE10686	NA	NA	NA	NA	NA	NA	NA	23.3813505514885	NA	NA	19.4819186320994	NA
AIPGENE10708	NA	NA	NA	22.6506572578953	23.0990117253145	23.248638913475	NA	NA	NA	NA	NA	NA
AIPGENE10716	25.4607843031355	25.2648501899593	24.9611436294448	24.4388430432874	23.551337675834	NA	26.2692680843934	26.2674022041598	25.3386718083967	25.5571434657896	25.4893368736036	25.8763325108516
AIPGENE10764	26.3085685669004	26.4498504412849	26.433742802006	26.8865564943662	28.0175066135932	26.4949124690111	20.5006539322002	NA	22.6145244739255	NA	NA	NA
AIPGENE10773	24.582380009037	24.6976185715614	24.3343113286874	22.9668440167601	24.231940422545	23.3578341923446	NA	NA	NA	NA	NA	NA
AIPGENE1080	25.8671550831981	25.8013049181523	26.2979978315531	26.1681499890388	26.3176705505906	26.180959595381	22.22547952408	NA	22.5350231916716	NA	24.0911073757945	22.5879037109798
AIPGENE10885	24.7293394802221	24.7457233561884	NA	24.3386597884181	NA	24.3618042445266	24.7057289629003	23.9520492878703	NA	NA	NA	NA
AIPGENE10893	NA	NA	NA	NA	NA	NA	31.6144738146665	28.8736617242425	30.3663326812106	28.3725195847556	28.706386913129	29.6306103125346
AIPGENE10895	NA	NA	NA	NA	22.7777644046585	NA	NA	NA	NA	NA	NA	NA
AIPGENE10899	25.1504155026791	24.2268793764759	23.891304219716	23.9142999316021	22.906112270448	22.7672694557581	NA	NA	NA	NA	NA	NA
AIPGENE10905	25.1907563713421	26.055566802932	26.1157588343481	26.7046711925943	26.5857867378558	26.8432451422204	31.4453592233476	30.1411322439966	30.8668925822812	30.3864373024939	29.1300620582694	29.7579564440363
AIPGENE10921	NA	22.5797936272053	22.7963282647337	22.8540671461332	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE1093	24.2103705713423	24.3972059154706	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10935	22.9321084364462	NA	23.9326586622542	21.6379944786919	22.6269659847115	NA	NA	NA	NA	NA	NA	NA
AIPGENE10940	21.3779231649134	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10966	25.29212640578	25.7024587719252	25.6687903632239	25.7274775998156	25.7001433076329	25.4450663518032	NA	NA	NA	NA	NA	NA
AIPGENE10967	22.0998523707363	NA	22.5013747993865	22.7210201172893	22.913084642527	NA	NA	NA	NA	NA	NA	NA
AIPGENE10977	NA	NA	NA	22.658590582043	22.6537261340583	NA	NA	NA	NA	NA	NA	NA
AIPGENE10991	24.6811552829564	24.7476070519376	24.5751781596617	24.5080791575665	24.3267614207947	23.8152933549012	NA	NA	NA	NA	NA	NA
AIPGENE11011	22.6506087124748	NA	23.0203684907286	NA	22.167919982929	NA	NA	NA	NA	NA	NA	NA
AIPGENE11057	25.1791840718903	24.7760306269924	25.462373976081	24.6562300659217	25.147778740681	25.4717714861787	23.6693566606975	23.5693121114664	26.4078136733721	25.2714775055365	24.5509635737235	NA
AIPGENE11091	24.6921854334331	23.6083353176092	25.2865991372959	24.9639140057422	25.7754194590331	23.9632342733228	NA	NA	NA	NA	NA	NA
AIPGENE11099	NA	NA	NA	22.3586450415852	22.1378573570501	NA	NA	NA	24.2680807661389	NA	19.5336706618029	NA
AIPGENE11123	27.3627313474653	27.2683833325727	27.5919296115308	26.9447087729189	27.3998659806515	27.4745745135115	34.2239487926411	32.13497618572	32.6787089344172	32.2024992724717	31.98007815951	32.923394803746
AIPGENE11167	27.3380925342022	27.4141132286516	27.1578734072501	27.5888518299337	27.2873211259582	26.5973602252334	17.0586097748419	NA	23.143133558832	NA	NA	NA
AIPGENE11186	24.4442042364675	24.4385397192724	24.5066207751273	24.5519299128675	24.4670583619249	24.2721805605983	NA	NA	NA	NA	NA	NA
AIPGENE11193	23.6846688626956	24.032028925162	24.5746305417075	23.4223339723753	24.2247525257499	NA	NA	NA	NA	NA	NA	NA
AIPGENE11223	21.3713222177287	NA	NA	NA	20.8807874952031	NA	NA	NA	NA	NA	NA	NA
AIPGENE11225	24.9611708798097	24.4625875115209	21.757228202113	25.5135140933764	25.8007162145851	24.6813766686712	NA	NA	21.8565138980941	NA	NA	22.0778444636475
AIPGENE11237	24.7218501075381	22.0489573197297	24.5559322204773	24.2096724616124	NA	NA	19.5292939583762	NA	15.5580630818423	NA	NA	NA
AIPGENE11239	20.9990098637937	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE1127	NA	NA	NA	22.8176941792769	25.108566208755	NA	NA	NA	NA	NA	NA	NA
AIPGENE11276	26.8768143165899	27.2994138271238	25.951088793499	24.6453685658153	26.2252591584255	26.6094756421688	NA	NA	NA	NA	NA	NA
