Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	21.6904480532154	21.2393581428282	22.0978362562274	22.7875173140953	21.072650275835	20.576359271301	NA	NA	NA	NA	NA	NA
AIPGENE10000	22.4225732695193	23.413432496566	23.6837180393921	23.6381177335763	24.4702831290121	22.9997027891523	NA	NA	NA	NA	NA	NA
AIPGENE10018	23.7640593511827	24.591718522245	24.3178262502715	23.787472386306	24.367544526969	23.9993253740423	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	23.3362654740528	22.3356990079839	22.6062504489022	NA	NA	NA	NA	NA	NA	24.3446316151873	NA
AIPGENE10117	24.3415057094854	24.496650714806	24.6391001455551	23.9736157182342	24.9752955706118	22.9977557808432	NA	NA	NA	NA	NA	NA
AIPGENE10129	22.5516386465259	23.0969650613316	23.1057490672995	24.3408748520697	24.5933767297865	NA	NA	NA	NA	NA	NA	NA
AIPGENE10135	19.9062172599606	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	27.3425523999123	27.1514748775838	27.2829327389732	27.1425567750319	26.5414173938466	26.8943437519495	25.7394963474663	25.4941499819711	25.9770801480122	25.6870488696109	26.2898961957372	26.417949183849
AIPGENE10179	NA	NA	NA	22.324750627954	22.5615702397361	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	22.5952236308166	22.5247544853733	21.4477416799195	23.1051570123676	23.1118574547567	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	23.412570192355	23.8113751447933	23.575713866259	23.9143496581114	NA	22.9784320923705	NA	NA	NA	NA	NA	NA
AIPGENE10288	NA	NA	21.7101472400923	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10361	20.6849023885277	NA	21.8975737330027	22.3747935611379	22.3482155727802	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	NA	NA	NA	21.9610918962112	NA	22.8945305049291	25.1033653271416	24.624179134123	26.0098606170104	NA	25.7616178605318	23.6021911096202
AIPGENE10412	25.5502203708249	26.0366408911908	24.7464293321507	25.8998794499165	26.247716380948	25.623994431768	NA	NA	NA	NA	NA	NA
AIPGENE10493	27.7550215286827	28.1329314353966	28.1215925784462	28.1463507392143	28.5349699943281	28.1942248649933	24.1781539935657	24.7863981746077	25.6503544913654	24.883510441675	25.4098274924795	NA
AIPGENE10494	26.2566633368974	26.4232046339802	26.0813763777918	26.3012906989312	25.4770462431897	25.9888367727451	22.1075691746319	23.6022230259526	24.9196509429301	NA	NA	NA
AIPGENE10504	27.0851623515403	27.0302486072324	27.1976204121531	27.050669345885	27.3732411099452	27.1267695438501	28.4935910294616	28.0156972221399	28.1590903139765	28.3644271626171	28.3258172867372	28.1888079143674
AIPGENE10518	23.4662831247938	25.1949035807968	24.8207624063982	25.7879320945288	25.1044944811229	25.0866199730235	NA	NA	NA	NA	NA	NA
AIPGENE10519	24.5268275541496	24.1960279802976	23.9775353027939	23.3863934605988	23.271778557726	23.5143884517434	24.4651650304333	24.1316008004096	23.7357523551185	NA	24.1819609211013	24.1933608490983
AIPGENE1052	20.0458781139038	19.6880643268463	19.9965429658554	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10527	25.4007125012361	23.9181634933184	24.558465307659	24.2886743271618	26.2218019696378	NA	NA	NA	NA	NA	NA	NA
AIPGENE10529	19.7154135916456	21.8813408059338	22.5830295949748	22.8501758357305	22.3724350441596	21.9922488534494	NA	NA	NA	NA	NA	NA
