Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	22.2316791118478	21.4989938847275	22.5111492897507	23.3128959004361	21.6470145691764	20.925804322729	NA	NA	NA	NA	NA	NA
AIPGENE10000	22.9638043281516	23.6730682384652	24.0970310729153	24.1634963199171	25.0446474223533	23.3491478405802	NA	NA	NA	NA	NA	NA
AIPGENE10018	24.3052904098149	24.8513542641442	24.7311392837946	24.3128509726467	24.9419088203101	24.3487704254702	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	23.595901215952	22.7490120415071	23.131629035243	NA	NA	NA	NA	NA	NA	23.2903409295372	NA
AIPGENE10117	24.8827367681176	24.7562864567052	25.0524131790782	24.498994304575	25.549659863953	23.3472008322712	NA	NA	NA	NA	NA	NA
AIPGENE10129	23.0928697051581	23.3566008032308	23.5190621008227	24.8662534384104	25.1677410231277	NA	NA	NA	NA	NA	NA	NA
AIPGENE10135	20.4474483185937	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	27.8837834585444	27.411110619483	27.6962457724964	27.6679353613726	27.1157816871877	27.2437888033774	25.530146583866	25.2942122443162	26.6300769328818	24.6551521402059	25.2356055100872	25.5970595501255
AIPGENE10179	NA	NA	NA	22.8501292142948	23.1359345330774	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	23.1364546894488	22.7843902272725	21.8610547134428	23.6305355987083	23.6862217480979	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	23.9538012509872	24.0710108866925	23.9890268997822	24.4397282444522	NA	23.3278771437985	NA	NA	NA	NA	NA	NA
AIPGENE10288	NA	NA	22.1234602736156	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10361	21.2261334471604	NA	22.3108867665259	22.9001721474787	22.9225798661214	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	NA	NA	NA	22.486470482552	NA	23.2439755563571	24.8940155635412	24.4242413964681	26.66285740188	NA	24.7073271748818	22.7813014758967
AIPGENE10412	26.0914514294571	26.29627663309	25.1597423656738	26.4252580362572	26.8220806742891	25.9734394831959	NA	NA	NA	NA	NA	NA
AIPGENE10493	28.2962525873148	28.3925671772958	28.5349056119693	28.671729325555	29.1093342876692	28.5436699164212	23.9688042299654	24.5864604369528	26.303351276235	23.8516137122699	24.3555368068295	NA
AIPGENE10494	26.7978943955296	26.6828403758794	26.4946894113149	26.8266692852719	26.0514105365308	26.3382818241731	21.8982194110315	23.4022852882977	25.5726477277997	NA	NA	NA
AIPGENE10504	27.6263934101724	27.2898843491315	27.6109334456763	27.5760479322257	27.9476054032863	27.4762145952781	28.2842412658612	27.815759484485	28.8120870988461	27.332530433212	27.2715266010872	27.3679182806439
AIPGENE10518	24.007514183426	25.454539322696	25.2340754399213	26.3133106808695	25.6788587744641	25.4360650244515	NA	NA	NA	NA	NA	NA
AIPGENE10519	25.0680586127817	24.4556637221967	24.3908483363171	23.9117720469396	23.8461428510672	23.8638335031714	24.2558152668329	23.9316630627547	24.3887491399881	NA	23.1276702354513	23.3724712153748
AIPGENE1052	20.5871091725368	19.9477000687457	20.4098559993789	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10527	25.9419435598682	24.1777992352175	24.9717783411821	24.8140529135026	26.796166262979	NA	NA	NA	NA	NA	NA	NA
AIPGENE10529	20.2566446502789	22.140976547833	22.996342628498	23.3755544220712	22.9467993375008	22.3416939048773	NA	NA	NA	NA	NA	NA
AIPGENE10532	24.3371768624053	23.5820382417635	24.1323691746559	25.078971946601	24.8140644073765	23.22147074222	NA	NA	NA	NA	NA	NA
AIPGENE10535	25.0696545046078	26.2298155793712	25.7529290338119	26.3155838284106	25.8415285494023	25.4255264802907	NA	NA	NA	NA	NA	NA
AIPGENE10546	21.6893349538144	NA	NA	22.3242690111381	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10560	23.8485370793599	24.1342273207338	23.5251785841721	23.0149751351229	22.8976540111097	23.8740299637416	NA	NA	NA	NA	NA	NA
AIPGENE10564	24.9519634468957	23.825217154784	24.4772244029992	25.3124444129208	25.0652666016956	24.7017115115179	25.885076992324	25.8667654963889	26.5142018833065	25.0801389859122	24.9662983028834	24.6247099076938
AIPGENE10586	25.8699551134225	26.2133758240812	26.1118005779441	26.2826287766404	25.4600534207894	25.4603408232431	NA	NA	NA	NA	NA	NA
AIPGENE10587	29.6333078303251	29.2749439317289	29.2515516027028	29.664855943063	29.1587246047621	28.9401638256544	25.0776406332251	24.7790287736557	25.7601063240438	23.4009853330026	23.1992654069165	23.2304148335238
AIPGENE10606	28.108678910366	27.5415676163433	27.7215076462428	27.842260109276	27.4813578877665	27.2800404188492	23.9299272918195	23.9508793376466	NA	23.0663773121996	22.8022236729602	24.0156476352712
AIPGENE10618	31.0357544866302	31.2006154744099	30.7073733892899	31.1561266985086	30.8787198308198	31.220974744026	NA	NA	25.1195528943641	NA	NA	NA
AIPGENE10619	23.8442799438321	22.5846882655202	22.8104168926175	21.6284650311698	22.4485074263728	NA	NA	NA	NA	NA	NA	NA
