Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	22.0135808797936	20.9493715734076	22.1724428085618	23.1304447571178	21.3937062572643	20.1826668792706	NA	NA	NA	NA	NA	NA
AIPGENE10000	22.7457060960973	23.1234459271453	23.7583245917264	23.9810451765987	24.7913391104412	22.6060103971218	NA	NA	NA	NA	NA	NA
AIPGENE10018	24.0871921777606	24.3017319528242	24.3924328026058	24.1303998293283	24.6886005083981	23.6056329820118	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	23.046278904632	22.4103055603183	22.9491778919246	NA	NA	NA	NA	NA	NA	24.1143065001751	NA
AIPGENE10117	24.6646385360634	24.2066641453852	24.7137066978894	24.3165431612566	25.2963515520409	22.6040633888128	NA	NA	NA	NA	NA	NA
AIPGENE10129	22.8747714731039	22.8069784919109	23.1803556196339	24.683802295092	24.9144327112156	NA	NA	NA	NA	NA	NA	NA
AIPGENE10135	20.2293500865395	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	27.6656852264902	26.861488308163	27.3575392913075	27.4854842180542	26.8624733752757	26.500651359919	26.3473208355982	25.2662496528683	26.8594544349421	25.6452529810469	26.059571080725	26.3353234617975
AIPGENE10179	NA	NA	NA	22.6676780709764	22.8826262211653	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	22.9183564573946	22.2347679159526	21.522348232254	23.44808445539	23.4329134361859	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	23.7357030189329	23.5213885753725	23.6503204185933	24.2572771011338	NA	22.5847397003401	NA	NA	NA	NA	NA	NA
AIPGENE10288	NA	NA	21.7847537924268	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10361	21.0080352151062	NA	21.9721802853371	22.7177210041603	22.6692715542093	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	NA	NA	NA	22.3040193392337	NA	22.5008381128987	25.7111898152734	24.3962788050202	26.8922349039404	NA	25.5312927455196	23.5195653875687
AIPGENE10412	25.8733531974028	25.74665432177	24.821035884485	26.2428068929389	26.5687723623771	25.2303020397375	NA	NA	NA	NA	NA	NA
AIPGENE10493	28.0781543552606	27.8429448659759	28.1961991307804	28.4892781822366	28.8560259757572	27.8005324729628	24.7859784816975	24.5584978455049	26.5327287782953	24.8417145531109	25.1795023774674	NA
AIPGENE10494	26.5797961634753	26.1332180645594	26.1559829301261	26.6442181419535	25.7981022246188	25.5951443807147	22.7153936627637	23.3743226968498	25.80202522986	NA	NA	NA
AIPGENE10504	27.4082951781182	26.7402620378116	27.2722269644874	27.3935967889074	27.6942970913742	26.7330771518197	29.1014155175934	27.7877968930371	29.0414646009065	28.322631274053	28.095492171725	28.1061821923159
AIPGENE10518	23.7894159513718	24.9049170113761	24.8953689587324	26.1308595375511	25.425550462552	24.6929275809931	NA	NA	NA	NA	NA	NA
AIPGENE10519	24.8499603807275	23.9060414108768	24.0521418551282	23.7293209036212	23.5928345391552	23.120696059713	25.0729895185651	23.9037004713068	24.6181266420484	NA	23.9516358060891	24.1107351270468
AIPGENE1052	20.3690109404826	19.3980777574258	20.0711495181901	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10527	25.723845327814	23.6281769238976	24.6330718599933	24.6316017701842	26.5428579510669	NA	NA	NA	NA	NA	NA	NA
AIPGENE10529	20.0385464182246	21.5913542365131	22.6576361473092	23.1931032787529	22.6934910255888	21.5985564614189	NA	NA	NA	NA	NA	NA
AIPGENE10532	24.1190786303511	23.0324159304436	23.7936626934671	24.8965208032826	24.5607560954645	22.4783332987616	NA	NA	NA	NA	NA	NA
AIPGENE10535	24.8515562725536	25.6801932680513	25.4142225526231	26.1331326850923	25.5882202374902	24.6823890368323	NA	NA	NA	NA	NA	NA
AIPGENE10546	21.4712367217602	NA	NA	22.1418178678197	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10560	23.6304388473056	23.5846050094139	23.1864721029833	22.8325239918045	22.6443456991976	23.1308925202831	NA	NA	NA	NA	NA	NA
AIPGENE10564	24.7338652148415	23.2755948434641	24.1385179218104	25.1299932696024	24.8119582897836	23.9585740680595	26.7022512440562	25.838802904941	26.7435793853668	26.0702398267532	25.7902638735212	25.3629738193658
AIPGENE10586	25.6518568813683	25.6637535127613	25.7730940967552	26.1001776333221	25.2067451088774	24.7172033797847	NA	NA	NA	NA	NA	NA
AIPGENE10587	29.4152095982709	28.7253216204089	28.9128451215139	29.4824047997446	28.90541629285	28.197026382196	25.8948148849573	24.7510661822078	25.9894838261042	24.3910861738435	24.0232309775543	23.9686787451958
AIPGENE10606	27.8905806783118	26.9919453050234	27.382801165054	27.6598089659576	27.2280495758544	26.5369029753908	24.7471015435517	23.9229167461987	NA	24.0564781530406	23.626189243598	24.7539115469432
