Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	22.4638384638659	21.5669597725555	22.5240240389857	23.427635452927	21.7327161059921	20.6012697027899	NA	NA	NA	NA	NA	NA
AIPGENE10000	23.1959636801696	23.7410341262932	24.1099058221503	24.2782358724079	25.130348959169	23.0246132206411	NA	NA	NA	NA	NA	NA
AIPGENE10018	24.5374497618329	24.9193201519722	24.7440140330296	24.4275905251375	25.0276103571259	24.0242358055311	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	23.66386710378	22.7618867907421	23.2463685877338	NA	NA	NA	NA	NA	NA	23.6424043861537	NA
AIPGENE10117	25.1148961201356	24.8242523445332	25.0652879283132	24.6137338570658	25.6353614007687	23.0226662123321	NA	NA	NA	NA	NA	NA
AIPGENE10129	23.3250290571762	23.4245666910588	23.5319368500577	24.9809929909012	25.2534425599434	NA	NA	NA	NA	NA	NA	NA
AIPGENE10135	20.6796076706117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	28.1159428105625	27.479076507311	27.7091205217314	27.7826749138634	27.2014832240034	26.9192541834384	25.5138615100072	25.2024894244063	25.9135131850582	25.0090066418859	25.5876689667036	25.9204377828014
AIPGENE10179	NA	NA	NA	22.9648687667856	23.2216360698931	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	23.3686140414669	22.8523561151005	21.8739294626778	23.7452751511992	23.7719232849136	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	24.1859606030052	24.1389767745205	24.0019016490172	24.554467796943	NA	23.0033425238594	NA	NA	NA	NA	NA	NA
AIPGENE10288	NA	NA	22.1363350228506	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10361	21.4582927991784	NA	22.3237615157609	23.0149116999695	23.0082814029371	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	NA	NA	NA	22.6012100350429	NA	22.919440936418	24.8777304896825	24.3325185765582	25.9462936540564	NA	25.0593906314982	23.1046797085726
AIPGENE10412	26.3236107814751	26.364242520918	25.1726171149088	26.5399975887481	26.9077822111048	25.6489048632568	NA	NA	NA	NA	NA	NA
AIPGENE10493	28.5284119393329	28.4605330651238	28.5477803612043	28.7864688780458	29.1950358244849	28.2191352964821	23.9525191561066	24.4947376170429	25.5867875284114	24.2054682139499	24.707600263446	NA
AIPGENE10494	27.0300537475476	26.7508062637074	26.5075641605499	26.9414088377627	26.1371120733465	26.013747204234	21.8819343371728	23.3105624683878	24.8560839799761	NA	NA	NA
AIPGENE10504	27.8585527621904	27.3578502369595	27.6238081949113	27.6907874847166	28.033306940102	27.151679975339	28.2679561920025	27.7240366645751	28.0955233510225	27.6863849348921	27.6235900577037	27.6912965133198
AIPGENE10518	24.2396735354441	25.522505210524	25.2469501891563	26.4280502333603	25.7645603112798	25.1115304045124	NA	NA	NA	NA	NA	NA
AIPGENE10519	25.3002179647998	24.5236296100248	24.4037230855521	24.0265115994304	23.9318443878829	23.5392988832323	24.2395301929742	23.8399402428448	23.6721853921644	NA	23.4797336920678	23.6958494480508
AIPGENE1052	20.8192685245549	20.0156659565738	20.4227307486139	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10527	26.1741029118863	24.2457651230456	24.9846530904171	24.9287924659934	26.8818677997947	NA	NA	NA	NA	NA	NA	NA
AIPGENE10529	20.4888040022969	22.2089424356611	23.009217377733	23.4902939745621	23.0325008743165	22.0171592849383	NA	NA	NA	NA	NA	NA
AIPGENE10532	24.5693362144233	23.6500041295916	24.1452439238909	25.1937114990918	24.8997659441922	22.8969361222809	NA	NA	NA	NA	NA	NA
AIPGENE10535	25.3018138566259	26.2977814671993	25.7658037830469	26.4303233809015	25.927230086218	25.1009918603517	NA	NA	NA	NA	NA	NA
AIPGENE10546	21.9214943058325	NA	NA	22.4390085636289	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10560	24.0806964313779	24.2021932085618	23.5380533334071	23.1297146876137	22.9833555479254	23.5494953438025	NA	NA	NA	NA	NA	NA
AIPGENE10564	25.1841227989137	23.893183042612	24.4900991522342	25.4271839654117	25.1509681385114	24.3771768915788	25.8687919184652	25.775042676479	25.7976381354828	25.4339934875923	25.3183617594999	24.9480881403698
AIPGENE10586	26.1021144654405	26.2813417119093	26.1246753271791	26.3973683291313	25.5457549576051	25.135806203304	NA	NA	NA	NA	NA	NA
