Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	4924955	2963753.2	5977659.5	10420317.5	3283981.5	1992025	NA	NA	NA	NA	NA	NA
AIPGENE10000	8180765	13375303	17944409	18790450.5	34609084	10685476	NA	NA	NA	NA	NA	NA
AIPGENE10018	20731058	30269348	27849330	20839986	32230178	21365362	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	12678680	7049121.5	9189972	NA	NA	NA	NA	NA	NA	10258674	NA
AIPGENE10117	30935001.5	28339018.5	34795880.5	23710032.5	49114983	10671065	NA	NA	NA	NA	NA	NA
AIPGENE10129	8946362	10740820	12021071	30583569	37691634.5	NA	NA	NA	NA	NA	NA	NA
AIPGENE10135	1429865.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	247659626.5	178470529	217470696.2	213244806	145433228	158926978	48455147	41144956	103860867	26420458	39507015	50755455
AIPGENE10179	NA	NA	NA	7560914	9217439	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	9220762.9	7224119	3809195	12986736.5	13497807.5	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	16248478	17623668	16650093	22755757	NA	10529088	NA	NA	NA	NA	NA	NA
AIPGENE10288	NA	NA	4569042	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10361	2453030	NA	5202908	7827782	7950311	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	NA	NA	NA	5876275	NA	9934222	31177795	22512788	106247776	NA	27393441.2	7208669
AIPGENE10412	71500571.1	82407747	37483241	90114631.7	118645379.3	65884670	NA	NA	NA	NA	NA	NA
AIPGENE10493	329625494	352382534	388922002	427612660	579138950	391291876	16418332	25191967	82812848	15137396	21465803	NA
AIPGENE10494	116672911	107729668.3	94557556	119023341.5	69543413	84842384	3908597	11086382	49903848	NA	NA	NA
AIPGENE10504	207192050.5	164086846	204983628	200086408.8	258861541.7	186708788.3	326892552	236253340	471305442	169009656	162012131	173206554
AIPGENE10518	16864827	45981153.5	39465137.5	83386510.5	53716381	45396100	NA	NA	NA	NA	NA	NA
AIPGENE10519	35175281	23008502	21997684.5	15781949	15080102	15266156	20032168.5	16001048	21965700	NA	9164789	10859627
AIPGENE1052	1575206.1	1011244.25	1393089	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10527	64461908.2	18977666	32904426.5	29496755	116533238	NA	NA	NA	NA	NA	NA	NA
AIPGENE10529	1252730.5	4624854.5	8367369	10882860.1	8084904.7	5315205	NA	NA	NA	NA	NA	NA
AIPGENE10532	21194357	12557433	18389375.8	35442375	29496990	9780459	NA	NA	NA	NA	NA	NA
AIPGENE10535	35214213	78697560.5	56546289.9	83518000	60127788	45065700.5	NA	NA	NA	NA	NA	NA
AIPGENE10546	3381741.5	NA	NA	5251394	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10560	15105149	18413076	12072144	8476135	7814131	15374434	NA	NA	NA	NA	NA	NA
AIPGENE10564	32455585.5	14862950	23354940	41668228	35107273	27287020	61970445	61188852	95845136	35471057	32779677	25868802
AIPGENE10586	61324282.5	77805878.5	72516229.5	81631847.7	46157233.5	46166429.5	NA	NA	NA	NA	NA	NA
AIPGENE10587	832749782	649585384.5	639137724.5	851160490	599308919.5	515059487	35409684	28789288	56828304	11076397	9631075	9841282
AIPGENE10606	289437961.3	195361049.7	221312185.3	240633141	187375604	162971044.5	15981808	16215603	NA	8783578	7313972	16960174
