Protein.ID	Control-Symbiosome_PValue	Control-Symbiosome_AdjPVal	Control-Symbiosome_log2FoldChange	featureAvg	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	NA	NA	NA	NA	22.2149255552878	21.7657213525992	22.6157373150628	23.233493082435	21.5977485349422	21.0477145838206	NA	NA	NA	NA	NA	NA
AIPGENE10000	NA	NA	NA	NA	22.7406086935892	23.6218434504316	23.9159907395695	23.872246911982	24.7837923119461	23.523518326546	NA	NA	NA	NA	NA	NA
AIPGENE10018	NA	NA	NA	NA	23.9253647607709	24.6531511078026	24.3853756623351	23.8205395769853	24.5254662265384	24.4726236013274	NA	NA	NA	NA	NA	NA
AIPGENE10063	0.329815021349715	0.387666842454457	-0.620297103905063	23.2477027320869	NA	23.6682468578282	22.6697462789168	22.9398922315869	NA	NA	NA	NA	NA	NA	23.7129255600157	NA
AIPGENE10117	NA	NA	NA	NA	24.4777109095007	24.5333332106527	24.6817893063235	23.9803091881171	25.1105487577302	23.4568963447517	NA	NA	NA	NA	NA	NA
AIPGENE10129	NA	NA	NA	NA	22.8494383048296	23.287862496167	23.3200703620286	24.552802802818	24.8872137336749	NA	NA	NA	NA	NA	NA	NA
AIPGENE10135	NA	NA	NA	NA	20.4657318082741	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	0.170923519090231	0.223092946603715	-0.321743824992513	26.7622979199213	26.830071336903	26.5179895550356	26.7489617172266	26.6203513682475	26.1259458695309	26.7652361976066	27.0126074993542	26.5411471029791	27.1865515366857	26.4440862218651	26.9772193940662	27.377407239555
AIPGENE10179	NA	NA	NA	NA	NA	NA	NA	22.680679092821	23.0203547544865	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	NA	NA	NA	NA	23.0727646124526	22.9011018253401	21.8201709461049	23.4564401690057	23.564915734549	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	NA	NA	NA	NA	23.7121662479794	24.002916766978	23.7912184091173	24.1262196590408	NA	23.5006774057631	NA	NA	NA	NA	NA	NA
AIPGENE10288	NA	NA	NA	NA	NA	NA	22.2119010035316	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10361	NA	NA	NA	NA	21.2010131735719	NA	22.3757880047127	22.7925005752178	22.8547099806182	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	0.020468073509174	0.0363504037731232	-1.89947300739199	24.1070742204674	NA	NA	NA	22.0984024206579	NA	23.4022131525741	24.8447506862586	24.3160458117488	25.831607659436	NA	25.2061821682848	23.0503176443117
AIPGENE10412	NA	NA	NA	NA	25.2689257283417	25.6390298865088	24.4412498379114	25.5708508587184	26.0361479726079	25.7600493173322	NA	NA	NA	NA	NA	NA
