"Protein.ID","Control.Symbiosome_PValue","Control.Symbiosome_AdjPVal","Control.Symbiosome_log2FoldChange","featureAvg","CycLoess_Con1","CycLoess_Con2","CycLoess_Con3","CycLoess_Con4","CycLoess_Con5","CycLoess_Con6","CycLoess_Sym1","CycLoess_Sym2","CycLoess_Sym3","CycLoess_Sym4","CycLoess_Sym5","CycLoess_Sym6"
"AIPGENE10",NA,NA,NA,NA,22.2150548481738,21.7622673973986,22.6159753629168,23.2318380707209,21.5963971478331,21.0681567365765,NA,NA,NA,NA,NA,NA
"AIPGENE10000",NA,NA,NA,NA,22.7353066178294,23.623166164776,23.9166851911084,23.8651047772763,24.7808580158175,23.5145454248778,NA,NA,NA,NA,NA,NA
"AIPGENE10018",NA,NA,NA,NA,23.9200179302686,24.6546325652895,24.3848306143638,23.8136285530843,24.5206936720323,24.4594181120648,NA,NA,NA,NA,NA,NA
"AIPGENE10063",0.308744513601461,0.36747308955826,-0.648397980785433,23.2525444369253,NA,23.6670923521499,22.6716686446083,22.9325738284287,NA,NA,NA,NA,NA,NA,23.7388429225144,NA
"AIPGENE10117",NA,NA,NA,NA,24.472723175154,24.5339294498803,24.6808573009559,23.9739680920186,25.1060436225231,23.4447960895545,NA,NA,NA,NA,NA,NA
"AIPGENE10129",NA,NA,NA,NA,22.8436375884226,23.2892931162704,23.3206062882799,24.54539750913,24.8835721141702,NA,NA,NA,NA,NA,NA,NA
"AIPGENE10135",NA,NA,NA,NA,20.469901048724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIPGENE10143",0.112541832402645,0.152768561753177,-0.372784309316479,26.7777765803097,26.8254740025865,26.5041252690957,26.7381685303085,26.6123386309757,26.1149882252829,26.7532118956596,27.0093732007101,26.5769998508777,27.2111247922847,26.517587569998,27.0470537997756,27.4228731961617
"AIPGENE10179",NA,NA,NA,NA,NA,NA,NA,22.6745846846741,23.0178781498451,NA,NA,NA,NA,NA,NA,NA
"AIPGENE10188",NA,NA,NA,NA,23.0708531613448,22.8999958428767,21.8223719539131,23.4500298841978,23.5623441738878,NA,NA,NA,NA,NA,NA,NA
"AIPGENE10274",NA,NA,NA,NA,23.9996981868538,23.9742965855641,23.7580367541327,24.0764324764289,24.2930609209889,23.4836518490814,NA,NA,NA,NA,NA,NA
"AIPGENE10288",NA,NA,NA,NA,NA,NA,22.2124523365008,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIPGENE10361",NA,NA,NA,NA,21.2004194019362,NA,22.3768585433183,22.7892992914908,22.8530615814748,NA,NA,NA,NA,NA,NA,NA
"AIPGENE1040",0.0192374892838065,0.0344387750938987,-1.9320505721477,24.1186502787945,NA,NA,NA,22.0897688670445,NA,23.3874594446193,24.8581982191321,24.3382950117077,25.8513269066297,NA,25.2351184807248,23.0703850217037
"AIPGENE10412",NA,NA,NA,NA,25.2647023660322,25.628862202111,24.4313279386946,25.5640051938208,26.0282205232895,25.7540425841962,NA,NA,NA,NA,NA,NA
"AIPGENE10493",0.000601900677486037,0.00169720491462801,1.33527417938285,27.1627095475126,27.471826071944,27.5872162968256,27.6999218656613,27.7864793065844,28.256449781421,28.1801865007878,27.0428210493782,26.5565731896941,27.1666006779262,25.8075938414917,26.9114380651728,25.485407923264
"AIPGENE10494",0.00492480734266317,0.010228477036729,1.72256537505139,25.3864815556003,26.0898146201762,26.1544043046656,25.8684485328744,26.0616331407538,25.3574369437359,26.2322825414988,22.8585774416501,24.1647214284209,25.6910150466272,NA,NA,NA
"AIPGENE10504",2.70014306000053e-10,7.39164162675146e-09,-3.05483296966968,28.0019792583519,26.4664596487106,26.1482520355886,26.3909130566299,26.3418753425459,26.8162187927348,26.6836577648925,29.9343160589915,29.1912989967583,29.598803282099,29.633812391083,29.4532735475716,29.364870182617
"AIPGENE10518",NA,NA,NA,NA,23.4078863538421,25.0356337619542,24.6933852599344,25.633038713281,25.0765574929318,25.4122887412194,NA,NA,NA,NA,NA,NA
