Protein.ID	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity
AIPGENE10	0	0	0	0	0	0	4924955	2963753.2	5977659.5	10420318	3283981.5	1992025
AIPGENE10000	0	0	0	0	0	0	8180765	13375303	17944408	18790450	34609084	10685476
AIPGENE1001	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE10018	0	0	0	0	0	0	20731058	30269348	27849330	20839986	32230178	21365362
AIPGENE10063	0	0	0	0	10258674	0	0	12678680	7049121.5	9189972	0	0
AIPGENE10108	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE10117	0	0	0	0	0	0	30935002	28339018	34795880	23710032	49114984	10671065
AIPGENE10129	0	0	0	0	0	0	8946362	10740820	12021071	30583568	37691636	0
AIPGENE10134	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE10135	0	0	0	0	0	0	1429865.8	0	0	0	0	0
AIPGENE10143	48455148	41144956	103860870	26420458	39507016	50755456	247659620	178470530	217470700	213244800	145433220	158926980
AIPGENE10146	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE10178	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE10179	0	0	0	0	0	0	0	0	0	7560914	9217439	0
AIPGENE10188	0	0	0	0	0	0	9220763	7224119	3809195	12986736	13497808	0
AIPGENE10210	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE10274	0	0	0	0	0	0	20370776	17623668	16650093	22755756	25607908	10529088
AIPGENE10288	0	0	0	0	0	0	0	0	4569042	0	0	0
AIPGENE10361	0	0	0	0	0	0	2453030	0	5202908	7827782	7950311	0
AIPGENE10389	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE1040	31177796	22512788	106247780	0	27393440	7208669	0	0	0	5876275	0	9934222
AIPGENE10412	0	0	0	0	0	0	71500580	82407740	37483240	90114630	118645380	65884668
AIPGENE10493	48393336	39897536	96874160	15137396	34045516	12796251	415643070	407913730	459630140	511933300	682689150	475869920
AIPGENE10494	3908597	11086382	49903850	0	0	0	116672904	107729670	94557560	119023340	69543410	84842380
AIPGENE10504	364996380	256234180	539500860	203517060	176378180	190098080	236421420	179860240	224897120	218609500	279626050	209553040
AIPGENE10511	0	0	0	0	0	0	0	0	0	0	0	0
