GO.ID	Term	Annotated	Significant	Expected	P_value
GO:0015988	energy coupled proton transmembrane transport, against electrochemical gradient	15	6	0.12	1.2e-09
GO:0007264	small GTPase mediated signal transduction	532	18	4.31	1.7e-08
GO:1901069	guanosine-containing compound catabolic process	203	12	1.65	1.0e-07
GO:0042632	cholesterol homeostasis	38	6	0.31	5.8e-07
GO:0033344	cholesterol efflux	29	6	0.24	8.0e-07
GO:0046039	GTP metabolic process	212	11	1.72	1.3e-06
GO:0043691	reverse cholesterol transport	13	4	0.11	2.8e-06
GO:0006869	lipid transport	187	17	1.52	9.1e-06
GO:0006629	lipid metabolic process	1033	33	8.38	2.5e-05
GO:0016042	lipid catabolic process	203	11	1.65	2.6e-05
GO:0007009	plasma membrane organization	73	6	0.59	2.8e-05
GO:0055092	sterol homeostasis	40	8	0.32	6.1e-05
GO:0045456	ecdysteroid biosynthetic process	2	2	0.02	6.5e-05
GO:0061057	peptidoglycan recognition protein signaling pathway	2	2	0.02	6.5e-05
GO:0009207	purine ribonucleoside triphosphate catabolic process	650	16	5.27	8.0e-05
GO:0009154	purine ribonucleotide catabolic process	673	17	5.46	9.9e-05
GO:0006622	protein targeting to lysosome	13	3	0.11	0.00014
GO:0055091	phospholipid homeostasis	14	3	0.11	0.00018
GO:0070837	dehydroascorbic acid transport	3	2	0.02	0.00020
GO:0034375	high-density lipoprotein particle remodeling	3	2	0.02	0.00020
GO:0030947	regulation of vascular endothelial growth factor receptor signaling pathway	17	3	0.14	0.00033
GO:0043652	engulfment of apoptotic cell	5	2	0.04	0.00064
GO:0015918	sterol transport	63	9	0.51	0.00088
GO:0031579	membrane raft organization	6	2	0.05	0.00096
GO:0006689	ganglioside catabolic process	6	2	0.05	0.00096
GO:0006820	monoatomic anion transport	379	11	3.07	0.00132
GO:0006108	malate metabolic process	7	2	0.06	0.00134
GO:0045851	pH reduction	7	2	0.06	0.00134
GO:0032367	intracellular cholesterol transport	28	3	0.23	0.00148
GO:0015711	organic anion transport	265	8	2.15	0.00162
