GO.ID	Term	Annotated	Significant	Expected	P_value
GO:0005737	cytoplasm	9367	805	542.85	< 1e-30
GO:0005829	cytosol	1499	173	86.87	5.6e-14
GO:0005759	mitochondrial matrix	205	44	11.88	8.9e-12
GO:0005840	ribosome	216	53	12.52	9.6e-12
GO:0070062	extracellular exosome	604	78	35	1.9e-11
GO:0005743	mitochondrial inner membrane	313	56	18.14	1.5e-10
GO:0002199	zona pellucida receptor complex	7	7	0.41	2.2e-09
GO:0005832	chaperonin-containing T-complex	7	7	0.41	2.2e-09
GO:0005739	mitochondrion	1348	175	78.12	3.2e-08
GO:0032991	protein-containing complex	4112	333	238.3	9.0e-08
GO:0022625	cytosolic large ribosomal subunit	16	8	0.93	1.0e-06
GO:0005912	adherens junction	187	27	10.84	1.1e-05
GO:0005885	Arp2/3 protein complex	4	4	0.23	1.1e-05
GO:0005839	proteasome core complex	17	10	0.99	3.1e-05
GO:0015629	actin cytoskeleton	369	57	21.38	4.0e-05
GO:0042470	melanosome	82	15	4.75	6.5e-05
GO:0019773	proteasome core complex, alpha-subunit complex	9	5	0.52	6.7e-05
GO:0030126	COPI vesicle coat	9	5	0.52	6.7e-05
GO:0043186	P granule	19	5	1.1	0.00015
GO:0030127	COPII vesicle coat	6	4	0.35	0.00015
GO:0030018	Z disc	90	15	5.22	0.00019
GO:0097452	GAIT complex	3	3	0.17	0.00019
GO:0005811	lipid droplet	30	8	1.74	0.00023
GO:0005856	cytoskeleton	1856	155	107.56	0.00030
GO:0010494	cytoplasmic stress granule	12	5	0.7	0.00036
GO:0030131	clathrin adaptor complex	38	9	2.2	0.00037
GO:0005852	eukaryotic translation initiation factor 3 complex	18	6	1.04	0.00038
GO:0005793	endoplasmic reticulum-Golgi intermediate compartment	45	13	2.61	0.00040
GO:0030016	myofibril	140	30	8.11	0.00061
GO:0045169	fusome	8	4	0.46	0.00065
GO:0033116	endoplasmic reticulum-Golgi intermediate compartment membrane	20	6	1.16	0.00072
GO:0005916	fascia adherens	4	3	0.23	0.00074
GO:0005845	mRNA cap binding complex	14	5	0.81	0.00083
GO:0044297	cell body	324	26	18.78	0.00108
GO:0030665	clathrin-coated vesicle membrane	36	10	2.09	0.00117
GO:0005844	polysome	22	6	1.27	0.00125
GO:0005747	mitochondrial respiratory chain complex I	23	6	1.33	0.00161
GO:0008287	protein serine/threonine phosphatase complex	40	8	2.32	0.00164
GO:0005788	endoplasmic reticulum lumen	153	19	8.87	0.00168
GO:0033290	eukaryotic 48S preinitiation complex	17	5	0.99	0.00223
GO:0016282	eukaryotic 43S preinitiation complex	17	5	0.99	0.00223
GO:0005790	smooth endoplasmic reticulum	14	5	0.81	0.00266
GO:0033391	chromatoid body	11	4	0.64	0.00266
GO:0071013	catalytic step 2 spliceosome	53	9	3.07	0.00315
GO:0017101	aminoacyl-tRNA synthetase multienzyme complex	2	2	0.12	0.00336
GO:0005853	eukaryotic translation elongation factor 1 complex	2	2	0.12	0.00336
GO:0008290	F-actin capping protein complex	6	3	0.35	0.00340
GO:0022627	cytosolic small ribosomal subunit	19	5	1.1	0.00380
GO:0031105	septin complex	7	3	0.41	0.00569
GO:0005758	mitochondrial intermembrane space	49	8	2.84	0.00671
GO:0022624	proteasome accessory complex	26	8	1.51	0.00695
GO:0008091	spectrin	8	3	0.46	0.00872
GO:0015934	large ribosomal subunit	39	13	2.26	0.00883
GO:0005881	cytoplasmic microtubule	34	7	1.97	0.00921
GO:0005925	focal adhesion	120	14	6.95	0.00962
GO:0016528	sarcoplasm	46	7	2.67	0.00963
GO:0042151	nematocyst	74	10	4.29	0.01007
GO:0005777	peroxisome	133	14	7.71	0.01201
GO:0001725	stress fiber	9	3	0.52	0.01252
GO:0002102	podosome	9	3	0.52	0.01252
GO:0016281	eukaryotic translation initiation factor 4F complex	9	3	0.52	0.01252
GO:0005869	dynactin complex	9	3	0.52	0.01252
GO:0030904	retromer complex	9	3	0.52	0.01252
GO:0005905	clathrin-coated pit	74	11	4.29	0.01335
GO:0031430	M band	36	6	2.09	0.01634
GO:0005838	proteasome regulatory particle	12	4	0.7	0.01709
GO:0031527	filopodium membrane	10	3	0.58	0.01713
GO:0005703	polytene chromosome puff	4	2	0.23	0.01861
GO:0071141	SMAD protein complex	4	2	0.23	0.01861
GO:0042645	mitochondrial nucleoid	28	5	1.62	0.02090
GO:0031594	neuromuscular junction	39	6	2.26	0.02364
GO:0043204	perikaryon	61	8	3.54	0.02388
GO:0030027	lamellipodium	142	16	8.23	0.02452
GO:0005783	endoplasmic reticulum	1183	104	68.56	0.02691
GO:0032587	ruffle membrane	52	7	3.01	0.02952
GO:0045334	clathrin-coated endocytic vesicle	20	5	1.16	0.02972
GO:0033017	sarcoplasmic reticulum membrane	6	3	0.35	0.02979
GO:0031143	pseudopodium	5	2	0.29	0.02984
GO:0005749	mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)	5	2	0.29	0.02984
GO:0032437	cuticular plate	5	2	0.29	0.02984
GO:0001726	ruffle	83	12	4.81	0.03089
GO:0016460	myosin II complex	14	4	0.81	0.03578
GO:0071203	WASH complex	13	3	0.75	0.03586
GO:0005952	cAMP-dependent protein kinase complex	13	3	0.75	0.03586
GO:0048471	perinuclear region of cytoplasm	373	31	21.62	0.03846
GO:0097610	cell surface furrow	33	5	1.91	0.03984
GO:0015935	small ribosomal subunit	42	9	2.43	0.04067
GO:0005774	vacuolar membrane	326	18	18.89	0.04290
GO:0032154	cleavage furrow	34	5	1.97	0.04457
GO:0008180	COP9 signalosome	24	4	1.39	0.04720
GO:0005874	microtubule	405	34	23.47	0.05086
GO:0005689	U12-type spliceosomal complex	15	3	0.87	0.05237
GO:0000775	chromosome, centromeric region	155	11	8.98	0.05379
GO:0030017	sarcomere	121	25	7.01	0.05634
GO:0030663	COPI-coated vesicle membrane	10	6	0.58	0.05770
GO:0045239	tricarboxylic acid cycle enzyme complex	8	3	0.46	0.05786
GO:0031164	contractile vacuolar membrane	1	1	0.06	0.05795
GO:0017177	glucosidase II complex	1	1	0.06	0.05795
GO:0043033	isoamylase complex	1	1	0.06	0.05795
GO:0005784	Sec61 translocon complex	1	1	0.06	0.05795
GO:0097197	tetraspanin-enriched microdomain	1	1	0.06	0.05795
GO:0014701	junctional sarcoplasmic reticulum membrane	1	1	0.06	0.05795
GO:0017133	mitochondrial electron transfer flavoprotein complex	1	1	0.06	0.05795
GO:0009505	plant-type cell wall	1	1	0.06	0.05795
GO:0035370	UBC13-UEV1A complex	1	1	0.06	0.05795
GO:0031372	UBC13-MMS2 complex	1	1	0.06	0.05795
GO:0030314	junctional membrane complex	1	1	0.06	0.05795
GO:0005859	muscle myosin complex	1	1	0.06	0.05795
