GO.ID	Term	Annotated	Significant	Expected	P_value
GO:0003735	structural constituent of ribosome	155	47	8.49	8.9e-23
GO:0003779	actin binding	381	74	20.87	5.3e-19
GO:0051082	unfolded protein binding	56	19	3.07	5.6e-11
GO:0051287	NAD binding	67	21	3.67	1.2e-10
GO:0032550	purine ribonucleoside binding	2606	210	142.73	2.1e-09
GO:0004298	threonine-type endopeptidase activity	17	10	0.93	3.2e-09
GO:0005525	GTP binding	406	52	22.24	1.0e-08
GO:0008237	metallopeptidase activity	378	31	20.7	1.8e-08
GO:0005200	structural constituent of cytoskeleton	65	17	3.56	4.9e-08
GO:0003924	GTPase activity	172	28	9.42	2.1e-07
GO:0004177	aminopeptidase activity	53	15	2.9	2.9e-07
GO:0008143	poly(A) binding	8	6	0.44	6.8e-07
GO:0004364	glutathione transferase activity	22	9	1.2	1.1e-06
GO:0003743	translation initiation factor activity	65	14	3.56	8.9e-06
GO:0030170	pyridoxal phosphate binding	96	17	5.26	1.6e-05
GO:0005198	structural molecule activity	453	86	24.81	2.0e-05
GO:0004075	biotin carboxylase activity	8	5	0.44	2.4e-05
GO:0051537	2 iron, 2 sulfur cluster binding	25	8	1.37	3.7e-05
GO:0002161	aminoacyl-tRNA editing activity	5	4	0.27	4.3e-05
GO:0003729	mRNA binding	70	15	3.83	7.8e-05
GO:0005524	ATP binding	2246	163	123.01	8.5e-05
GO:0004645	1,4-alpha-oligoglucan phosphorylase activity	7	5	0.38	0.00012
GO:0003746	translation elongation factor activity	16	6	0.88	0.00013
GO:0003755	peptidyl-prolyl cis-trans isomerase activity	30	8	1.64	0.00016
GO:0001758	retinal dehydrogenase activity	3	3	0.16	0.00016
GO:0004775	succinate-CoA ligase (ADP-forming) activity	3	3	0.16	0.00016
GO:0004353	glutamate dehydrogenase [NAD(P)+] activity	3	3	0.16	0.00016
GO:0017061	S-methyl-5-thioadenosine phosphorylase activity	3	3	0.16	0.00016
GO:0030060	L-malate dehydrogenase activity	3	3	0.16	0.00016
GO:0005516	calmodulin binding	184	23	10.08	0.00019
GO:0016405	CoA-ligase activity	30	11	1.64	0.00027
GO:0008137	NADH dehydrogenase (ubiquinone) activity	18	6	0.99	0.00028
GO:0051015	actin filament binding	88	14	4.82	0.00029
GO:0051920	peroxiredoxin activity	8	4	0.44	0.00052
GO:0034584	piRNA binding	4	3	0.22	0.00063
GO:0008097	5S rRNA binding	4	3	0.22	0.00063
GO:0008177	succinate dehydrogenase (ubiquinone) activity	4	3	0.22	0.00063
GO:0004658	propionyl-CoA carboxylase activity	4	3	0.22	0.00063
GO:0004616	phosphogluconate dehydrogenase (decarboxylating) activity	4	3	0.22	0.00063
GO:0031072	heat shock protein binding	48	9	2.63	0.00064
GO:0043546	molybdopterin cofactor binding	9	4	0.49	0.00090
GO:0016597	amino acid binding	119	18	6.52	0.00105
GO:0009055	electron transfer activity	77	17	4.22	0.00143
GO:0050660	flavin adenine dinucleotide binding	126	16	6.9	0.00144
GO:0016817	hydrolase activity, acting on acid anhydrides	1168	70	63.97	0.00149
GO:0050325	tauropine dehydrogenase activity	5	3	0.27	0.00151
GO:0004345	glucose-6-phosphate dehydrogenase activity	5	3	0.27	0.00151
GO:1900750	oligopeptide binding	5	3	0.27	0.00151
GO:0043295	glutathione binding	5	3	0.27	0.00151
GO:0030506	ankyrin binding	17	5	0.93	0.00174
GO:0016805	dipeptidase activity	26	6	1.42	0.00238
GO:0008802	betaine-aldehyde dehydrogenase activity	2	2	0.11	0.00300
GO:0003878	ATP citrate synthase activity	2	2	0.11	0.00300
GO:0005093	Rab GDP-dissociation inhibitor activity	2	2	0.11	0.00300
GO:0030791	arsenite methyltransferase activity	2	2	0.11	0.00300
GO:0030792	methylarsonite methyltransferase activity	2	2	0.11	0.00300
GO:0031681	G-protein beta-subunit binding	2	2	0.11	0.00300
GO:0004360	glutamine-fructose-6-phosphate transaminase (isomerizing) activity	2	2	0.11	0.00300
GO:0004363	glutathione synthase activity	2	2	0.11	0.00300
GO:0004823	leucine-tRNA ligase activity	2	2	0.11	0.00300
GO:0004301	epoxide hydrolase activity	2	2	0.11	0.00300
GO:0016212	kynurenine-oxoglutarate transaminase activity	2	2	0.11	0.00300
GO:0035613	RNA stem-loop binding	2	2	0.11	0.00300
GO:0010013	N-1-naphthylphthalamic acid binding	2	2	0.11	0.00300
GO:0036094	small molecule binding	3588	319	196.52	0.00300
GO:0042802	identical protein binding	732	61	40.09	0.00402
GO:0043022	ribosome binding	38	7	2.08	0.00411
GO:0036374	glutathione hydrolase activity	13	4	0.71	0.00430
GO:0003987	acetate-CoA ligase activity	7	3	0.38	0.00485
GO:0048039	ubiquinone binding	7	3	0.38	0.00485
GO:1901265	nucleoside phosphate binding	3189	283	174.66	0.00494
GO:0003756	protein disulfide isomerase activity	22	5	1.2	0.00589
