Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	21.4571061161342	20.6181185173327	21.7416068335979	22.6456269321009	20.9121473983605	20.2090785648242	NA	NA	NA	NA	NA	NA
AIPGENE10000	22.1892313324379	22.7921928710704	23.3274885363645	23.4962272439677	24.3097802515374	22.6324220826754	NA	NA	NA	NA	NA	NA
AIPGENE10018	23.5307174141012	23.9704788967494	23.9615968276418	23.6455819350864	24.2070416494942	23.6320446675654	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	22.7150258485572	21.9794695853543	22.4643599976826	NA	NA	NA	NA	NA	NA	25.8412128788175	NA
AIPGENE10117	24.1081637957221	23.8754110638562	24.2828707021946	23.8317252365909	24.8147927225109	22.6304750743664	NA	NA	NA	NA	NA	NA
AIPGENE10129	22.3182967094445	22.475725435836	22.7495196446699	24.1989843536779	24.4328739097262	NA	NA	NA	NA	NA	NA	NA
AIPGENE10135	19.67287532288	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	27.1092104249662	26.5302352601719	26.9267033415527	27.0006662832196	26.380914437012	26.5270630636281	27.6812795258511	26.657478217789	27.9095847894439	27.5135268722913	27.7864774958849	27.9959837282373
AIPGENE10179	NA	NA	NA	22.1828601767344	22.4010673622615	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	22.3618817093813	21.9035148598777	21.09151225729	22.9632665056031	22.9513546307239	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	23.5054246075659	23.1901355192977	23.2194844436294	23.7724591434927	23.8752188923169	22.6111513858937	NA	NA	NA	NA	NA	NA
AIPGENE10288	NA	NA	21.3539178174628	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10361	20.4515604514467	NA	21.5413443103731	22.2329031099183	22.1877126953055	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	NA	NA	NA	21.8192014449917	NA	22.5272497984523	27.0451485220256	25.7875073699408	27.9423652710846	NA	27.2581990609632	25.180225625584
AIPGENE10412	25.3168786133222	25.4154011431477	24.390199871032	25.7579889714807	26.087213511985	25.2567136814966	NA	NA	NA	NA	NA	NA
AIPGENE10493	27.8561969211305	27.7228134594365	28.0063557079859	28.2641115746784	28.611786411546	28.1092662650256	27.6794379714087	26.6130622886345	27.8091163747596	26.7099884443553	27.571833412594	26.0081420103791
AIPGENE10494	26.0233213132588	25.8019650312507	25.7251470161914	26.1594002295299	25.3165433034792	25.6215559982506	24.0493523232428	24.7655512617704	26.8521556005089	NA	NA	NA
AIPGENE10504	27.0422125143314	26.5414256906085	26.975147489236	27.036511818363	27.324056356919	26.9260144520881	30.5944398268591	29.2961536673747	30.2865578334554	30.45894922595	29.9449688024214	29.9010928695551
AIPGENE10518	23.232941273257	24.573663845486	24.4645329289342	25.6460415308507	24.9439915767905	24.7193392665467	NA	NA	NA	NA	NA	NA
AIPGENE10519	24.2934855760536	23.574788354802	23.6213058473723	23.2445030093793	23.1112756802513	23.1471077452665	26.4069481430347	25.2949290362275	25.6682569548783	NA	25.6785421847316	25.7713953650622
AIPGENE1052	19.8125361768231	19.066824701351	19.6403135432261	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10527	25.1673707387231	23.2969238678228	24.2022358631068	24.1467838270319	26.0612991169233	NA	NA	NA	NA	NA	NA	NA
AIPGENE10529	19.4820716545652	21.2601011804383	22.2268001723452	22.7082853712543	22.2119322202178	21.6249681469725	NA	NA	NA	NA	NA	NA
AIPGENE10532	23.5626037986219	22.7011628743688	23.3628267341936	24.4117029497461	24.0791972365606	22.5047449843152	NA	NA	NA	NA	NA	NA
AIPGENE10535	24.2950816318015	25.3489402028104	24.9833865802105	25.6483149635909	25.1066613785864	24.7088007063793	NA	NA	NA	NA	NA	NA
AIPGENE10546	20.9147619581008	NA	NA	21.6569999735778	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10560	23.0739640836462	23.253351953339	22.7556361280193	22.3477060975626	22.1627868402938	23.1573042058367	NA	NA	NA	NA	NA	NA
AIPGENE10564	24.1773904734077	22.9443417873892	23.7076819468464	24.8369727796963	24.330399307598	23.9849857536131	28.3478102231643	27.2300314227061	27.7937097584061	27.9385136773252	27.8798278587318	27.0236340573812
AIPGENE10586	25.0953820588947	25.3325004844998	25.3422581317387	25.6153597797284	24.7251863281138	24.7436150184635	NA	NA	NA	NA	NA	NA
AIPGENE10587	28.8770198618605	28.4070866268167	28.4820093169725	28.9975870919498	28.4238576277309	28.2234379921219	27.2287735454364	26.1422947471285	27.039614138934	26.2593600650879	25.7501373561967	25.6293389832112
AIPGENE10606	27.334106007862	26.6606923250116	26.9519650251638	27.1749910657202	26.7464906861527	26.5633147981576	26.0810602040308	25.3141453111193	NA	25.924752044285	25.3530956222405	26.4145717849586
AIPGENE10618	30.321234973753	30.3617040897676	29.9816748196424	30.549195331283	30.1913172547001	30.5449232888626	25.8852915660051	NA	27.327034119388	26.7019073879097	25.9279504571592	25.8167371422176
AIPGENE10619	23.0697069385392	21.7038128522547	22.0408744364647	20.9611959936095	21.7136402555569	NA	NA	NA	NA	NA	NA	NA
AIPGENE10623	25.2692724259287	25.0855380219508	25.264092517465	25.5459369574477	24.9967611594986	25.4300456595279	NA	NA	NA	NA	NA	NA
AIPGENE10649	21.3559623760359	21.6055228101109	22.4398661375141	NA	22.5642129523275	NA	NA	NA	NA	NA	NA	NA
AIPGENE10659	29.3676027556077	29.1006469553994	29.265985405411	29.6345342274283	29.5778540987369	28.8499607872626	25.1966846252374	26.186978200597	27.296341770925	NA	24.3908951093805	25.7537612084192
AIPGENE10679	22.1282635752341	NA	22.8201467461275	22.5906309302664	22.0397032529118	21.57228755999	NA	NA	NA	NA	NA	NA
AIPGENE10686	NA	NA	NA	NA	NA	NA	NA	25.2505498161509	NA	NA	23.3374993375047	NA
AIPGENE10708	NA	NA	NA	22.0568368524408	22.4103874210422	22.1772892966316	NA	NA	NA	NA	NA	NA
AIPGENE10716	24.8089428644781	24.3609786387093	24.241222094414	23.8992643450707	22.8769691492804	NA	27.2575373047992	26.6882548621102	26.7362156606259	27.309975749601	26.9120813866541	27.1756949047601
AIPGENE10764	25.6894616889269	25.6190033879541	25.7821195185911	26.421225168986	27.483896484927	25.5689779194564	24.6929092238451	NA	25.5080816913898	NA	NA	NA
AIPGENE10773	23.8966219636966	23.7587917983398	23.5853177335043	22.3826145673695	23.5790222522033	22.2913759118115	NA	NA	NA	NA	NA	NA
AIPGENE1080	25.2310042701911	24.930491779914	25.6400786351121	25.6810269808934	25.7304874253386	25.2409614568761	25.4597374721473	NA	25.4722399349259	NA	26.0800956365207	25.4646147371104
AIPGENE10885	24.0492558281074	23.8098609693468	NA	23.7960421667117	NA	23.3403181937609	26.5624143697288	25.5348470195923	NA	NA	NA	NA
AIPGENE10893	NA	NA	NA	NA	NA	NA	29.6339252392238	27.9865795971205	29.0028482676481	28.9567673862187	28.8263160749299	29.1291718774345
AIPGENE10895	NA	NA	NA	NA	22.0790154758966	NA	NA	NA	NA	NA	NA	NA
AIPGENE10899	24.4865903015706	23.2590437711986	23.1217642802526	23.3588100929942	22.2114083948043	21.6743571859168	NA	NA	NA	NA	NA	NA
AIPGENE10905	24.5284887816499	25.2004224400326	25.449387586615	26.2338225881968	26.0070537526444	25.9329136771224	29.5587398724837	28.6179780469893	29.2285168682723	30.1347637222741	29.078414696891	29.1954343160654
AIPGENE10921	NA	21.5104579135114	21.9760040617504	22.2664168454809	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE1093	23.5102485634392	23.4398665227808	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10935	22.182630562563	NA	23.1650367595853	21.0134566114116	21.9234644019119	NA	NA	NA	NA	NA	NA	NA
AIPGENE10940	20.5684354869095	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10966	24.6337729434759	24.8255543574991	24.9816890857911	25.2269874501979	25.0934978123575	24.4721043703369	NA	NA	NA	NA	NA	NA
AIPGENE10967	21.3182396220889	NA	21.6673708489694	22.1293340535839	22.2186005480724	NA	NA	NA	NA	NA	NA	NA
AIPGENE10977	NA	NA	NA	22.0650108209439	21.9510679402802	NA	NA	NA	NA	NA	NA	NA
AIPGENE10991	23.9992111334662	23.8118607993478	23.8373558712892	23.9706006493679	23.6768315524555	22.7693266801914	NA	NA	NA	NA	NA	NA
AIPGENE11011	21.8902616142468	NA	22.2104351258493	NA	21.4499508292184	NA	NA	NA	NA	NA	NA	NA
AIPGENE11057	24.5164696560874	23.8420359504519	24.7656992170375	24.1232454168855	24.5237245965033	24.5000057450151	26.1016607772917	25.3441840621192	27.21821948828	27.1428818696571	26.3537229441993	NA
AIPGENE11091	24.0106671267453	22.6023824556053	24.5817720907174	24.4402623837025	25.1711465054368	22.9238945223552	NA	NA	NA	NA	NA	NA
AIPGENE11099	NA	NA	NA	21.7559669252605	21.4189407314739	NA	NA	NA	26.2535584968525	NA	23.3682932435528	NA
AIPGENE11123	26.7843272842235	26.4879777112136	26.9940222021095	26.481141404787	26.8467899667189	26.5925232584321	30.7940537635726	29.6112240632973	30.0453423135754	31.1970287518753	30.7742540123844	30.8425184708394
AIPGENE11167	26.7587373964216	26.6426879047028	26.5398346848177	27.1448234426223	26.7306980040859	25.6760146146745	23.1626346823541	NA	25.7463958109697	NA	NA	NA
AIPGENE11186	23.7531108892438	23.4837474499288	23.7656187528473	24.0157814632508	23.8215502413203	23.246679871251	NA	NA	NA	NA	NA	NA
AIPGENE11193	22.9642485759684	23.0521857992544	23.8367827761074	22.8519211123601	23.5716077481362	NA	NA	NA	NA	NA	NA	NA
AIPGENE11223	20.5615796657912	NA	NA	NA	20.1222522969877	NA	NA	NA	NA	NA	NA	NA
AIPGENE11225	24.2900385436783	23.5092771850018	20.8887112226916	25.0065336661289	25.1972405050405	23.6742057036741	NA	NA	25.1663459396414	NA	NA	25.1992137538595
AIPGENE11237	24.0414772538245	20.9469093184187	23.8172172898917	23.6631422554399	NA	NA	24.2610590294225	NA	22.3268000372891	NA	NA	NA
AIPGENE11239	20.174891690977	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE1127	NA	NA	NA	22.2289405644278	24.4832761627951	NA	NA	NA	NA	NA	NA	NA
AIPGENE11276	26.2796484159022	26.5209202805668	25.2770803786155	24.112054466047	25.6351635971072	25.6886728993544	NA	NA	NA	NA	NA	NA
AIPGENE11286	27.3959520621545	27.3957162224466	26.4176147460689	25.2523767955877	25.7201860428574	26.785989054339	NA	25.3526492985471	NA	NA	NA	NA
AIPGENE11306	23.2099315163611	23.4988847857598	23.2769702672812	23.0091260515189	23.5280959177826	21.716181824335	NA	NA	NA	NA	NA	NA
AIPGENE11311	23.9086683782821	23.6432294133248	24.0043730368596	24.154629189209	24.1251618338514	NA	NA	NA	NA	NA	NA	NA
AIPGENE11320	21.9371107801604	20.5266325507592	21.5942026460139	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11341	23.215271714742	23.13703760597	22.6059880906206	24.274309847299	23.3421543626714	23.4212702088339	NA	NA	NA	NA	NA	NA
AIPGENE11352	21.2940383450359	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11356	22.385882896286	21.6230974854928	21.7572508272587	22.2926916954409	22.3897522449892	NA	26.543384816302	25.5063953546278	26.2218665151102	26.6593632766985	NA	26.5028837422632
AIPGENE11368	NA	NA	NA	NA	NA	NA	NA	24.7692781142628	25.6506702686722	25.7432109619893	23.9406073624565	25.5363390527459
AIPGENE11410	NA	NA	NA	22.7893023340566	NA	NA	23.9608935059349	23.5151977783477	NA	NA	NA	NA
AIPGENE11420	26.541510743775	26.7618611248934	26.9744630483346	27.3902455516025	26.513161971743	26.6525283122845	26.1226453307995	25.8125812714829	27.4306296366003	NA	NA	NA
AIPGENE11421	28.5147146440767	28.270923987466	28.3504659592342	28.4615739806743	28.2750441079538	27.6057667596107	24.8538338315636	26.4353643858377	27.1048067944419	25.9012158776902	25.9694193400381	25.6220610637738
AIPGENE1143	21.6322780351649	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11436	21.7071338211638	NA	22.2755789352071	22.9687366307245	22.1355326386813	NA	26.0576780335717	NA	NA	27.2810479257908	25.9022986553411	25.6728225947507
AIPGENE11440	24.2767804280312	23.6406932044108	23.2940117739243	24.4533898289663	23.1336481471907	23.1177196372388	NA	NA	NA	NA	NA	NA
AIPGENE11487	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.1730269280994	NA
AIPGENE11497	23.7529882448968	23.9084454371352	24.2679099045777	23.2675363713487	24.4245327169662	24.5432581649113	NA	NA	25.5738169720616	NA	NA	NA
AIPGENE11506	24.6969828432462	25.0624338312318	25.4154849326827	25.2818443305526	24.7869515931373	24.8723711234721	NA	NA	25.5833012418338	NA	NA	NA
AIPGENE11531	NA	NA	NA	NA	21.2917300571348	NA	NA	NA	NA	NA	NA	NA
AIPGENE11540	24.7242619710122	24.7119971343874	25.8257878524965	24.8738031112606	24.7992143990329	24.3303734353114	24.041461841952	24.7849257062716	25.0958852729396	NA	NA	NA
AIPGENE11551	22.352924227907	19.8532310525456	21.5115710087053	22.0821852131215	21.7146626184639	NA	26.7734468617928	26.291687841793	25.1458500758686	26.4499846175102	26.081478554706	26.4357037895919
