Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	22.9724803574784	21.9622630576774	22.9284501227299	23.5331464076558	21.9257462918395	20.7655805176592	NA	NA	NA	NA	NA	NA
AIPGENE10000	23.4930558484652	23.7770202950961	24.1484937601252	24.2485619235564	25.0382621974362	23.2213768943984	NA	NA	NA	NA	NA	NA
AIPGENE10018	24.5442145359916	24.8606531674894	24.7198567911894	24.3625875507218	24.9560387963844	24.0886897163707	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	23.7129645083682	23.1468978278879	23.3762386890598	NA	NA	NA	NA	NA	NA	23.4739495828335	NA
AIPGENE10117	25.0406112391034	24.7778245476552	25.0376923424469	24.5826920782708	25.4840852149191	23.2146212447617	NA	NA	NA	NA	NA	NA
AIPGENE10129	23.5986368080004	23.5219118370159	23.716567889192	24.9099913552753	25.1502821359403	NA	NA	NA	NA	NA	NA	NA
AIPGENE10135	21.0362003310589	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	27.7753436485865	27.1701695562938	27.5911195654812	27.5161243142874	27.010423647022	26.9233270508519	25.7060928763035	25.3421583966966	26.1771313758605	25.0376070322973	25.5250108195341	25.8517050972906
AIPGENE10179	NA	NA	NA	23.1694112234242	23.3946097236432	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	23.638241190876	23.0160454962087	22.3525685478628	23.7615236118251	23.8486585511028	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	24.5207550797693	24.0607960913944	24.0470053897885	24.5125027456971	24.664061558705	23.1933826955717	NA	NA	NA	NA	NA	NA
AIPGENE10288	NA	NA	22.5794504656318	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10361	21.8956651341483	NA	22.7381872832562	23.2177746843247	23.220034773813	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	NA	NA	NA	22.7142241738061	NA	23.144272536378	24.9084737254063	24.2428113228961	26.2067281853067	NA	25.0877581737272	22.4223572426815
AIPGENE10412	26.1805747330452	26.1511996946649	25.1636534247805	26.2990525369988	26.7158240925749	25.6093004067324	NA	NA	NA	NA	NA	NA
AIPGENE10493	28.4920419612893	28.2505840232281	28.5382261193156	28.6906788850997	29.1082258320899	28.152174910336	25.6845462538403	25.2556227636873	26.0441034304683	24.0985400075911	25.3211491691388	23.6266113706882
