Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	22.2359596210993	21.7431910946957	22.5742409347048	23.2216350777875	21.6482383057891	21.3714830332167	NA	NA	NA	NA	NA	NA
AIPGENE10000	22.9391953894124	23.7881074269826	24.0875967818479	24.0459030047591	24.9381523361474	23.6854031453278	NA	NA	NA	NA	NA	NA
AIPGENE10018	24.2277468206589	24.8963935046293	24.6927059073599	24.1906340610665	24.8386709669332	24.6398888740984	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	23.7155247646739	22.8012257000629	23.0459796986665	NA	NA	NA	NA	NA	NA	23.7314886207864	NA
AIPGENE10117	24.782407336095	24.8069734883248	24.9992872215529	24.3710148475655	25.4271538514842	23.6835440520332	NA	NA	NA	NA	NA	NA
AIPGENE10129	23.0631678841997	23.4904407782614	23.536059677796	24.7269045725978	25.0573434231846	NA	NA	NA	NA	NA	NA	NA
AIPGENE10135	20.5221340557448	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	27.6650335386385	27.3040791411572	27.5222115838559	27.4418536783994	26.9436231183057	27.4041859051363	27.1318151930631	26.1955378441855	27.8421608166109	25.9302143738293	26.990844835503	27.446198977797
AIPGENE10179	NA	NA	NA	22.7731943838496	23.0899534324657	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	23.105033032722	22.9522242493406	21.9538766121105	23.5294413519237	23.6227943495027	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	24.2034520609094	24.1624089862988	23.9845319536386	24.3135834793703	24.5173683449005	23.6650929034165	NA	NA	NA	NA	NA	NA
AIPGENE10288	NA	NA	22.2042817893173	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10361	21.2700924957317	NA	22.3831368567921	22.8216881172984	22.8833629788784	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	NA	NA	NA	22.4207935855465	NA	23.5849797996866	25.7541511108213	24.5026519141446	27.9120836243238	NA	26.1056965709144	22.1034996628698
AIPGENE10412	25.9434266187225	26.2554754033071	25.1017079916177	26.2376464410499	26.6592337108181	26.191197749281	NA	NA	NA	NA	NA	NA
AIPGENE10493	28.3825441650335	28.4258083189164	28.5524890747768	28.6661859725497	29.1037673499255	28.914946464748	27.1278269525976	26.1091083945995	27.6278554345789	24.5492775970753	26.6312014632399	23.6744117016894
AIPGENE10494	26.6219932952909	26.6190741950849	26.375605069962	26.6266310451222	25.9129968920365	26.539566013321	19.2661780424436	22.5140161789125	25.5865985384712	NA	NA	NA
AIPGENE10504	27.6006793460614	27.314604767351	27.5684402741981	27.476589528518	27.8568635916016	27.7851230833416	33.440824325422	31.3301656924599	32.9123922707159	30.9921279175144	30.6074695315188	31.0610071158218
AIPGENE10518	23.941720839681	25.4637442720676	25.1726416354173	26.12916460354	25.5522565749887	25.6780878837887	NA	NA	NA	NA	NA	NA
AIPGENE10519	24.9604163729023	24.5242102578288	24.3679771814893	23.8019715011869	23.7776452493279	24.1768487440686	24.3720053985049	23.5441382666484	23.0612690372925	NA	23.4589284081195	23.2252018996988
AIPGENE1052	20.656283933032	20.2840569785956	20.5690444045984	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10527	25.799818281349	24.2628532225419	24.922339990871	24.6763200391983	26.6341409078032	NA	NA	NA	NA	NA	NA	NA
AIPGENE10529	20.3388594446588	22.3470346709618	23.0372453157423	23.2823537737811	22.9068146460423	22.7234396817594	NA	NA	NA	NA	NA	NA
