Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	21.6643814839145	21.1918323069803	22.0616119018261	22.7497429696231	21.0253557722102	20.5538012156789	NA	NA	NA	NA	NA	NA
AIPGENE10000	22.3965067002184	23.3659066607181	23.6474936045928	23.60034328149	24.4229886253874	22.9771447335301	NA	NA	NA	NA	NA	NA
AIPGENE10018	23.7379927818818	24.544192686397	24.2816018958702	23.7496979726087	24.3202500233443	23.9767673184201	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	23.2887396382048	22.2994746535826	22.5684760352049	NA	NA	NA	NA	NA	NA	24.3873737383719	NA
AIPGENE10117	24.3154391635027	24.4491248535038	24.6028757704229	23.9358412741132	24.928001096361	22.975197725221	NA	NA	NA	NA	NA	NA
AIPGENE10129	22.525572077225	23.0494392254837	23.0695247128982	24.3031003912002	24.5460822835763	NA	NA	NA	NA	NA	NA	NA
AIPGENE10135	19.8801506906596	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	27.3164857927469	27.1039490498195	27.246708409781	27.104782320742	26.4941228108621	26.8717857144828	25.7683227747249	25.5289183908966	26.0008548265611	25.7258813415076	26.3326383554392	26.4664489063992
AIPGENE10179	NA	NA	NA	22.2869762142567	22.5142757361114	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	22.5691570771618	22.4772286495253	21.4115173255182	23.0673825431253	23.0645630045739	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	23.7126999753465	23.7638493089453	23.5394895118577	23.876575181015	23.9884272661669	22.9558740367484	NA	NA	NA	NA	NA	NA
AIPGENE10288	NA	NA	21.673922885691	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10361	20.6588358192267	NA	21.8613493786014	22.3370191474406	22.3009210691555	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	NA	NA	NA	21.9233174825139	NA	22.8719724493069	25.1321917708994	24.6589475430485	26.0336353082018	NA	25.8043599205175	23.6506908037459
AIPGENE10412	25.5241539811029	25.9891149327953	24.7102049392603	25.862105009003	26.2004218858351	25.6014363323512	NA	NA	NA	NA	NA	NA
AIPGENE10493	28.0634722889112	28.2965272490842	28.3263607762143	28.3682276122008	28.7249947853961	28.4539889158803	25.7664812202825	25.4845024617421	25.9003864118768	24.9223429135716	26.1179942721484	24.478607188541
AIPGENE10494	26.2305966810395	26.3756788208983	26.0451520844198	26.2635162670523	25.4297516773293	25.9662786491053	22.1363955721166	23.6369914348781	24.9434256376261	NA	NA	NA
AIPGENE10504	27.2494878821121	27.1151394802561	27.2951525574644	27.1406278558854	27.4372647307691	27.2707371029428	28.6814830757329	28.1675938404824	28.3778278705726	28.6713036951663	28.4911296619758	28.371558047717
AIPGENE10518	23.4402166410376	25.1473776351336	24.7845379971626	25.750157568373	25.0571999506406	25.0640619174014	NA	NA	NA	NA	NA	NA
AIPGENE10519	24.5007609438343	24.1485021444496	23.9413109156007	23.3486190469016	23.2244840541013	23.4918303961212	24.4939913919085	24.1663692093351	23.7595269919955	NA	24.2247030442859	24.2418605432241
AIPGENE1052	20.0198115446028	19.6405384909983	19.960318611454	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10527	25.3746461065038	23.8706376574704	24.5222409313352	24.2508998645543	26.1745074907734	NA	NA	NA	NA	NA	NA	NA
AIPGENE10529	19.6893470223446	21.8338149700859	22.5468052405735	22.8124014087766	22.3251405940678	21.9696907978272	NA	NA	NA	NA	NA	NA
AIPGENE10532	23.7698791664025	23.2748766640164	23.682831802422	24.5158189872684	24.1924056104107	22.8494676351698	NA	NA	NA	NA	NA	NA
AIPGENE10535	24.5023569995822	25.922653992458	25.3033916484388	25.7524310011133	25.2198697524364	25.053523357234	NA	NA	NA	NA	NA	NA
AIPGENE10546	21.122037325881	NA	NA	21.7611160110999	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10560	23.2812394514268	23.8270657429867	23.0756411962476	22.4518221350848	22.2759952141437	23.5020268566914	NA	NA	NA	NA	NA	NA
AIPGENE10564	24.3846658411884	23.5180555770369	24.0276870150748	24.9410888172187	24.4436076814481	24.3297084044678	26.4348534720381	26.1014715958138	25.8849797955233	26.1508681465415	26.4259887182862	25.4940992355431
AIPGENE10586	25.3026574266753	25.9062142741475	25.662263199967	25.7194758172508	24.8383947019638	25.0883376693182	NA	NA	NA	NA	NA	NA
AIPGENE10587	29.0842952296412	28.9808004164644	28.8020143852009	29.1017031294722	28.537066001581	28.5681606429766	25.3158167943102	25.0137349202361	25.1308841760512	24.4717145343042	24.2962982157511	24.0998041613731
AIPGENE10606	27.5413813756427	27.2344061146593	27.2719700933922	27.2791071032426	26.8596990600028	26.9080374490123	24.1681034529046	24.185585484227	NA	24.1371065135013	23.8992564817948	24.8850369631204
AIPGENE10618	30.5285103415337	30.9354178794153	30.3016798878708	30.6533113688053	30.3045256285502	30.8896459397173	23.9723348148789	NA	25.4183041565052	24.914261857126	24.4741113167136	24.2872023203795
AIPGENE10619	23.2769823063198	22.2775266419023	22.360879504693	21.0653120311315	21.8268486294068	NA	NA	NA	NA	NA	NA	NA
AIPGENE10623	25.4765477937094	25.6592518115985	25.5840975856934	25.65005299497	25.1099695333487	25.7747683103826	NA	NA	NA	NA	NA	NA
AIPGENE10649	21.5632377438162	22.1792365997585	22.7598712057424	NA	22.6774213261775	NA	NA	NA	NA	NA	NA	NA
AIPGENE10659	29.5748781233884	29.674360745047	29.5859904736394	29.7386502649507	29.691062472587	29.1946834381173	23.2837278741112	25.0584183737047	25.3876118080422	NA	22.9370559689349	24.2242263865811
AIPGENE10679	22.3355389430146	NA	23.1401518143558	22.6947469677887	22.1529116267618	21.9170102108447	NA	NA	NA	NA	NA	NA
AIPGENE10686	NA	NA	NA	NA	NA	NA	NA	24.1219899892586	NA	NA	21.883660197059	NA
AIPGENE10708	NA	NA	NA	22.160952889963	22.5235957948922	22.5220119474863	NA	NA	NA	NA	NA	NA
AIPGENE10716	25.0162182322588	24.934692428357	24.5612271626424	24.003380382593	22.9901775231304	NA	25.344580553673	25.5596950352179	24.8274856977431	25.5223302188173	25.4582422462085	25.646160082922
AIPGENE10764	25.8967370567076	26.1927171776018	26.1021245868195	26.5253412065083	27.5971048587771	25.9137005703111	22.7799524727189	NA	23.599351728507	NA	NA	NA
AIPGENE10773	24.1038973314772	24.3325055879874	23.9053228017327	22.4867306048917	23.6922306260534	22.6360985626662	NA	NA	NA	NA	NA	NA
AIPGENE1080	25.4382796379717	25.5042055695617	25.9600837033404	25.7851430184158	25.8436957991887	25.5856841077308	23.5467807210211	NA	23.5635099720431	NA	24.6262564960751	23.9350799152723
AIPGENE10885	24.256531195888	24.3835747589945	NA	23.900158204234	NA	23.6850408446155	24.6494576186026	24.4062871926999	NA	NA	NA	NA
AIPGENE10893	NA	NA	NA	NA	NA	NA	27.7209684880976	26.8580197702282	27.0941183047653	27.169121855435	27.3724769344842	27.5996370555964
AIPGENE10895	NA	NA	NA	NA	22.1922238497465	NA	NA	NA	NA	NA	NA	NA
AIPGENE10899	24.6938656693513	23.8327575608462	23.4417693484809	23.4629261305165	22.3246167686542	22.0190798367715	NA	NA	NA	NA	NA	NA
AIPGENE10905	24.7357641494306	25.7741362296803	25.7693926548433	26.3379386257191	26.1202621264945	26.2776363279771	27.6457831213575	27.4894182200969	27.3197869053895	28.3471181914904	27.6245755564454	27.6658994942273
AIPGENE10921	NA	22.084171703159	22.2960091299786	22.3705328830032	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE1093	23.7175239312198	24.0135803124284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10935	22.3899059303434	NA	23.4850418278137	21.1175726489337	22.0366727757618	NA	NA	NA	NA	NA	NA	NA
AIPGENE10940	20.7757108546895	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10966	24.8410483112566	25.3992681471468	25.3016941540194	25.3311034877203	25.2067061862075	24.8168270211916	NA	NA	NA	NA	NA	NA
AIPGENE10967	21.5255149898692	NA	21.9873759171976	22.2334500911061	22.3318089219223	NA	NA	NA	NA	NA	NA	NA
AIPGENE10977	NA	NA	NA	22.1691268584661	22.0642763141301	NA	NA	NA	NA	NA	NA	NA
AIPGENE10991	24.2064865012469	24.3855745889954	24.1573609395176	24.0747166868902	23.7900399263055	23.1140493310461	NA	NA	NA	NA	NA	NA
AIPGENE11011	22.0975369820272	NA	22.5304401940776	NA	21.5631592030682	NA	NA	NA	NA	NA	NA	NA
AIPGENE11057	24.7237450238681	24.4157497400995	25.0857042852659	24.2273614544078	24.6369329703533	24.8447283958698	24.1887040261655	24.2156242352269	25.3094895253972	25.3552363388734	24.8998838037536	NA
AIPGENE11091	24.217942494526	23.176096245253	24.9017771589457	24.5443784212248	25.2843548792869	23.2686171732098	NA	NA	NA	NA	NA	NA
AIPGENE11099	NA	NA	NA	21.8600829627827	21.5321491053238	NA	NA	NA	24.3448285339697	NA	21.9144541031072	NA
AIPGENE11123	26.9916026520042	27.0616915008613	27.3140272703379	26.5852574423093	26.959998340569	26.9372459092867	28.8810970124464	28.482664236405	28.1366123506926	29.4093832210916	29.3204148719387	29.3129836490013
AIPGENE11167	26.9660127642023	27.2164016943505	26.8598397530461	27.2489394801446	26.843906377936	26.0207372655291	21.2496779312279	NA	23.8376658480869	NA	NA	NA
