Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	22.2316791118478	21.4989938847275	22.5111492897507	23.3128959696612	21.6470145691764	20.925804322729	NA	NA	NA	NA	NA	NA
AIPGENE10000	22.9638043281516	23.6730682384652	24.0970309925172	24.163496281528	25.0446474223533	23.3491478405802	NA	NA	NA	NA	NA	NA
AIPGENE10018	24.3052904098149	24.8513542641442	24.7311392837946	24.3128509726467	24.9419088203101	24.3487704254702	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	23.595901215952	22.7490120415071	23.131629035243	NA	NA	NA	NA	NA	NA	23.2903409295372	NA
AIPGENE10117	24.8827367914358	24.756286431251	25.0524131583474	24.4989942741512	25.5496598933268	23.3472008322712	NA	NA	NA	NA	NA	NA
AIPGENE10129	23.0928697051581	23.3566008032308	23.5190621008227	24.8662533912382	25.1677410805421	NA	NA	NA	NA	NA	NA	NA
AIPGENE10135	20.4474483185937	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	27.8837834206799	27.4111106275666	27.6962457977055	27.66793532078	27.1157816078279	27.2437888215329	25.5301466136398	25.2942122443162	26.6300769745538	24.6551521402059	25.2356055466046	25.5970595785499
AIPGENE10179	NA	NA	NA	22.8501292142948	23.1359345330774	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	23.136454705095	22.7843902272725	21.8610547134428	23.6305355431634	23.6862218015398	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	24.2799976032796	24.0710108866925	23.9890268997822	24.439728181053	24.6100860631328	23.3278771437985	NA	NA	NA	NA	NA	NA
AIPGENE10288	NA	NA	22.1234602736156	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10361	21.2261334471604	NA	22.3108867665259	22.9001721474787	22.9225798661214	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	NA	NA	NA	22.486470482552	NA	23.2439755563571	24.8940156098144	24.4242413964681	26.6628574561944	NA	24.7073271116829	22.7813014758967
AIPGENE10412	26.0914516090358	26.2962765105424	25.1597423271848	26.425258009041	26.8220806828009	25.9734394394014	NA	NA	NA	NA	NA	NA
AIPGENE10493	28.6307699168442	28.6036888268313	28.7758981641387	28.9313806122388	29.3466535823619	28.8259920229305	25.5283050591974	25.2497963151617	26.5296085598694	23.8516137122699	25.0209614633138	23.6092178606918
AIPGENE10494	26.7978943089725	26.6828403986454	26.4946894723442	26.8266692670902	26.0514104742951	26.3382817561554	21.8982194110315	23.4022852882977	25.5726477856187	NA	NA	NA
AIPGENE10504	27.8167855100451	27.4223010580032	27.7446899453888	27.7037808559234	28.0589235277349	27.6427402099929	28.4433069146479	27.932887693902	29.0070500185652	27.6005744938646	27.3940968531411	27.5021687198678
AIPGENE10518	24.0075142689706	25.4545392128807	25.234075385087	26.313310568411	25.6788587476064	25.4360650244515	NA	NA	NA	NA	NA	NA
AIPGENE10519	25.0680585717673	24.4556637221967	24.3908483035251	23.9117720469396	23.8461428510672	23.8638335031714	24.2558152308235	23.9316630627547	24.3887491399881	NA	23.1276702354513	23.3724712153748
