Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	21.9769256586998	20.8909103617829	22.1348939702346	23.0986952970631	21.3643282240508	20.1574267164682	NA	NA	NA	NA	NA	NA
AIPGENE10000	22.7090508750036	23.0649847155206	23.7207756730012	23.9492956089299	24.7619610772277	22.5807702343194	NA	NA	NA	NA	NA	NA
AIPGENE10018	24.0505369566669	24.2432707411996	24.3548839642786	24.0986503000485	24.6592224751846	23.5803928192095	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	22.9878176930074	22.3727567219911	22.9174283626448	NA	NA	NA	NA	NA	NA	24.1970253100356	NA
AIPGENE10117	24.6279833382878	24.1482029083064	24.6761578388313	24.2847936015531	25.2669735482012	22.5788232260104	NA	NA	NA	NA	NA	NA
AIPGENE10129	22.8381162520101	22.7485172802862	23.1428067813067	24.65205271864	24.8850547354165	NA	NA	NA	NA	NA	NA	NA
AIPGENE10135	20.1926948654457	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	27.6290299675319	26.8030271046221	27.3199904781894	27.4537346481818	26.8330952627023	26.4754112152721	26.4097508540775	25.3563243769061	26.9171287335959	25.7088746313161	26.142289927103	26.411297171204
AIPGENE10179	NA	NA	NA	22.6359285416966	22.8532481879518	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	22.881701251947	22.1763067043279	21.4847993939268	23.4163348705652	23.4035354564142	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	24.0252441501316	23.4629273637479	23.6127715802661	24.2255275084549	24.3273997180072	22.5594995375377	NA	NA	NA	NA	NA	NA
AIPGENE10288	NA	NA	21.7472049540996	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10361	20.9713799940124	NA	21.9346314470099	22.6859714748805	22.6398935209958	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	NA	NA	NA	22.2722698099539	NA	22.4755979500963	25.773619850252	24.4863535290579	26.9499092152365	NA	25.6140114921813	23.5955390685508
AIPGENE10412	25.8366981558879	25.6881929875978	24.7834870076687	26.2110573364428	26.5393943376753	25.2050618331406	NA	NA	NA	NA	NA	NA
AIPGENE10493	28.3760164636962	27.9956053038867	28.3996428446226	28.7171799396406	29.0639672372363	28.0576144166697	26.407909299635	25.3119084477516	26.8166603189115	24.9053362033801	25.9276458438121	24.4234554533459
AIPGENE10494	26.5431408558245	26.0747568757009	26.1184341528281	26.6124685944921	25.7687241291695	25.5699041498946	22.7778236514692	23.4643974208875	25.8596995446608	NA	NA	NA
AIPGENE10504	27.5620320568971	26.8142175350586	27.3684346258728	27.4895801833252	27.7762371826093	26.8743626037322	29.3229111550855	27.9949998264918	29.2941017776073	28.6542969849748	28.3007812336395	28.3164063125218
AIPGENE10518	23.7527608158226	24.8464556899361	24.857820065571	26.0991098958129	25.3961724024808	24.6676874181907	NA	NA	NA	NA	NA	NA
AIPGENE10519	24.8133051186193	23.8475801992522	24.0145929840091	23.6975713743414	23.5634565059416	23.0954558969106	25.1354194712611	23.9937751953446	24.6758008990302	NA	24.0343546159496	24.1867088080289
AIPGENE1052	20.3323557193888	19.3396165458012	20.0336006798629	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10527	25.6871902812888	23.569715712273	24.5955229997436	24.5998521919941	26.5134799426136	NA	NA	NA	NA	NA	NA	NA
AIPGENE10529	20.0018911971309	21.5328930248885	22.620087308982	23.1613537362165	22.6641130459081	21.5733162986166	NA	NA	NA	NA	NA	NA
AIPGENE10532	24.0824233411875	22.973954718819	23.7561138708304	24.8647713147082	24.5313780622509	22.4530931359592	NA	NA	NA	NA	NA	NA
AIPGENE10535	24.8149011743672	25.6217320472606	25.3766737168472	26.1013833285531	25.5588422042767	24.6571488580234	NA	NA	NA	NA	NA	NA
AIPGENE10546	21.4345815006664	NA	NA	22.1100683385399	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10560	23.5937836262119	23.5261437977892	23.1489232646561	22.8007744625247	22.6149676659841	23.1056523574808	NA	NA	NA	NA	NA	NA
AIPGENE10564	24.6972100159734	23.2171336318394	24.1009690834832	25.2900411446585	24.7825801332883	23.9333339052572	27.0762815513907	25.9288775818232	26.801253702558	26.13386143635	26.2356402899499	25.4389475003479
AIPGENE10586	25.6152016014603	25.60529232895	25.7355452683754	26.0684281446906	25.1773671538041	24.6919631701075	NA	NA	NA	NA	NA	NA
AIPGENE10587	29.3968394044262	28.6798784712669	28.8752964536093	29.450655456912	28.8760384534212	28.1717861437659	25.9572448736627	24.8411409062456	26.047158083086	24.4547078241128	24.1059497874148	24.0446524261779
AIPGENE10606	27.8539255504277	26.9334841694618	27.3452521618006	27.6280594306824	27.198671511843	26.5116629498016	24.8095315322571	24.0129914702364	NA	24.1200998033098	23.7089080534585	24.8298852279253
AIPGENE10618	30.8410545163187	30.6344959342178	30.3749619562792	31.0022636962451	30.6434980803904	30.4932714405066	24.6137628942315	NA	26.3345780635399	24.8972551469345	24.2837628883773	24.2320505851843
AIPGENE10619	23.5895264811049	21.9766046967049	22.4341615731015	21.4142643585716	22.1658210812472	NA	NA	NA	NA	NA	NA	NA
AIPGENE10623	25.7890919684944	25.358329866401	25.6573796541018	25.9990053224098	25.4489419851889	25.378393811172	NA	NA	NA	NA	NA	NA
AIPGENE10649	21.8757819186015	21.8783146545611	22.8331532741508	NA	23.0163937780178	NA	NA	NA	NA	NA	NA	NA
AIPGENE10659	29.8874222981733	29.3734387998496	29.6592725420477	30.0876025923905	30.0300349244272	28.7983089389066	23.9251559534638	24.8858243597141	26.303885715077	NA	22.7467075405986	24.1690746513859
AIPGENE10679	22.6480831177998	NA	23.2134338827642	23.0436992952286	22.4918840786021	21.5206357116341	NA	NA	NA	NA	NA	NA
AIPGENE10686	NA	NA	NA	NA	NA	NA	NA	23.949395975268	NA	NA	21.6933117687228	NA
AIPGENE10708	NA	NA	NA	22.509905217403	22.8625682467325	22.1256374482756	NA	NA	NA	NA	NA	NA
AIPGENE10716	25.3287624070438	24.6337704831595	24.6345092310508	24.3523327100329	23.3291499749707	NA	25.9860086330255	25.3871010212273	25.7437596047779	25.5053235086258	25.2678938178722	25.5910083477268
AIPGENE10764	26.2092812314926	25.8917952324043	26.1754066552279	26.8742935339481	27.9360773106174	25.5173260711004	23.4213805520715	NA	24.5156256355417	NA	NA	NA
AIPGENE10773	24.4164415062623	24.03158364279	23.9786048701411	22.8356829323317	24.0312030778936	22.2397240634556	NA	NA	NA	NA	NA	NA
AIPGENE1080	25.7508238127567	25.2032836243642	26.0333657717488	26.1340953458556	26.182668251029	25.1893096085202	24.1882088003737	NA	24.4797838790779	NA	24.4359080677388	23.8799281800771
AIPGENE10885	24.5690753706731	24.082652813797	NA	24.2491105316739	NA	23.2886663454049	25.2908856979551	24.2336931787094	NA	NA	NA	NA
AIPGENE10893	NA	NA	NA	NA	NA	NA	28.3623965674502	26.6854257562376	28.0103922118	27.1521151452436	27.1821285061479	27.5444853204012
AIPGENE10895	NA	NA	NA	NA	22.5311963015869	NA	NA	NA	NA	NA	NA	NA
AIPGENE10899	25.0064098441363	23.5318356156488	23.5150514168893	23.8118784579563	22.6635892204946	21.6227053375608	NA	NA	NA	NA	NA	NA
AIPGENE10905	25.0483083242156	25.4732142844828	25.8426747232517	26.6868909531589	26.4592345783348	25.8812618287664	28.2872112007101	27.3168242061064	28.2360608124243	28.330111481299	27.4342271281091	27.6107477590321
AIPGENE10921	NA	21.7832497579616	22.3692911983871	22.7194852104431	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE1093	24.0300681060049	23.712658367231	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10935	22.7024501051286	NA	23.5583238962221	21.4665249763738	22.3756452276022	NA	NA	NA	NA	NA	NA	NA
AIPGENE10940	21.0882550294751	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10966	25.1535924860416	25.0983462019493	25.3749762224278	25.6800558151601	25.5456786380478	24.4204525219809	NA	NA	NA	NA	NA	NA
AIPGENE10967	21.8380591646545	NA	22.0606579856061	22.5824024185461	22.6707813737627	NA	NA	NA	NA	NA	NA	NA
AIPGENE10977	NA	NA	NA	22.518079185906	22.4032487659705	NA	NA	NA	NA	NA	NA	NA
AIPGENE10991	24.5190306760319	24.0846526437979	24.230643007926	24.42366901433	24.1290123781458	22.7176748318354	NA	NA	NA	NA	NA	NA
AIPGENE11011	22.4100811568124	NA	22.603722262486	NA	21.9021316549087	NA	NA	NA	NA	NA	NA	NA
AIPGENE11057	25.0362891986531	24.1148277949021	25.1589863536743	24.5763137818477	24.9759054221936	24.4483538966591	24.8301321055181	24.0430302212363	26.2257634324319	25.338229628682	24.7095353754174	NA
AIPGENE11091	24.530486669311	22.8751743000555	24.9750592273541	24.8933307486646	25.6233273311271	22.8722426739992	NA	NA	NA	NA	NA	NA
AIPGENE11099	NA	NA	NA	22.2090352902227	21.8711215571642	NA	NA	NA	25.2611024410045	NA	21.7241056747709	NA
AIPGENE11123	27.3041468267892	26.7607695556638	27.3873093387462	26.9342097697491	27.2989707924092	26.5408714100761	29.522525091799	28.3100702224144	29.0528862577274	29.3923765109001	29.1300664436024	29.2578319138061
AIPGENE11167	27.2785569389873	26.915479749153	26.9331218214544	27.5978918075844	27.1828788297762	25.6243627663185	21.8911060105804	NA	24.7539397551217	NA	NA	NA
AIPGENE11186	24.2729304318095	23.7565392943789	24.1589058894841	24.468849828213	24.2737310670106	23.195028022895	NA	NA	NA	NA	NA	NA
AIPGENE11193	23.4840681185341	23.3249776437046	24.2300699127441	23.3049894773223	24.0237885738265	NA	NA	NA	NA	NA	NA	NA
AIPGENE11223	21.0813992083568	NA	NA	NA	20.574433122678	NA	NA	NA	NA	NA	NA	NA
AIPGENE11225	24.809858086244	23.782069029452	21.2819983593283	25.4596020310911	25.6494213307309	23.6225538553182	NA	NA	24.1738898837934	NA	NA	23.6145271968262
