Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	22.4662227252181	21.5715585743249	22.5246140411667	23.4321343326433	21.735508903101	20.5885379708121	NA	NA	NA	NA	NA	NA
AIPGENE10000	23.1983479415219	23.7456329280626	24.1104957439333	24.2827346445101	25.1331417562779	23.0118814886633	NA	NA	NA	NA	NA	NA
AIPGENE10018	24.5398340231852	24.9239189537415	24.7446040352107	24.4320893356287	25.0304031542348	24.0115040735533	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	23.6684659055494	22.7624767929232	23.250867398225	NA	NA	NA	NA	NA	NA	23.6686053153029	NA
AIPGENE10117	25.1172804048061	24.8288511208483	25.0658779097634	24.6182326371333	25.6381542272515	23.0099344803543	NA	NA	NA	NA	NA	NA
AIPGENE10129	23.3274133185284	23.4291654928282	23.5325268522388	24.9854917542202	25.2562354144667	NA	NA	NA	NA	NA	NA	NA
AIPGENE10135	20.681991931964	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	28.1183270340502	27.483675317164	27.7097105491215	27.787173683762	27.2042759417525	26.906522469616	25.5177418677454	25.195015005421	25.8864643313249	25.0312350767649	25.6138699323702	25.9375248792604
AIPGENE10179	NA	NA	NA	22.9693675772768	23.224428867002	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	23.3709983184653	22.8569549168699	21.8745194648589	23.7497739061454	23.7747161354644	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	24.5145412166499	24.1435755762899	24.0024916511983	24.5589665440351	24.6985803970574	22.9906107918816	NA	NA	NA	NA	NA	NA
AIPGENE10288	NA	NA	22.1369250250317	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10361	21.4606770605307	NA	22.324351517942	23.0194105104607	23.0110742000461	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	NA	NA	NA	22.6057088455341	NA	22.9067092044402	24.88161086392	24.3250441575729	25.9192448129655	NA	25.0855914974485	23.1217667766072
AIPGENE10412	26.3259952224062	26.3688412001398	25.1732070786008	26.544496372023	26.9105750167256	25.6361730874845	NA	NA	NA	NA	NA	NA
AIPGENE10493	28.8653135302145	28.6762535164287	28.7893629155547	29.0506189752208	29.4351479162865	28.4887256710136	25.515900313303	25.1505990762665	25.7859959166405	24.227696648829	25.3992258490794	23.9496831614023
AIPGENE10494	27.0324379223428	26.7554050882428	26.5081542237603	26.9459076300723	26.1399048082198	26.0010154042385	21.8858146651371	23.3030880494025	24.8290351423898	NA	NA	NA
AIPGENE10504	28.0513291234154	27.4948657476006	27.7581546968049	27.8230192189054	28.1474178616596	27.305473858076	28.4309021687535	27.8336904550067	28.2634373753363	27.9766574304236	27.7723612389067	27.8426340205782
AIPGENE10518	24.2420578823409	25.5271039024781	25.2475401365031	26.4325489313931	25.7673530815311	25.0987986725346	NA	NA	NA	NA	NA	NA
AIPGENE10519	25.3026021851376	24.5282284117941	24.4043130549412	24.0310104099216	23.9346371849919	23.5265671512545	24.2434104849291	23.8324658238595	23.6451364967592	NA	23.5059346212169	23.7129365160853
AIPGENE1052	20.8216527859071	20.0202647583431	20.423320750795	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10527	26.1764873478071	24.2503639248149	24.9852430706757	24.9332912275743	26.8846606216639	NA	NA	NA	NA	NA	NA	NA
AIPGENE10529	20.4911882636492	22.2135412374304	23.0098073799141	23.4947927717967	23.0352937249584	22.0044275529604	NA	NA	NA	NA	NA	NA
AIPGENE10532	24.5717204077058	23.6546029313609	24.1458339417625	25.1982103502884	24.9025587413012	22.8842043903031	NA	NA	NA	NA	NA	NA
AIPGENE10535	25.3041982408855	26.3023802598026	25.7663937877793	26.4348223641333	25.9300228833269	25.0882601123673	NA	NA	NA	NA	NA	NA
AIPGENE10546	21.9238785671847	NA	NA	22.4435073741201	NA	NA	NA	NA	NA	NA	NA	NA
