Protein.ID	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10	4924955	2963753.2	5977659.5	10420318	3283981.5	1992025	NA	NA	NA	NA	NA	NA
AIPGENE10000	8180765	13375303	17944408	18790450	34609084	10685476	NA	NA	NA	NA	NA	NA
AIPGENE10018	20731058	30269348	27849330	20839986	32230178	21365362	NA	NA	NA	NA	NA	NA
AIPGENE10063	NA	12678680	7049121.5	9189972	NA	NA	NA	NA	NA	NA	10258674	NA
AIPGENE10117	30935002	28339018	34795880	23710032	49114984	10671065	NA	NA	NA	NA	NA	NA
AIPGENE10129	8946362	10740820	12021071	30583568	37691636	NA	NA	NA	NA	NA	NA	NA
AIPGENE10135	1429865.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10143	247659620	178470530	217470700	213244800	145433220	158926980	48455148	41144956	103860870	26420458	39507016	50755456
AIPGENE10179	NA	NA	NA	7560914	9217439	NA	NA	NA	NA	NA	NA	NA
AIPGENE10188	9220763	7224119	3809195	12986736	13497808	NA	NA	NA	NA	NA	NA	NA
AIPGENE10274	20370776	17623668	16650093	22755756	25607908	10529088	NA	NA	NA	NA	NA	NA
AIPGENE10288	NA	NA	4569042	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10361	2453030	NA	5202908	7827782	7950311	NA	NA	NA	NA	NA	NA	NA
AIPGENE1040	NA	NA	NA	5876275	NA	9934222	31177796	22512788	106247780	NA	27393440	7208669
AIPGENE10412	71500580	82407740	37483240	90114630	118645380	65884668	NA	NA	NA	NA	NA	NA
AIPGENE10493	415643070	407913730	459630140	511933300	682689150	475869920	48393336	39897536	96874160	15137396	34045516	12796251
AIPGENE10494	116672904	107729670	94557560	119023340	69543410	84842380	3908597	11086382	49903850	NA	NA	NA
AIPGENE10504	236421420	179860240	224897120	218609500	279626050	209553040	364996380	256234180	539500860	203517060	176378180	190098080
AIPGENE10518	16864828	45981150	39465136	83386504	53716380	45396100	NA	NA	NA	NA	NA	NA
AIPGENE10519	35175280	23008502	21997684	15781949	15080102	15266156	20032168	16001048	21965700	NA	9164789	10859627
AIPGENE1052	1575206.1	1011244.25	1393089	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10527	64461916	18977666	32904426	29496754	116533240	NA	NA	NA	NA	NA	NA	NA
AIPGENE10529	1252730.5	4624854.5	8367369	10882860	8084905	5315205	NA	NA	NA	NA	NA	NA
AIPGENE10532	21194356	12557433	18389376	35442376	29496990	9780459	NA	NA	NA	NA	NA	NA
AIPGENE10535	35214216	78697560	56546290	83518010	60127788	45065700	NA	NA	NA	NA	NA	NA
AIPGENE10546	3381741.5	NA	NA	5251394	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10560	15105149	18413076	12072144	8476135	7814131	15374434	NA	NA	NA	NA	NA	NA
AIPGENE10564	32455586	14862950	23354940	47592860	35107270	27287020	76910504	61188850	95845140	35471056	42147856	25868802
AIPGENE10586	61324280	77805880	72516230	81631850	46157236	46166428	NA	NA	NA	NA	NA	NA
AIPGENE10587	843371400	655473400	639137800	851160600	599309000	515059460	35409684	28789288	56828304	11076397	9631075	9841282
AIPGENE10606	289437980	195361060	221312160	240633140	187375600	162971060	15981808	16215603	NA	8783578	7313972	16960174
AIPGENE10618	2294937900	2540701000	1807335600	2495124000	2040371100	2574507000	13953838	NA	69356430	15052843	10894363	11206349
AIPGENE10619	15060642	6290260	7355627	3242027.8	5723663.5	NA	NA	NA	NA	NA	NA	NA
AIPGENE10623	69179700	65564584	68691820	77796720	55717544	74295496	NA	NA	NA	NA	NA	NA
AIPGENE10649	4591504	5875980.5	9699027	NA	10321005	NA	NA	NA	NA	NA	NA	NA
AIPGENE10659	1184947300	1060077300	1100512100	1323584600	1333639200	795169150	8657696	29694908	67896504	NA	3754067.5	10727697
AIPGENE10679	7842252	NA	12624205	10030568	7175114.5	5124619	NA	NA	NA	NA	NA	NA
AIPGENE10686	NA	NA	NA	NA	NA	NA	NA	15516328	NA	NA	1808832.5	NA
AIPGENE10708	NA	NA	NA	6928472.5	9277178	7794446	NA	NA	NA	NA	NA	NA
AIPGENE10716	50281204	39678496	33805732	24846398	12819497	NA	36122750	42032120	46050320	22943800	21550372	28744264
AIPGENE10764	92569570	94898290	98366380	142708320	312387970	81806020	6105916	NA	19657464	NA	NA	NA
AIPGENE10773	26715894	26138394	21455738	8683731	20854992	8435848	NA	NA	NA	NA	NA	NA
AIPGENE1080	67368800	58883788	89143180	85433350	92654300	65169212	10389368	NA	19175118	NA	12106040	8779398
AIPGENE10885	29697308	27080224	NA	23130790	NA	17453874	22311458	18896046	NA	NA	NA	NA
AIPGENE10893	NA	NA	NA	NA	NA	NA	187562000	103375110	221593520	71845410	81226330	111328500
AIPGENE10895	NA	NA	NA	NA	7373318.5	NA	NA	NA	NA	NA	NA	NA
AIPGENE10899	40213130	18485864	15559655	17083250	8081970	5500315.5	NA	NA	NA	NA	NA	NA
AIPGENE10905	41398116	70999120	78106000	125324360	112232940	105278780	178037630	160134850	259113520	162559090	96735544	116561020
AIPGENE10921	NA	5501270	7032209	8011749.5	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE1093	20439004	20954284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10935	8143421	NA	16033424	3361621	6619687	NA	NA	NA	NA	NA	NA	NA
AIPGENE10940	2660025.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10966	44532212	54752812	56479796	62366004	59581660	38246652	NA	NA	NA	NA	NA	NA
AIPGENE10967	4473004	NA	5677850	7285533	8122361	NA	NA	NA	NA	NA	NA	NA
AIPGENE10977	NA	NA	NA	6967839	6747563	NA	NA	NA	NA	NA	NA	NA
AIPGENE10991	28684820	27117788	25551388	26105848	22317912	11749145	NA	NA	NA	NA	NA	NA
AIPGENE11011	6649593	NA	8272991	NA	4767554.5	NA	NA	NA	NA	NA	NA	NA
AIPGENE11057	41054660	27690952	48626576	29019402	40141516	38993532	16211653	16556772	64317664	20434550	14634306	NA
AIPGENE11091	28913504	11726408	42806144	36150980	62876330	13077834	NA	NA	NA	NA	NA	NA
AIPGENE11099	NA	NA	NA	5624276	4666171.5	NA	NA	NA	32956294	NA	1847856.5	NA
AIPGENE11123	197722290	173318820	227858770	148759900	200865860	166304160	419158560	318773860	456435100	339457100	313389600	365069100
AIPGENE11167	194246100	192938160	166318930	235653600	185335650	88106210	2113938.2	NA	23188208	NA	NA	NA
AIPGENE11186	24186252	21601420	24311932	26936340	24672788	16357009	NA	NA	NA	NA	NA	NA
AIPGENE11193	13999011	16016562	25541240	12022138	20748086	NA	NA	NA	NA	NA	NA	NA
AIPGENE11223	2647414.5	NA	NA	NA	1899409.4	NA	NA	NA	NA	NA	NA	NA
AIPGENE11225	35091336	21987078	3309664.8	53528456	64023920	21998952	NA	NA	15511535	NA	NA	7304173.5
AIPGENE11237	29537620	3722356.2	25197194	21095198	NA	NA	4526379.5	NA	2167036.8	NA	NA	NA
AIPGENE11239	2024963.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE1127	NA	NA	NA	7806311.5	39031710	NA	NA	NA	NA	NA	NA	NA
AIPGENE11276	139358080	177321920	69313010	28795170	86730180	88882660	NA	NA	NA	NA	NA	NA
AIPGENE11286	302115520	325163840	152809310	63473270	91995070	190170050	NA	16654207	NA	NA	NA	NA
AIPGENE11306	16597982	21829264	17326930	13406182	20131664	5662107	NA	NA	NA	NA	NA	NA
AIPGENE11311	26939904	24126324	28687432	29657594	30451902	NA	NA	NA	NA	NA	NA	NA
AIPGENE11320	6869072	2781647	5397070.5	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11341	16659534	16986826	10882680	32222808	17697246	18461238	NA	NA	NA	NA	NA	NA
AIPGENE11352	4398595	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11356	9375446	5947998.5	6042831.5	8158999	9145429	NA	22019096	18527044	32240230	14615426	NA	18030794
AIPGENE11368	NA	NA	NA	NA	NA	NA	NA	11115058	21699560	7745013	2747590.2	9226902
AIPGENE11410	NA	NA	NA	11511491	NA	NA	3676140.8	4660107.5	NA	NA	NA	NA
AIPGENE11420	167093890	209552500	224790450	279353100	159394780	173367000	16449181	22907478	74519870	NA	NA	NA
AIPGENE11421	656075970	596439000	583439740	587023500	540571900	335675620	6826435	35273916	59455172	8641445	11212055	9791761
AIPGENE1143	5560761.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11436	5856904	NA	8655114	13036070	7667898.5	NA	15724874	NA	NA	22488330	10702368	10142419
AIPGENE11440	34770330	24083948	17532814	36481428	15315778	14958326	NA	NA	NA	NA	NA	NA
AIPGENE11487	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3227878.8	NA
AIPGENE11497	24184196	28995402	34436910	16035938	37474344	40180270	NA	NA	20573860	NA	NA	NA
AIPGENE11506	46526710	64522956	76291944	64783064	48176250	50476092	NA	NA	20709558	NA	NA	NA
AIPGENE11531	NA	NA	NA	NA	4272346.5	NA	NA	NA	NA	NA	NA	NA
AIPGENE11540	47414828	50608364	101389310	48823492	48587490	34667950	3887278.2	11236269	14772160	NA	NA	NA
AIPGENE11551	9163690	1744166.6	5096634.5	7051282.5	5727721	NA	25825876	31930280	15292726	12641023	12117650	17210428
AIPGENE11562	2663669.8	2732979.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11563	236045440	175582770	199160260	209220260	179255020	143880660	NA	NA	NA	NA	NA	NA
AIPGENE11578	42620580	21683334	24263476	22347254	15439566	17942682	NA	NA	NA	NA	NA	NA
AIPGENE1158	2985389.5	NA	1742352.6	NA	1700985.5	NA	NA	NA	NA	NA	NA	NA
AIPGENE11580	3194280.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11583	63782356	37823200	62321080	78091520	108649760	63761070	NA	NA	NA	NA	NA	NA
AIPGENE11590	11515666	18647716	28004768	16728922	33168136	16180285	NA	NA	NA	NA	NA	NA
AIPGENE11593	54336650	28392212	38085116	31608360	38481664	34822656	23606390	NA	32081780	9042055	5749428	13591231
AIPGENE1160	256236850	241945460	260122620	333012540	146040200	208651660	NA	NA	18789150	NA	NA	NA
AIPGENE11602	3457867	NA	2380735.8	1361172.5	1337072.8	2642346.5	NA	NA	NA	NA	NA	NA
AIPGENE11605	3467041	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11610	55378004	51228380	29257066	79612580	53646292	27611316	NA	6167278.5	NA	NA	NA	NA
AIPGENE11614	6187488.5	4426494.5	8726335	6475373	4110021	NA	9742653	NA	NA	NA	2393051.5	3488460.2
AIPGENE11620	7818318.5	NA	4090154.5	NA	8964695	NA	NA	NA	NA	NA	NA	NA
AIPGENE11621	4128092.2	NA	2764769.8	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11623	6740763	NA	NA	7929721.5	8107548	8810438	NA	NA	NA	NA	NA	NA
AIPGENE11626	7850794.5	1845296.1	6753982	1175802.2	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11629	NA	NA	NA	NA	NA	NA	80628264	35267508	63432308	26027824	30388812	35048624
AIPGENE1163	NA	NA	7941189	5319153.5	3208776.5	NA	NA	NA	NA	NA	NA	NA
AIPGENE11638	9187562	23208192	19157784	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11641	18679112	NA	4340060	66219250	33341510	10586591	NA	NA	NA	NA	NA	NA
AIPGENE11666	NA	NA	4304036	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11679	2733413.8	NA	2241884.5	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11684	8064745000	8108240400	7270379500	6614166000	6494825000	6720936000	27204248	48169412	106945590	NA	NA	NA
AIPGENE11699	NA	NA	4718421.5	5554674.5	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11701	1569083100	1575050000	2448983300	1949763600	1975302700	1709673600	124151680	145901060	265434430	278235600	108452330	219412670
AIPGENE11714	50958190	16597331	52071304	55086664	75513570	28053170	105769580	14055543	68394690	25602582	35830744	17878818
AIPGENE11718	30222390	15427671	16813176	37781452	35970080	30354938	NA	11467181	17767570	11084373	6311102	NA
AIPGENE11731	NA	NA	NA	NA	7983604	3507952.5	NA	NA	NA	NA	NA	NA
AIPGENE11735	3119470.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11736	NA	NA	NA	2468287.2	NA	NA	NA	10843555	NA	NA	NA	NA
AIPGENE11752	NA	NA	NA	NA	NA	NA	NA	11622425	22356806	NA	NA	NA
