Sample,Image name,Vesicle diameters micron,LAMP1 positive?
Symbiosome,LAMP1A_Slow_Symbiosome_1-01,0.667,no
Symbiosome,LAMP1A_Slow_Symbiosome_1-01,0.838,no
Symbiosome,LAMP1A_Slow_Symbiosome_1-01,0.873,yes
Symbiosome,LAMP1A_Slow_Symbiosome_1-01,1.09,yes
Symbiosome,LAMP1A_Slow_Symbiosome_1-01,1.42,yes
Symbiosome,LAMP1A_Slow_Symbiosome_1-01,1.43,yes
Symbiosome,LAMP1A_Slow_Symbiosome_1-02,1.32,no
Symbiosome,LAMP1A_Slow_Symbiosome_1-02,1.65,no
Symbiosome,LAMP1A_Slow_Symbiosome_2-01,0.673,no
Symbiosome,LAMP1A_Slow_Symbiosome_2-01,1,no
Symbiosome,LAMP1A_Slow_Symbiosome_2-02,0.882,no
Symbiosome,LAMP1A_Slow_Symbiosome_2-02,1.13,no
Symbiosome,LAMP1A_Slow_Symbiosome_2-02,1.13,no
Symbiosome,LAMP1A_Slow_Symbiosome_2-02,1.19,no
Symbiosome,LAMP1A_Slow_Symbiosome_2-02,1.64,no
Symbiosome,LAMP1A_Slow_Symbiosome_3-01,0.796,no
Symbiosome,LAMP1A_Slow_Symbiosome_3-01,0.89,no
Symbiosome,LAMP1A_Slow_Symbiosome_3-01,0.909,no
Symbiosome,LAMP1A_Slow_Symbiosome_3-01,1.14,no
Symbiosome,LAMP1A_Slow_Symbiosome_3-01,1.28,no
Symbiosome,LAMP1A_Slow_Symbiosome_3-01,1.29,no
Symbiosome,LAMP1A_Slow_Symbiosome_3-01,1.32,no
Symbiosome,LAMP1A_Slow_Symbiosome_3-01,1.84,no
Symbiosome,LAMP1A_Slow_Symbiosome_3-02,0.814,no
Symbiosome,LAMP1A_Slow_Symbiosome_3-02,1.14,no
Symbiocyte,LAMP1A_SYMBIOCYTE_01,0.391,yes
Symbiocyte,LAMP1A_SYMBIOCYTE_01,0.636,yes
Symbiocyte,LAMP1A_SYMBIOCYTE_01,0.784,no
Symbiocyte,LAMP1A_SYMBIOCYTE_01,1.02,yes
Symbiocyte,LAMP1A_SYMBIOCYTE_01,1.71,no
Symbiocyte,LAMP1A_SYMBIOCYTE_02,0.317,no
Symbiocyte,LAMP1A_SYMBIOCYTE_02,0.372,yes
Symbiocyte,LAMP1A_SYMBIOCYTE_02,0.403,yes
Symbiocyte,LAMP1A_SYMBIOCYTE_02,0.448,yes
Symbiocyte,LAMP1A_SYMBIOCYTE_02,0.453,yes
Symbiocyte,LAMP1A_SYMBIOCYTE_02,0.558,no
Symbiocyte,LAMP1A_SYMBIOCYTE_02,0.979,no
Symbiocyte,LAMP1A_SYMBIOCYTE_4Y-01,0.368,yes
Symbiocyte,LAMP1A_SYMBIOCYTE_4Y-01,0.4,yes
Symbiocyte,LAMP1A_SYMBIOCYTE_4Y-01,0.427,yes
Symbiocyte,LAMP1A_SYMBIOCYTE_4Y-01,0.52,yes
Symbiocyte,LAMP1A_SYMBIOCYTE_4Y-01,0.56,no
