EXP,Date_EP,Parental_Cross,Infection,Algae_age_d,Tag,shRNA_conc,AIPGENE,Gene,Replicate,DPF,APO,SYM,Total,Prop_sym,Mean_Scram,Prop_norm
Maintenance,2024_09_25,PLF3 x CC7,"150,000",14,EP092524,60,,shScrambled,1,8 DPF,12,26,38,0.684210526,0.716974238,0.954302804
Maintenance,2024_09_25,PLF3 x CC7,"150,000",14,EP092524,60,,shScrambled,2,8 DPF,16,42,58,0.724137931,0.716974238,1.009991562
Maintenance,2024_09_25,PLF3 x CC7,"150,000",14,EP092524,60,,shScrambled,3,8 DPF,26,75,101,0.742574257,0.716974238,1.035705633
Maintenance,2024_09_25,PLF3 x CC7,"150,000",14,EP092524,60,,Lamp1b_92,1,8 DPF,51,54,105,0.514285714,0.716974238,0.71730013
Maintenance,2024_09_25,PLF3 x CC7,"150,000",14,EP092524,60,,Lamp1b_92,2,8 DPF,45,64,109,0.587155963,0.716974238,0.818935928
Maintenance,2024_09_25,PLF3 x CC7,"150,000",14,EP092524,60,,Lamp1b_92,3,8 DPF,60,62,122,0.508196721,0.716974238,0.708807505
Maintenance,2024_10_02,PLF3 x CC7,"150,000",14,EP100224,60,,shScrambled,1,8 DPF,64,42,106,0.396226415,0.408228031,0.970600707
Maintenance,2024_10_02,PLF3 x CC7,"150,000",14,EP100224,60,,shScrambled,2,8 DPF,66,43,109,0.394495413,0.408228031,0.966360424
Maintenance,2024_10_02,PLF3 x CC7,"150,000",14,EP100224,60,,shScrambled,3,8 DPF,60,46,106,0.433962264,0.408228031,1.063038869
Maintenance,2024_10_30,PLF3 x CC7,"150,000",14,EP103024,60,,shScrambled,1,8 DPF,51,54,105,0.514285714,0.529365079,0.971514243
Maintenance,2024_10_30,PLF3 x CC7,"150,000",14,EP103024,60,,shScrambled,2,8 DPF,50,55,105,0.523809524,0.529365079,0.989505247
Maintenance,2024_10_30,PLF3 x CC7,"150,000",14,EP103024,60,,shScrambled,3,8 DPF,45,55,100,0.55,0.529365079,1.03898051
Maintenance,2024_10_30,PLF3 x CC7,"150,000",14,EP103024,60,,Lamp1b_92,1,8 DPF,53,52,105,0.495238095,0.529365079,0.935532234
Maintenance,2024_10_30,PLF3 x CC7,"150,000",14,EP103024,60,,Lamp1b_92,2,8 DPF,46,42,88,0.477272727,0.529365079,0.901594657
Maintenance,2024_10_30,PLF3 x CC7,"150,000",14,EP103024,60,,Lamp1b_92,3,8 DPF,60,47,107,0.439252336,0.529365079,0.82977203
Maintenance,2025_02_05,PLF3 x CC7,"150,000",14,EP020525,60,,shScrambled,1,8 DPF,78,23,101,0.227722772,0.307,0.741767988
